NOC,Sport,Year,gold_number,silver_number,bronze_number,total_number,athletes_number,score,coach,coach_lag1,coach_lag2,coach_lag3,coach_lag4,coach_lag5
USA,Sailing,1900,0,0,2,2,4,14,0,,,,,
USA,Sailing,1928,0,0,0,0,11,0,0,0.0,,,,
USA,Sailing,1932,14,5,0,19,21,180,0,0.0,0.0,,,
USA,Sailing,1936,0,0,0,0,14,0,0,0.0,0.0,0.0,,
USA,Sailing,1948,7,1,2,10,13,92,0,0.0,0.0,0.0,0.0,
USA,Sailing,1952,10,2,0,12,16,116,0,0.0,0.0,0.0,0.0,0.0
USA,Sailing,1956,2,0,1,3,13,27,0,0.0,0.0,0.0,0.0,0.0
USA,Sailing,1960,3,0,2,5,11,44,0,0.0,0.0,0.0,0.0,0.0
USA,Sailing,1964,0,3,8,11,11,80,0,0.0,0.0,0.0,0.0,0.0
USA,Sailing,1968,5,0,0,5,11,50,0,0.0,0.0,0.0,0.0,0.0
USA,Sailing,1972,3,0,5,8,13,65,0,0.0,0.0,0.0,0.0,0.0
USA,Sailing,1976,0,5,2,7,12,54,0,0.0,0.0,0.0,0.0,0.0
USA,Sailing,1984,7,6,0,13,13,118,0,0.0,0.0,0.0,0.0,0.0
USA,Sailing,1988,2,5,3,10,15,81,0,0.0,0.0,0.0,0.0,0.0
USA,Sailing,1992,2,11,3,16,17,129,0,0.0,0.0,0.0,0.0,0.0
USA,Sailing,1996,0,0,4,4,16,28,0,0.0,0.0,0.0,0.0,0.0
USA,Sailing,2000,2,4,2,8,18,66,0,0.0,0.0,0.0,0.0,0.0
USA,Sailing,2004,2,2,0,4,18,36,0,0.0,0.0,0.0,0.0,0.0
USA,Sailing,2008,1,1,0,2,18,18,0,0.0,0.0,0.0,0.0,0.0
USA,Sailing,2012,0,0,0,0,16,0,0,0.0,0.0,0.0,0.0,0.0
USA,Sailing,2016,0,0,1,1,15,7,0,0.0,0.0,0.0,0.0,0.0
USA,Sailing,2020,0,0,0,0,13,0,0,0.0,0.0,0.0,0.0,0.0
USA,Sailing,2024,0,0,2,2,13,14,1,0.0,0.0,0.0,0.0,0.0
USA,Sailing,2028,0,0,0,0,13,0,1,1.0,0.0,0.0,0.0,0.0
USA,Sailing,2032,0,0,0,0,13,0,1,1.0,1.0,0.0,0.0,0.0
USA,Sailing,2036,0,0,0,0,13,0,1,1.0,1.0,1.0,0.0,0.0
USA,Sailing,2040,0,0,0,0,13,0,1,1.0,1.0,1.0,1.0,0.0
USA,Sailing,2044,0,0,0,0,13,0,1,1.0,1.0,1.0,1.0,1.0
USA,Sailing,2048,0,0,0,0,13,0,1,1.0,1.0,1.0,1.0,1.0
