NOC,Sport,Year,gold_number,silver_number,bronze_number,total_number,athletes_number,score
AUS,Artistic Swimming,2024,0,0,0,0,11,0
AUS,Wrestling,2024,0,0,0,0,2,0
AUS,3x3 Basketball,2024,0,0,0,0,4,0
AUS,"3x3 Basketball, Basketball",2024,0,0,0,0,1,0
AUS,Artistic Gymnastics,2024,0,0,0,0,40,0
AUS,Rhythmic Gymnastics,2024,0,0,0,0,6,0
AUS,Breaking,2024,0,0,0,0,2,0
AUS,Rowing,2024,0,0,2,2,38,14
AUS,Marathon Swimming,2024,0,0,0,0,3,0
AUS,"Marathon Swimming, Swimming",2024,0,0,0,0,2,0
AUS,Table Tennis,2024,0,0,0,0,12,0
AUS,Skateboarding,2024,2,0,0,2,9,20
AUS,Shooting,2024,0,0,1,1,15,7
AUS,Surfing,2024,0,1,0,1,4,8
AUS,Judo,2024,0,0,0,0,3,0
AUS,Modern Pentathlon,2024,0,0,0,0,1,0
AUS,Badminton,2024,0,0,0,0,3,0
AUS,Athletics,2024,1,2,5,8,90,61
AUS,Boxing,2024,0,0,2,2,12,14
AUS,Canoe Slalom,2024,3,0,0,3,8,30
AUS,Trampoline Gymnastics,2024,0,0,0,0,1,0
AUS,Tennis,2024,2,0,0,2,15,20
AUS,Canoe Sprint,2024,0,4,2,6,14,46
AUS,Taekwondo,2024,0,0,0,0,3,0
AUS,Weightlifting,2024,0,0,0,0,3,0
AUS,Cycling Track,2024,5,2,5,12,37,101
AUS,Cycling Road,2024,1,0,0,1,8,10
AUS,Cycling Mountain Bike,2024,0,0,0,0,1,0
AUS,Diving,2024,0,1,0,1,11,8
AUS,Equestrian,2024,0,1,0,1,22,8
AUS,Archery,2024,0,0,0,0,4,0
AUS,Water Polo,2024,0,13,0,13,26,104
AUS,Triathlon,2024,0,0,0,0,4,0
AUS,Basketball,2024,0,0,11,11,23,77
AUS,Sailing,2024,1,1,0,2,12,18
AUS,Rugby Sevens,2024,0,0,0,0,25,0
AUS,Cycling BMX Freestyle,2024,0,0,1,1,2,7
AUS,Cycling BMX Racing,2024,1,0,0,1,3,10
AUS,Swimming,2024,17,19,15,51,103,427
AUS,Golf,2024,0,0,0,0,4,0
AUS,Football,2024,0,0,0,0,19,0
AUS,Hockey,2024,0,0,0,0,35,0
AUS,Sport Climbing,2024,0,0,0,0,2,0
AUS,Beach Volleyball,2024,0,0,0,0,6,0
AUS,Artistic Swimming,2020,0,0,0,0,10,0
AUS,Artistic Gymnastics,2020,0,0,0,0,12,0
AUS,Trampoline Gymnastics,2020,0,0,0,0,2,0
AUS,Tennis,2020,0,0,2,2,17,14
AUS,Badminton,2020,0,0,0,0,5,0
AUS,Rhythmic Gymnastics,2020,0,0,0,0,6,0
AUS,Judo,2020,0,0,0,0,3,0
AUS,Rowing,2020,8,0,8,16,40,136
AUS,Archery,2020,0,0,0,0,9,0
AUS,Water Polo,2020,0,0,0,0,26,0
AUS,Triathlon,2020,0,0,0,0,12,0
AUS,Sailing,2020,3,0,0,3,13,30
AUS,Basketball,2020,0,0,12,12,24,84
AUS,Weightlifting,2020,0,0,0,0,5,0
AUS,Canoe Sprint,2020,2,0,0,2,24,20
AUS,Cycling BMX Freestyle,2020,1,0,0,1,2,10
AUS,Rugby Sevens,2020,0,0,0,0,26,0
AUS,Cycling BMX Racing,2020,0,0,0,0,3,0
AUS,Equestrian,2020,0,4,1,5,18,39
AUS,Boxing,2020,0,0,1,1,5,7
AUS,Sport Climbing,2020,0,0,0,0,2,0
AUS,Shooting,2020,0,0,0,0,28,0
AUS,Surfing,2020,0,0,1,1,4,7
AUS,Skateboarding,2020,1,0,0,1,5,10
AUS,Canoe Slalom,2020,1,0,1,2,4,17
AUS,Baseball/Softball,2020,0,0,0,0,15,0
AUS,Athletics,2020,0,1,2,3,65,22
AUS,Karate,2020,0,0,0,0,1,0
AUS,Marathon Swimming,2020,0,0,1,1,2,7
AUS,Modern Pentathlon,2020,0,0,0,0,2,0
AUS,Swimming,2020,20,3,30,53,92,434
AUS,Table Tennis,2020,0,0,0,0,12,0
AUS,Cycling Road,2020,0,0,1,1,11,7
AUS,Cycling Mountain Bike,2020,0,0,0,0,2,0
AUS,Cycling Track,2020,0,0,6,6,32,42
AUS,Football,2020,0,0,0,0,44,0
AUS,Diving,2020,0,0,1,1,7,7
AUS,Golf,2020,0,0,0,0,4,0
AUS,Hockey,2020,0,18,0,18,36,144
AUS,Beach Volleyball,2020,0,2,0,2,4,16
AUS,Taekwondo,2020,0,0,0,0,4,0
AUS,Trampolining,2016,0,0,0,0,1,0
AUS,Modern Pentathlon,2016,1,0,0,1,2,10
AUS,Tennis,2016,0,0,0,0,14,0
AUS,Boxing,2016,0,0,0,0,3,0
AUS,Badminton,2016,0,0,0,0,5,0
AUS,Judo,2016,0,0,0,0,7,0
AUS,Rowing,2016,1,8,0,9,29,74
AUS,Athletics,2016,0,1,1,2,65,15
AUS,Rhythmic Gymnastics,2016,0,0,0,0,1,0
AUS,Wrestling,2016,0,0,0,0,3,0
AUS,Shooting,2016,1,0,0,1,23,10
AUS,Beach Volleyball,2016,0,0,0,0,4,0
AUS,Gymnastics,2016,0,0,0,0,2,0
AUS,Golf,2016,0,0,0,0,4,0
AUS,Diving,2016,0,0,2,2,10,14
AUS,Table Tennis,2016,0,0,0,0,10,0
AUS,Equestrianism,2016,0,0,4,4,24,28
AUS,Synchronized Swimming,2016,0,0,0,0,11,0
AUS,Swimming,2016,7,14,11,32,83,259
AUS,Hockey,2016,0,0,0,0,32,0
AUS,Football,2016,0,0,0,0,17,0
AUS,Cycling,2016,0,5,1,6,43,47
AUS,Taekwondo,2016,0,0,0,0,4,0
AUS,Rugby Sevens,2016,12,0,0,12,25,120
AUS,Weightlifting,2016,0,0,0,0,2,0
AUS,Canoeing,2016,0,0,3,3,20,21
AUS,Sailing,2016,1,6,0,7,11,58
AUS,Triathlon,2016,0,0,0,0,6,0
AUS,Basketball,2016,0,0,0,0,24,0
AUS,Water Polo,2016,0,0,0,0,26,0
AUS,Archery,2016,0,0,3,3,7,21
AUS,Archery,2012,0,0,0,0,2,0
AUS,Water Polo,2012,0,0,13,13,26,91
AUS,Volleyball,2012,0,0,0,0,12,0
AUS,Basketball,2012,0,0,12,12,24,84
AUS,Sailing,2012,5,3,0,8,13,74
AUS,Taekwondo,2012,0,0,0,0,2,0
AUS,Canoeing,2012,4,1,0,5,27,48
AUS,Weightlifting,2012,0,0,0,0,2,0
AUS,Table Tennis,2012,0,0,0,0,10,0
AUS,Synchronized Swimming,2012,0,0,0,0,10,0
AUS,Swimming,2012,7,17,8,32,89,262
AUS,Equestrianism,2012,0,0,0,0,24,0
AUS,Cycling,2012,1,5,4,10,35,78
AUS,Beach Volleyball,2012,0,0,0,0,4,0
AUS,Hockey,2012,0,0,16,16,32,112
AUS,Diving,2012,0,1,0,1,11,8
AUS,Shooting,2012,0,0,0,0,22,0
AUS,Modern Pentathlon,2012,0,0,0,0,2,0
AUS,Boxing,2012,0,0,0,0,11,0
AUS,Badminton,2012,0,0,0,0,5,0
AUS,Rhythmic Gymnastics,2012,0,0,0,0,1,0
AUS,Athletics,2012,1,2,0,3,55,26
AUS,Rowing,2012,0,8,5,13,47,99
AUS,Judo,2012,0,0,0,0,6,0
AUS,Wrestling,2012,0,0,0,0,1,0
AUS,Gymnastics,2012,0,0,0,0,25,0
AUS,Triathlon,2012,0,0,1,1,6,7
AUS,Trampolining,2012,0,0,0,0,1,0
AUS,Tennis,2012,0,0,0,0,9,0
AUS,Sailing,2008,4,2,0,6,17,56
AUS,Water Polo,2008,0,0,13,13,26,91
AUS,Archery,2008,0,0,0,0,8,0
AUS,Tennis,2008,0,0,0,0,13,0
AUS,Gymnastics,2008,0,0,0,0,33,0
AUS,Fencing,2008,0,0,0,0,2,0
AUS,Hockey,2008,0,0,17,17,33,119
AUS,Diving,2008,1,2,0,3,16,26
AUS,Trampolining,2008,0,0,0,0,1,0
AUS,Beach Volleyball,2008,0,0,0,0,4,0
AUS,Triathlon,2008,1,0,1,2,5,17
AUS,Football,2008,0,0,0,0,17,0
AUS,Judo,2008,0,0,0,0,13,0
AUS,Rhythmic Gymnastics,2008,0,0,0,0,1,0
AUS,Rowing,2008,4,4,0,8,48,72
AUS,Badminton,2008,0,0,0,0,6,0
AUS,Boxing,2008,0,0,0,0,9,0
AUS,Modern Pentathlon,2008,0,0,0,0,1,0
AUS,Softball,2008,0,0,15,15,15,105
AUS,Weightlifting,2008,0,0,0,0,2,0
AUS,Canoeing,2008,1,1,6,8,22,60
AUS,Cycling,2008,0,1,0,1,37,8
AUS,Taekwondo,2008,0,0,0,0,4,0
AUS,Synchronized Swimming,2008,0,0,0,0,11,0
AUS,Swimming,2008,19,13,22,54,91,448
AUS,Equestrianism,2008,0,5,0,5,24,40
AUS,Table Tennis,2008,0,0,0,0,12,0
AUS,Basketball,2008,0,12,0,12,24,96
AUS,Wrestling,2008,0,0,0,0,4,0
AUS,Athletics,2008,1,2,1,4,45,33
AUS,Shooting,2008,0,0,1,1,26,7
AUS,Boxing,2004,0,0,0,0,9,0
AUS,Trampolining,2004,0,0,0,0,1,0
AUS,Baseball,2004,0,24,0,24,24,192
AUS,Beach Volleyball,2004,0,0,0,0,8,0
AUS,Table Tennis,2004,0,0,0,0,11,0
AUS,Synchronized Swimming,2004,0,0,0,0,2,0
AUS,Equestrianism,2004,0,0,0,0,13,0
AUS,Cycling,2004,12,2,3,17,37,157
AUS,Swimming,2004,17,11,3,31,86,279
AUS,Sailing,2004,0,0,0,0,18,0
AUS,Rhythmic Gymnastics,2004,0,0,0,0,1,0
AUS,Rowing,2004,2,4,13,19,45,143
AUS,Football,2004,0,0,0,0,32,0
AUS,Fencing,2004,0,0,0,0,3,0
AUS,Gymnastics,2004,0,0,0,0,36,0
AUS,Taekwondo,2004,0,0,0,0,4,0
AUS,Softball,2004,0,15,0,15,15,120
AUS,Tennis,2004,0,0,1,1,11,7
AUS,Hockey,2004,16,0,0,16,32,160
AUS,Diving,2004,1,1,7,9,16,67
AUS,Badminton,2004,0,0,0,0,8,0
AUS,Shooting,2004,1,0,1,2,28,17
AUS,Modern Pentathlon,2004,0,0,0,0,2,0
AUS,Judo,2004,0,0,0,0,12,0
AUS,Athletics,2004,0,4,2,6,45,46
AUS,Weightlifting,2004,0,0,0,0,2,0
AUS,Wrestling,2004,0,0,0,0,1,0
AUS,Canoeing,2004,0,3,0,3,19,24
AUS,Triathlon,2004,0,1,0,1,6,8
AUS,Volleyball,2004,0,0,0,0,12,0
AUS,Water Polo,2004,0,0,0,0,26,0
AUS,Basketball,2004,0,12,0,12,24,96
AUS,Archery,2004,0,0,1,1,12,7
AUS,Basketball,2000,0,12,0,12,24,96
AUS,Volleyball,2000,0,0,0,0,24,0
AUS,Archery,2000,1,0,0,1,12,10
AUS,Athletics,2000,1,2,0,3,104,26
AUS,Judo,2000,0,0,1,1,14,7
AUS,Rhythmic Gymnastics,2000,0,0,0,0,1,0
AUS,Rowing,2000,0,15,6,21,45,162
AUS,Badminton,2000,0,0,0,0,16,0
