Rank,NOC,Gold,Silver,Bronze,Total,Year
4,France,5,4,2,11,1896
1,France,27,39,37,103,1900
13,France,0,1,0,1,1904
4,France,5,5,9,19,1908
5,France,7,4,3,14,1912
8,France,9,19,13,41,1920
3,France,13,15,10,38,1924
7,France,6,10,5,21,1928
3,France,11,5,4,20,1932
6,France,7,6,6,19,1936
3,France,10,6,13,29,1948
7,France,6,6,6,18,1952
11,France,4,4,6,14,1956
25,France,0,2,3,5,1960
21,France,1,8,6,15,1964
6,France,7,3,5,15,1968
17,France,2,4,7,13,1972
15,France,2,3,4,9,1976
8,France,6,5,3,14,1980
12,France,5,7,16,28,1984
9,France,6,4,6,16,1988
9,France,8,5,16,29,1992
5,France,15,7,15,37,1996
6,France,13,14,11,38,2000
7,France,11,9,13,33,2004
10,France,7,16,20,43,2008
7,France,11,11,13,35,2012
7,France,10,18,14,42,2016
8,France,10,12,11,33,2020
5,France,16,26,22,64,2024
