Rank,NOC,Gold,Silver,Bronze,Total,Year
8,Italy,3,2,0,5,1900
9,Italy,2,2,0,4,1908
11,Italy,3,1,2,6,1912
7,Italy,13,5,5,23,1920
5,Italy,8,3,5,16,1924
5,Italy,7,5,7,19,1928
2,Italy,12,12,12,36,1932
4,Italy,9,13,5,27,1936
5,Italy,8,11,8,27,1948
5,Italy,8,9,4,21,1952
5,Italy,8,8,9,25,1956
3,Italy,13,10,13,36,1960
5,Italy,10,10,7,27,1964
13,Italy,3,4,9,16,1968
10,Italy,5,3,10,18,1972
14,Italy,2,7,4,13,1976
5,Italy,8,3,4,15,1980
5,Italy,14,6,12,32,1984
10,Italy,6,4,4,14,1988
12,Italy,6,5,8,19,1992
6,Italy,13,10,12,35,1996
7,Italy,13,8,13,34,2000
8,Italy,10,11,11,32,2004
9,Italy,8,9,10,27,2008
9,Italy,8,9,11,28,2012
9,Italy,8,12,8,28,2016
10,Italy,10,10,20,40,2020
9,Italy,12,13,15,40,2024
