Rank,NOC,Gold,Silver,Bronze,Total,Year
17,Netherlands,0,2,3,5,1900
17,Netherlands,0,0,2,2,1908
18,Netherlands,0,0,3,3,1912
9,Netherlands,4,2,5,11,1920
9,Netherlands,4,1,5,10,1924
8,Netherlands,6,9,4,19,1928
14,Netherlands,2,5,1,8,1932
9,Netherlands,6,4,7,17,1936
11,Netherlands,5,2,9,16,1948
29,Netherlands,0,5,0,5,1952
28,Netherlands,0,1,2,3,1960
15,Netherlands,2,4,4,10,1964
17,Netherlands,3,3,1,7,1968
16,Netherlands,3,1,1,5,1972
29,Netherlands,0,2,3,5,1976
30,Netherlands,0,1,2,3,1980
13,Netherlands,5,2,6,13,1984
22,Netherlands,2,2,5,9,1988
20,Netherlands,2,6,7,15,1992
15,Netherlands,4,5,10,19,1996
8,Netherlands,12,9,4,25,2000
18,Netherlands,4,9,9,22,2004
11,Netherlands,7,5,4,16,2008
13,Netherlands,6,6,8,20,2012
11,Netherlands,8,7,4,19,2016
7,Netherlands,10,12,14,36,2020
6,Netherlands,15,7,12,34,2024
