Rank,NOC,Gold,Silver,Bronze,Total,Year
22,New Zealand,0,0,1,1,1920
23,New Zealand,0,0,1,1,1924
24,New Zealand,1,0,0,1,1928
22,New Zealand,0,1,0,1,1932
20,New Zealand,1,0,0,1,1936
24,New Zealand,1,0,2,3,1952
16,New Zealand,2,0,0,2,1956
14,New Zealand,2,0,1,3,1960
12,New Zealand,3,0,2,5,1964
27,New Zealand,1,0,2,3,1968
23,New Zealand,1,1,1,3,1972
18,New Zealand,2,1,1,4,1976
8,New Zealand,8,1,2,11,1984
18,New Zealand,3,2,8,13,1988
28,New Zealand,1,4,5,10,1992
26,New Zealand,3,2,1,6,1996
46,New Zealand,1,0,3,4,2000
24,New Zealand,3,2,0,5,2004
27,New Zealand,3,2,4,9,2008
14,New Zealand,6,2,5,13,2012
19,New Zealand,4,9,5,18,2016
13,New Zealand,7,6,7,20,2020
11,New Zealand,10,7,3,20,2024
