Rank,NOC,Gold,Silver,Bronze,Total,Year
23,Romania,0,0,1,1,1924
25,Romania,0,1,0,1,1936
23,Romania,1,1,2,4,1952
9,Romania,5,3,5,13,1956
11,Romania,3,1,6,10,1960
14,Romania,2,4,6,12,1964
12,Romania,4,6,5,15,1968
13,Romania,3,6,7,16,1972
9,Romania,4,9,14,27,1976
7,Romania,6,6,13,25,1980
2,Romania,20,16,17,53,1984
8,Romania,7,11,6,24,1988
14,Romania,4,6,8,18,1992
14,Romania,4,7,9,20,1996
11,Romania,11,6,9,26,2000
14,Romania,8,5,6,19,2004
18,Romania,4,1,4,9,2008
31,Romania,2,4,1,7,2012
47,Romania,1,1,2,4,2016
46,Romania,1,3,0,4,2020
23,Romania,3,4,2,9,2024
