Rank,NOC,Gold,Silver,Bronze,Total,Year
14,Spain,1,0,0,1,1900
17,Spain,0,2,0,2,1920
24,Spain,1,0,0,1,1928
26,Spain,0,0,1,1,1932
28,Spain,0,1,0,1,1948
34,Spain,0,1,0,1,1952
41,Spain,0,0,1,1,1960
43,Spain,0,0,1,1,1972
30,Spain,0,2,0,2,1976
20,Spain,1,3,2,6,1980
20,Spain,1,2,2,5,1984
25,Spain,1,1,2,4,1988
6,Spain,13,7,2,22,1992
13,Spain,5,6,6,17,1996
25,Spain,3,3,5,11,2000
20,Spain,3,11,6,20,2004
14,Spain,5,11,3,19,2008
17,Spain,4,10,6,20,2012
14,Spain,7,4,6,17,2016
22,Spain,3,8,6,17,2020
15,Spain,5,4,9,18,2024
