Rank,NOC,Gold,Silver,Bronze,Total,Year
10,Switzerland,1,2,0,3,1896
6,Switzerland,6,2,1,9,1900
10,Switzerland,1,0,2,3,1904
13,Switzerland,2,2,7,11,1920
6,Switzerland,7,8,10,25,1924
6,Switzerland,7,4,4,15,1928
22,Switzerland,0,1,0,1,1932
11,Switzerland,4,9,5,18,1936
9,Switzerland,5,10,5,20,1948
11,Switzerland,2,6,6,14,1952
35,Switzerland,0,0,1,1,1956
24,Switzerland,0,3,3,6,1960
22,Switzerland,1,2,1,4,1964
33,Switzerland,0,1,4,5,1968
26,Switzerland,0,3,0,3,1972
20,Switzerland,1,1,2,4,1976
19,Switzerland,2,0,0,2,1980
26,Switzerland,0,4,4,8,1984
33,Switzerland,0,2,2,4,1988
37,Switzerland,1,0,0,1,1992
18,Switzerland,4,3,0,7,1996
37,Switzerland,1,6,2,9,2000
46,Switzerland,1,1,3,5,2004
34,Switzerland,2,1,4,7,2008
33,Switzerland,2,2,0,4,2012
23,Switzerland,3,2,2,7,2016
24,Switzerland,3,4,6,13,2020
48,Switzerland,1,2,5,8,2024
