NOC,Event,importance_score
AUS,Baseball Men's Baseball,8.0
CAN,Baseball Men's Baseball,0.0
CHN,Baseball Men's Baseball,0.0
CUB,Baseball Men's Baseball,48.0
DOM,Baseball Men's Baseball,0.0
DOM,Baseball Team,4.0
ESP,Baseball Men's Baseball,0.0
GRE,Baseball Men's Baseball,0.0
ISR,Baseball Team,0.0
ITA,Baseball Men's Baseball,0.0
JPN,Baseball Men's Baseball,14.0
JPN,Baseball Team,12.0
KOR,Baseball Men's Baseball,16.0
KOR,Baseball Team,0.0
MEX,Baseball Team,0.0
NCA,Baseball Men's Baseball,0.0
NED,Baseball Men's Baseball,0.0
PUR,Baseball Men's Baseball,0.0
RSA,Baseball Men's Baseball,0.0
TPE,Baseball Men's Baseball,6.666666666666666
USA,Baseball Men's Baseball,19.33333333333333
USA,Baseball Team,8.0
