NOC,Sport,Event,athletes_number,gold_number,silver_number,bronze_number,total_number,Total Events,Year,gold_number_previous,silver_number_previous,bronze_number_previous,total_number_previous,Host,Gold,Silver,Bronze,Total
AFG,Hockey,Hockey Men's Hockey,12,0,0,0,0,1,1956,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
ARG,Athletics,Athletics Men's Discus Throw,1,0,0,0,0,32,1956,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,2.0
ARG,Athletics,Athletics Women's Discus Throw,1,0,0,0,0,32,1956,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,2.0
ARG,Boxing,Boxing Men's Bantamweight,1,0,0,0,0,32,1956,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,2.0
ARG,Boxing,Boxing Men's Featherweight,1,0,0,0,0,32,1956,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,2.0
ARG,Boxing,Boxing Men's Flyweight,1,0,0,0,0,32,1956,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,2.0
ARG,Boxing,Boxing Men's Heavyweight,1,0,0,0,0,32,1956,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,2.0
ARG,Boxing,Boxing Men's Light-Heavyweight,1,0,0,0,0,32,1956,0.0,1.0,0.0,1.0,0,0.0,1.0,1.0,2.0
ARG,Boxing,Boxing Men's Light-Middleweight,1,0,0,0,0,32,1956,0.0,0.0,1.0,1.0,0,0.0,1.0,1.0,2.0
ARG,Boxing,Boxing Men's Light-Welterweight,1,0,0,0,0,32,1956,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,2.0
ARG,Boxing,Boxing Men's Lightweight,1,0,0,0,0,32,1956,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,2.0
ARG,Boxing,Boxing Men's Middleweight,1,0,0,1,1,32,1956,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,2.0
ARG,Boxing,Boxing Men's Welterweight,1,0,0,0,0,32,1956,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,2.0
ARG,Equestrianism,"Equestrianism Men's Three-Day Event, Individual",3,0,0,0,0,32,1956,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,2.0
ARG,Equestrianism,"Equestrianism Men's Three-Day Event, Team",3,0,0,0,0,32,1956,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,2.0
ARG,Equestrianism,"Equestrianism Mixed Dressage, Individual",1,0,0,0,0,32,1956,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,2.0
ARG,Equestrianism,"Equestrianism Mixed Jumping, Individual",3,0,0,0,0,32,1956,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,2.0
ARG,Equestrianism,"Equestrianism Mixed Jumping, Team",3,0,0,0,0,32,1956,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,2.0
ARG,Fencing,"Fencing Men's Foil, Individual",1,0,0,0,0,32,1956,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,2.0
ARG,Fencing,"Fencing Men's epee, Individual",1,0,0,0,0,32,1956,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,2.0
ARG,Modern Pentathlon,Modern Pentathlon Men's Individual,1,0,0,0,0,32,1956,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,2.0
ARG,Sailing,Sailing Mixed One Person Dinghy,1,0,0,0,0,32,1956,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,2.0
ARG,Sailing,Sailing Mixed Three Person Keelboat,3,0,0,0,0,32,1956,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,2.0
ARG,Sailing,Sailing Mixed Two Person Keelboat,2,0,0,0,0,32,1956,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,2.0
