NOC,Sport,Event,athletes_number,gold_number,silver_number,bronze_number,total_number,Total Events,Year,gold_number_previous,silver_number_previous,bronze_number_previous,total_number_previous,Host,gold_sum,silver_sum,bronze_sum,total_sum
AFG,Wrestling,"Wrestling Men's Bantamweight, Freestyle",1,0,0,0,0,8,1964,0.0,0.0,0.0,0.0,0,0,0,0,0
AFG,Wrestling,"Wrestling Men's Bantamweight, Greco-Roman",1,0,0,0,0,8,1964,0.0,0.0,0.0,0.0,0,0,0,0,0
AFG,Wrestling,"Wrestling Men's Featherweight, Freestyle",1,0,0,0,0,8,1964,0.0,0.0,0.0,0.0,0,0,0,0,0
AFG,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",1,0,0,0,0,8,1964,0.0,0.0,0.0,0.0,0,0,0,0,0
AFG,Wrestling,"Wrestling Men's Flyweight, Freestyle",1,0,0,0,0,8,1964,0.0,0.0,0.0,0.0,0,0,0,0,0
AFG,Wrestling,"Wrestling Men's Lightweight, Freestyle",1,0,0,0,0,8,1964,0.0,0.0,0.0,0.0,0,0,0,0,0
AFG,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",1,0,0,0,0,8,1964,0.0,0.0,0.0,0.0,0,0,0,0,0
AFG,Wrestling,"Wrestling Men's Welterweight, Freestyle",1,0,0,0,0,8,1964,0.0,0.0,0.0,0.0,0,0,0,0,0
AHO,Fencing,"Fencing Men's Sabre, Individual",1,0,0,0,0,4,1964,0.0,0.0,0.0,0.0,0,0,0,0,0
AHO,Weightlifting,Weightlifting Men's Bantamweight,1,0,0,0,0,4,1964,0.0,0.0,0.0,0.0,0,0,0,0,0
AHO,Weightlifting,Weightlifting Men's Light-Heavyweight,1,0,0,0,0,4,1964,0.0,0.0,0.0,0.0,0,0,0,0,0
AHO,Weightlifting,Weightlifting Men's Lightweight,1,0,0,0,0,4,1964,0.0,0.0,0.0,0.0,0,0,0,0,0
ALG,Gymnastics,Gymnastics Men's Floor Exercise,1,0,0,0,0,7,1964,0.0,0.0,0.0,0.0,0,0,0,0,0
ALG,Gymnastics,Gymnastics Men's Horizontal Bar,1,0,0,0,0,7,1964,0.0,0.0,0.0,0.0,0,0,0,0,0
ALG,Gymnastics,Gymnastics Men's Horse Vault,1,0,0,0,0,7,1964,0.0,0.0,0.0,0.0,0,0,0,0,0
ALG,Gymnastics,Gymnastics Men's Individual All-Around,1,0,0,0,0,7,1964,0.0,0.0,0.0,0.0,0,0,0,0,0
ALG,Gymnastics,Gymnastics Men's Parallel Bars,1,0,0,0,0,7,1964,0.0,0.0,0.0,0.0,0,0,0,0,0
ALG,Gymnastics,Gymnastics Men's Pommelled Horse,1,0,0,0,0,7,1964,0.0,0.0,0.0,0.0,0,0,0,0,0
ALG,Gymnastics,Gymnastics Men's Rings,1,0,0,0,0,7,1964,0.0,0.0,0.0,0.0,0,0,0,0,0
ARG,Athletics,Athletics Men's 110 metres Hurdles,1,0,0,0,0,78,1964,0.0,0.0,0.0,0.0,0,0,1,0,1
ARG,Athletics,Athletics Men's 400 metres,1,0,0,0,0,78,1964,0.0,0.0,0.0,0.0,0,0,1,0,1
ARG,Athletics,Athletics Men's 400 metres Hurdles,1,0,0,0,0,78,1964,0.0,0.0,0.0,0.0,0,0,1,0,1
ARG,Athletics,Athletics Men's Marathon,1,0,0,0,0,78,1964,0.0,0.0,0.0,0.0,0,0,1,0,1
ARG,Athletics,Athletics Women's 100 metres,1,0,0,0,0,78,1964,0.0,0.0,0.0,0.0,0,0,1,0,1
ARG,Athletics,Athletics Women's 200 metres,1,0,0,0,0,78,1964,0.0,0.0,0.0,0.0,0,0,1,0,1
ARG,Athletics,Athletics Women's 4 x 100 metres Relay,4,0,0,0,0,78,1964,0.0,0.0,0.0,0.0,0,0,1,0,1
ARG,Athletics,Athletics Women's Long Jump,2,0,0,0,0,78,1964,0.0,0.0,0.0,0.0,0,0,1,0,1
ARG,Boxing,Boxing Men's Bantamweight,1,0,0,0,0,78,1964,0.0,0.0,0.0,0.0,0,0,1,0,1
ARG,Boxing,Boxing Men's Featherweight,1,0,0,0,0,78,1964,0.0,0.0,0.0,0.0,0,0,1,0,1
ARG,Boxing,Boxing Men's Flyweight,1,0,0,0,0,78,1964,0.0,0.0,0.0,0.0,0,0,1,0,1
ARG,Boxing,Boxing Men's Heavyweight,1,0,0,0,0,78,1964,0.0,0.0,0.0,0.0,0,0,1,0,1
ARG,Boxing,Boxing Men's Light-Heavyweight,1,0,0,0,0,78,1964,0.0,0.0,0.0,0.0,0,0,1,0,1
ARG,Boxing,Boxing Men's Light-Middleweight,1,0,0,0,0,78,1964,0.0,0.0,0.0,0.0,0,0,1,0,1
ARG,Boxing,Boxing Men's Light-Welterweight,1,0,0,0,0,78,1964,0.0,0.0,0.0,0.0,0,0,1,0,1
ARG,Boxing,Boxing Men's Lightweight,1,0,0,0,0,78,1964,0.0,0.0,1.0,1.0,0,0,1,0,1
ARG,Boxing,Boxing Men's Middleweight,1,0,0,0,0,78,1964,0.0,0.0,0.0,0.0,0,0,1,0,1
ARG,Boxing,Boxing Men's Welterweight,1,0,0,0,0,78,1964,0.0,0.0,0.0,0.0,0,0,1,0,1
ARG,Cycling,"Cycling Men's 1,000 metres Time Trial",1,0,0,0,0,78,1964,0.0,0.0,0.0,0.0,0,0,1,0,1
ARG,Cycling,Cycling Men's 100 kilometres Team Time Trial,4,0,0,0,0,78,1964,0.0,0.0,0.0,0.0,0,0,1,0,1
ARG,Cycling,"Cycling Men's Road Race, Individual",3,0,0,0,0,78,1964,0.0,0.0,0.0,0.0,0,0,1,0,1
ARG,Cycling,Cycling Men's Sprint,2,0,0,0,0,78,1964,0.0,0.0,0.0,0.0,0,0,1,0,1
ARG,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",4,0,0,0,0,78,1964,0.0,0.0,0.0,0.0,0,0,1,0,1
ARG,Equestrianism,"Equestrianism Mixed Dressage, Individual",1,0,0,0,0,78,1964,0.0,0.0,0.0,0.0,0,0,1,0,1
ARG,Equestrianism,"Equestrianism Mixed Jumping, Individual",3,0,0,0,0,78,1964,0.0,0.0,0.0,0.0,0,0,1,0,1
ARG,Equestrianism,"Equestrianism Mixed Jumping, Team",3,0,0,0,0,78,1964,0.0,0.0,0.0,0.0,0,0,1,0,1
ARG,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",4,0,1,0,1,78,1964,0.0,0.0,0.0,0.0,0,0,1,0,1
ARG,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",4,0,0,0,0,78,1964,0.0,0.0,0.0,0.0,0,0,1,0,1
ARG,Fencing,"Fencing Men's Foil, Individual",3,0,0,0,0,78,1964,0.0,0.0,0.0,0.0,0,0,1,0,1
ARG,Fencing,"Fencing Men's Foil, Team",5,0,0,0,0,78,1964,0.0,0.0,0.0,0.0,0,0,1,0,1
ARG,Fencing,"Fencing Men's Sabre, Individual",3,0,0,0,0,78,1964,0.0,0.0,0.0,0.0,0,0,1,0,1
ARG,Fencing,"Fencing Men's Sabre, Team",4,0,0,0,0,78,1964,0.0,0.0,0.0,0.0,0,0,1,0,1
ARG,Fencing,"Fencing Men's epee, Individual",3,0,0,0,0,78,1964,0.0,0.0,0.0,0.0,0,0,1,0,1
ARG,Fencing,"Fencing Men's epee, Team",4,0,0,0,0,78,1964,0.0,0.0,0.0,0.0,0,0,1,0,1
ARG,Fencing,"Fencing Women's Foil, Individual",1,0,0,0,0,78,1964,0.0,0.0,0.0,0.0,0,0,1,0,1
ARG,Football,Football Men's Football,14,0,0,0,0,78,1964,0.0,0.0,0.0,0.0,0,0,1,0,1
ARG,Gymnastics,Gymnastics Men's Floor Exercise,1,0,0,0,0,78,1964,0.0,0.0,0.0,0.0,0,0,1,0,1
ARG,Gymnastics,Gymnastics Men's Horizontal Bar,1,0,0,0,0,78,1964,0.0,0.0,0.0,0.0,0,0,1,0,1
ARG,Gymnastics,Gymnastics Men's Horse Vault,1,0,0,0,0,78,1964,0.0,0.0,0.0,0.0,0,0,1,0,1
ARG,Gymnastics,Gymnastics Men's Individual All-Around,1,0,0,0,0,78,1964,0.0,0.0,0.0,0.0,0,0,1,0,1
ARG,Gymnastics,Gymnastics Men's Parallel Bars,1,0,0,0,0,78,1964,0.0,0.0,0.0,0.0,0,0,1,0,1
ARG,Gymnastics,Gymnastics Men's Pommelled Horse,1,0,0,0,0,78,1964,0.0,0.0,0.0,0.0,0,0,1,0,1
ARG,Gymnastics,Gymnastics Men's Rings,1,0,0,0,0,78,1964,0.0,0.0,0.0,0.0,0,0,1,0,1
ARG,Judo,Judo Men's Heavyweight,1,0,0,0,0,78,1964,0.0,0.0,0.0,0.0,0,0,1,0,1
ARG,Judo,Judo Men's Lightweight,1,0,0,0,0,78,1964,0.0,0.0,0.0,0.0,0,0,1,0,1
ARG,Judo,Judo Men's Middleweight,1,0,0,0,0,78,1964,0.0,0.0,0.0,0.0,0,0,1,0,1
ARG,Rowing,Rowing Men's Coxed Pairs,3,0,0,0,0,78,1964,0.0,0.0,0.0,0.0,0,0,1,0,1
ARG,Rowing,Rowing Men's Coxless Fours,4,0,0,0,0,78,1964,0.0,0.0,0.0,0.0,0,0,1,0,1
ARG,Rowing,Rowing Men's Coxless Pairs,2,0,0,0,0,78,1964,0.0,0.0,0.0,0.0,0,0,1,0,1
ARG,Rowing,Rowing Men's Double Sculls,2,0,0,0,0,78,1964,0.0,0.0,0.0,0.0,0,0,1,0,1
ARG,Rowing,Rowing Men's Single Sculls,1,0,0,0,0,78,1964,0.0,0.0,0.0,0.0,0,0,1,0,1
ARG,Sailing,Sailing Mixed One Person Dinghy,1,0,0,0,0,78,1964,0.0,0.0,0.0,0.0,0,0,1,0,1
ARG,Sailing,Sailing Mixed Three Person Keelboat,3,0,0,0,0,78,1964,0.0,3.0,0.0,3.0,0,0,1,0,1
ARG,Sailing,Sailing Mixed Two Person Keelboat,2,0,0,0,0,78,1964,0.0,0.0,0.0,0.0,0,0,1,0,1
ARG,Shooting,"Shooting Men's Free Pistol, 50 metres",1,0,0,0,0,78,1964,0.0,0.0,0.0,0.0,0,0,1,0,1
ARG,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",2,0,0,0,0,78,1964,0.0,0.0,0.0,0.0,0,0,1,0,1
ARG,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",2,0,0,0,0,78,1964,0.0,0.0,0.0,0.0,0,0,1,0,1
ARG,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",1,0,0,0,0,78,1964,0.0,0.0,0.0,0.0,0,0,1,0,1
ARG,Shooting,Shooting Men's Trap,2,0,0,0,0,78,1964,0.0,0.0,0.0,0.0,0,0,1,0,1
ARG,Swimming,"Swimming Men's 1,500 metres Freestyle",1,0,0,0,0,78,1964,0.0,0.0,0.0,0.0,0,0,1,0,1
ARG,Swimming,Swimming Men's 100 metres Freestyle,2,0,0,0,0,78,1964,0.0,0.0,0.0,0.0,0,0,1,0,1
ARG,Swimming,Swimming Men's 200 metres Backstroke,2,0,0,0,0,78,1964,0.0,0.0,0.0,0.0,0,0,1,0,1
ARG,Swimming,Swimming Men's 200 metres Breaststroke,1,0,0,0,0,78,1964,0.0,0.0,0.0,0.0,0,0,1,0,1
ARG,Swimming,Swimming Men's 200 metres Butterfly,1,0,0,0,0,78,1964,0.0,0.0,0.0,0.0,0,0,1,0,1
ARG,Swimming,Swimming Men's 4 x 100 metres Medley Relay,4,0,0,0,0,78,1964,0.0,0.0,0.0,0.0,0,0,1,0,1
ARG,Swimming,Swimming Men's 400 metres Freestyle,1,0,0,0,0,78,1964,0.0,0.0,0.0,0.0,0,0,1,0,1
ARG,Swimming,Swimming Women's 100 metres Backstroke,1,0,0,0,0,78,1964,0.0,0.0,0.0,0.0,0,0,1,0,1
ARG,Swimming,Swimming Women's 200 metres Breaststroke,1,0,0,0,0,78,1964,0.0,0.0,0.0,0.0,0,0,1,0,1
ARG,Weightlifting,Weightlifting Men's Heavyweight,1,0,0,0,0,78,1964,0.0,0.0,0.0,0.0,0,0,1,0,1
ARG,Weightlifting,Weightlifting Men's Light-Heavyweight,1,0,0,0,0,78,1964,0.0,0.0,0.0,0.0,0,0,1,0,1
ARG,Wrestling,"Wrestling Men's Bantamweight, Freestyle",1,0,0,0,0,78,1964,0.0,0.0,0.0,0.0,0,0,1,0,1
ARG,Wrestling,"Wrestling Men's Featherweight, Freestyle",1,0,0,0,0,78,1964,0.0,0.0,0.0,0.0,0,0,1,0,1
ARG,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",1,0,0,0,0,78,1964,0.0,0.0,0.0,0.0,0,0,1,0,1
ARG,Wrestling,"Wrestling Men's Lightweight, Freestyle",1,0,0,0,0,78,1964,0.0,0.0,0.0,0.0,0,0,1,0,1
ARG,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",1,0,0,0,0,78,1964,0.0,0.0,0.0,0.0,0,0,1,0,1
ARG,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",1,0,0,0,0,78,1964,0.0,0.0,0.0,0.0,0,0,1,0,1
