Event,importance_score
Men's Pommel Horse,0.0
Athletics Men's 100 metres,0.0
Athletics Men's Hammer Throw,0.0
Athletics Men's Long Jump,0.0
Athletics Men's Shot Put,0.0
"Athletics Women's 3,000 metres Steeplechase",0.0
Athletics Women's 400 metres Hurdles,0.0
Athletics Women's 400 metres,0.0
Athletics Women's Heptathlon,0.0
Athletics Women's Javelin Throw,0.0
Athletics Women's Triple Jump,0.0
Men's 100m,0.0
Men's Long Jump,0.0
Women's 3000m Steeplechase,0.0
"Cycling Men's Road Race, Individual",0.0
Judo Men's Half-Middleweight,0.0
Judo Women's Half-Lightweight,0.0
Men -66 kg,0.0
10m Air Pistol Women,0.0
25m Pistol Women,0.0
"Shooting Men's Air Pistol, 10 metres",0.0
"Shooting Men's Free Pistol, 50 metres",0.0
"Shooting Men's Rapid-Fire Pistol, 25 metres",0.0
"Shooting Mixed Free Pistol, 50 metres",0.0
"Shooting Mixed Small-Bore Rifle, Prone, 50 metres",0.0
"Shooting Women's Air Pistol, 10 metres",0.0
"Shooting Women's Sporting Pistol, 25 metres",0.0
Men's 100m Freestyle,0.0
Swimming Men's 100 metres Breaststroke,0.0
Swimming Men's 100 metres Freestyle,0.0
Swimming Men's 50 metres Freestyle,0.0
Swimming Women's 100 metres Butterfly,0.0
Swimming Women's 100 metres Freestyle,0.0
Swimming Women's 50 metres Freestyle,0.0
Women's 200m Freestyle,0.0
Women's 50m Freestyle,0.0
Men's 73kg,0.0
Men's 81kg,0.0
Weightlifting Men's Featherweight,0.0
Weightlifting Men's Heavyweight II,0.0
Weightlifting Men's Lightweight,0.0
Weightlifting Men's Middle-Heavyweight,0.0
Weightlifting Men's Middleweight,0.0
Weightlifting Women's Featherweight,0.0
Weightlifting Women's Lightweight,0.0
Men's Freestyle 57kg,0.0
Men's Freestyle 65kg,0.16666666666666666
Men's Freestyle 74kg,0.16666666666666666
"Wrestling Men's Heavyweight, Freestyle",0.0
"Wrestling Men's Heavyweight, Greco-Roman",0.0
"Wrestling Men's Lightweight, Freestyle",0.0
