Event,importance_score
"Athletics Men's 1,500 metres",0.0
Athletics Men's 10 kilometres Walk,0.0
Athletics Men's 10 mile Walk,0.0
"Athletics Men's 10,000 metres",0.0
Athletics Men's 100 metres,0.0
Athletics Men's 110 metres Hurdles,0.0
Athletics Men's 200 metres,0.0
"Athletics Men's 3,500 metres Walk",0.16666666666666666
Athletics Men's 400 metres Hurdles,0.0
Athletics Men's 400 metres,0.0
Athletics Men's 5 mile,0.0
"Athletics Men's 5,000 metres",0.0
Athletics Men's 800 metres,0.0
Athletics Men's Marathon,0.0
Athletics Men's Standing High Jump,0.0
Boxing Men's Middleweight,0.3333333333333333
Diving Men's Springboard,0.0
Rowing Men's Coxed Eights,0.0
Rowing Men's Single Sculls,0.0
Rugby Men's Rugby,7.5
"Shooting Men's Small-Bore Rifle, Disappearing Target, 25 yards",0.0
"Shooting Men's Small-Bore Rifle, Moving Target, 25 yards",0.0
"Shooting Men's Small-Bore Rifle, Prone, 50 and 100 yards",0.0
"Swimming Men's 1,500 metres Freestyle",0.3333333333333333
Swimming Men's 100 metres Freestyle,0.3333333333333333
Swimming Men's 200 metres Breaststroke,0.0
Swimming Men's 4 x 200 metres Freestyle Relay,2.0
Swimming Men's 400 metres Breaststroke,0.0
Swimming Men's 400 metres Freestyle,0.5
Swimming Women's 100 metres Freestyle,0.8333333333333333
"Tennis Men's Singles, Covered Courts",0.16666666666666666
