Event,importance_score
Men's Pommel Horse,0.0
Men's Rings,0.0
Men's Vault,0.5
Men,0.0
Athletics Men's Javelin Throw,0.0
Athletics Men's Long Jump,0.0
Athletics Men's Triple Jump,0.0
Athletics Women's 100 metres,0.0
Athletics Women's 200 metres,0.0
Athletics Women's 400 metres Hurdles,0.0
Athletics Women's 800 metres,0.0
Athletics Women's Javelin Throw,0.0
Athletics Women's Long Jump,0.0
Men's 800m,0.0
Men's Triple Jump,0.0
Boxing Men's Bantamweight,0.0
Boxing Men's Featherweight,0.0
Boxing Men's Flyweight,0.0
Boxing Men's Light-Flyweight,0.0
Boxing Men's Light-Welterweight,0.0
Boxing Men's Lightweight,0.16666666666666666
Boxing Men's Middleweight,0.0
Boxing Men's Welterweight,0.0
Men's +92kg,0.0
Men's Fly (48-52kg),0.0
Men's Light (57-63kg),0.16666666666666666
Men's Middle (69-75kg),0.0
"Canoeing Men's Kayak Singles, 1,000 metres",0.0
"Canoeing Men's Kayak Singles, 500 metres",0.0
"Cycling Men's Road Race, Individual",0.0
Diving Men's Platform,0.0
Diving Women's Springboard,0.0
Gymnastics Men's Floor Exercise,0.0
Gymnastics Men's Horizontal Bar,0.0
Gymnastics Men's Horse Vault,0.0
Gymnastics Men's Individual All-Around,0.0
Gymnastics Men's Parallel Bars,0.0
Gymnastics Men's Pommelled Horse,0.0
Gymnastics Men's Rings,0.0
Gymnastics Women's Balance Beam,0.0
Gymnastics Women's Floor Exercise,0.0
Gymnastics Women's Individual All-Around,0.0
Gymnastics Women's Uneven Bars,0.0
Judo Men's Extra-Lightweight,0.0
Judo Men's Half-Lightweight,0.0
Judo Men's Half-Middleweight,0.0
Men -73 kg,0.0
10m Air Pistol Women,0.0
"Shooting Men's Air Pistol, 10 metres",0.0
"Shooting Men's Air Rifle, 10 metres",0.0
"Shooting Men's Free Pistol, 50 metres",0.0
"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",0.0
Men's 100m Freestyle,0.0
Men's 50m Freestyle,0.0
Swimming Men's 100 metres Freestyle,0.0
Swimming Men's 50 metres Freestyle,0.0
Swimming Women's 100 metres Backstroke,0.0
Swimming Women's 100 metres Breaststroke,0.0
Swimming Women's 50 metres Freestyle,0.0
Women's 100m Butterfly,0.0
Women's 100m Freestyle,0.0
Taekwondo Men's Welterweight,0.0
Tennis Men's Singles,0.0
Men's +102kg,0.3333333333333333
Men's 102kg,0.0
Men's 109kg,0.3333333333333333
Men's 89kg,0.0
Weightlifting Men's Featherweight,0.0
Weightlifting Men's Heavyweight I,0.0
Weightlifting Men's Heavyweight II,0.0
Weightlifting Men's Heavyweight,0.3333333333333333
Weightlifting Men's Light-Heavyweight,0.16666666666666666
Weightlifting Men's Lightweight,0.16666666666666666
Weightlifting Men's Middle-Heavyweight,0.0
Weightlifting Men's Middleweight,0.3333333333333333
Weightlifting Men's Super-Heavyweight,0.3333333333333333
Weightlifting Women's Heavyweight,0.0
Weightlifting Women's Light-Heavyweight,0.0
Weightlifting Women's Super-Heavyweight,0.16666666666666666
Women's 59kg,0.0
Men's Freestyle 57kg,0.0
Men's Freestyle 65kg,0.0
Men's Greco-Roman 60kg,0.0
Men's Greco-Roman 67kg,0.0
Men's Greco-Roman 77kg,0.16666666666666666
Men's Greco-Roman 97kg,0.6666666666666666
"Wrestling Men's Bantamweight, Greco-Roman",0.0
"Wrestling Men's Featherweight, Freestyle",0.0
"Wrestling Men's Featherweight, Greco-Roman",0.16666666666666666
"Wrestling Men's Flyweight, Greco-Roman",0.5
"Wrestling Men's Heavyweight, Freestyle",0.0
"Wrestling Men's Heavyweight, Greco-Roman",0.6666666666666666
"Wrestling Men's Light-Flyweight, Freestyle",0.3333333333333333
"Wrestling Men's Light-Heavyweight, Freestyle",0.0
"Wrestling Men's Light-Heavyweight, Greco-Roman",0.0
"Wrestling Men's Lightweight, Freestyle",0.0
"Wrestling Men's Lightweight, Greco-Roman",0.0
"Wrestling Men's Middleweight, Freestyle",0.0
"Wrestling Men's Middleweight, Greco-Roman",0.3333333333333333
"Wrestling Men's Super-Heavyweight, Freestyle",0.0
"Wrestling Men's Super-Heavyweight, Greco-Roman",0.16666666666666666
"Wrestling Men's Welterweight, Freestyle",0.0
"Wrestling Men's Welterweight, Greco-Roman",0.3333333333333333
