Event,importance_score
Archery Men's Individual,0.0
Athletics Men's 100 metres,0.0
Athletics Men's Marathon,0.0
Athletics Men's Shot Put,0.0
Athletics Women's 100 metres,0.0
Athletics Women's Hammer Throw,0.0
Athletics Women's Shot Put,0.0
Men's 100m,0.0
Women's 100m,0.0
Boxing Men's Light-Heavyweight,0.0
Boxing Men's Light-Middleweight,0.0
Boxing Men's Welterweight,0.0
Judo Men's Half-Heavyweight,0.0
Judo Men's Lightweight,0.0
Judo Women's Half-Middleweight,0.0
Men's Two Person Dinghy - 470 Team,0.0
Sailing Mixed Two Person Keelboat,0.0
Men's 100m Breaststroke,0.0
Swimming Men's 50 metres Freestyle,0.0
Swimming Women's 100 metres Freestyle,0.0
Swimming Women's 50 metres Freestyle,0.0
Women's 100m Breaststroke,0.0
Men's 109kg,0.0
Weightlifting Men's Heavyweight II,0.0
Weightlifting Men's Heavyweight,0.0
Weightlifting Men's Light-Heavyweight,0.0
Weightlifting Men's Middle-Heavyweight,0.0
Weightlifting Men's Super-Heavyweight,0.0
"Wrestling Men's Heavyweight, Freestyle",0.0
"Wrestling Men's Light-Heavyweight, Freestyle",0.0
