Event,importance_score
Archery Men's Individual,0.0
Archery Women's Individual,0.0
Women's Individual,0.0
"Art Competitions Mixed Architecture, Architectural Designs",1.6666666666666665
"Art Competitions Mixed Architecture, Designs For Town Planning",0.0
"Art Competitions Mixed Architecture, Unknown Event",0.0
"Art Competitions Mixed Literature, Epic Works",0.0
"Art Competitions Mixed Literature, Lyric Works",0.16666666666666666
"Art Competitions Mixed Literature, Unknown Event",0.0
"Art Competitions Mixed Music, Unknown Event",0.0
"Art Competitions Mixed Painting, Applied Arts",0.0
"Art Competitions Mixed Painting, Drawings And Water Colors",0.0
"Art Competitions Mixed Painting, Graphic Arts",0.0
"Art Competitions Mixed Painting, Paintings",0.3333333333333333
"Art Competitions Mixed Painting, Unknown Event",0.0
"Art Competitions Mixed Sculpturing, Medals And Plaques",0.5
"Art Competitions Mixed Sculpturing, Medals And Reliefs",0.5
"Art Competitions Mixed Sculpturing, Statues",0.0
"Art Competitions Mixed Sculpturing, Unknown Event",0.0
Women's All-Around,0.0
Women's Balance Beam,0.0
Women's Floor Exercise,0.0
Women's Uneven Bars,0.0
Women's Vault,0.0
Women,0.0
Duet Team,0.0
Duet,0.0
"Athletics Men's 1,500 metres Walk",0.0
"Athletics Men's 1,500 metres",0.0
Athletics Men's 10 kilometres Walk,0.0
Athletics Men's 10 mile Walk,0.0
"Athletics Men's 10,000 metres",0.0
Athletics Men's 100 metres,0.0
Athletics Men's 110 metres Hurdles,0.0
"Athletics Men's 2,500 metres Steeplechase",0.0
Athletics Men's 20 kilometres Walk,0.0
Athletics Men's 200 metres,0.0
"Athletics Men's 3,000 metres Steeplechase",0.0
"Athletics Men's 3,000 metres Walk",0.0
Athletics Men's 4 x 100 metres Relay,0.0
Athletics Men's 400 metres Hurdles,0.0
Athletics Men's 400 metres,0.0
Athletics Men's 5 mile,0.0
"Athletics Men's 5,000 metres",0.0
Athletics Men's 50 kilometres Walk,0.0
Athletics Men's 800 metres,0.0
"Athletics Men's Cross-Country, Individual",0.0
Athletics Men's Decathlon,0.0
"Athletics Men's Discus Throw, Both Hands",0.0
"Athletics Men's Discus Throw, Greek Style",0.0
Athletics Men's Discus Throw,0.0
Athletics Men's Hammer Throw,0.0
Athletics Men's High Jump,0.0
Athletics Men's Javelin Throw,0.0
