Event,importance_score
Archery Men's Individual,0.0
Archery Women's Individual,0.0
Men's Individual,0.0
Mixed Team,0.0
Women's Individual,0.0
Athletics Men's 100 metres,0.0
Athletics Men's 200 metres,0.0
Athletics Men's 4 x 100 metres Relay,0.0
Athletics Men's 400 metres,0.0
Athletics Men's 800 metres,0.0
Athletics Men's Long Jump,0.0
Athletics Women's 100 metres,0.0
Athletics Women's Long Jump,0.0
Men's 100m,0.0
Men's 400m,0.0
Golf Men's Individual,0.0
Gymnastics Men's Floor Exercise,0.0
Gymnastics Men's Horizontal Bar,0.0
Gymnastics Men's Parallel Bars,0.0
10m Air Rifle Men,0.0
"Shooting Men's Air Rifle, 10 metres",0.0
"Shooting Women's Air Rifle, 10 metres",0.0
"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",0.0
Men's 100m Freestyle,0.0
Men's 50m Freestyle,0.0
Swimming Men's 100 metres Backstroke,0.0
Swimming Men's 100 metres Breaststroke,0.0
Swimming Men's 100 metres Butterfly,0.0
Swimming Men's 200 metres Breaststroke,0.0
Swimming Men's 50 metres Freestyle,0.0
Swimming Women's 100 metres Breaststroke,0.0
Swimming Women's 50 metres Freestyle,0.0
Women's 50m Freestyle,0.0
