Event,importance_score
Art Competitions Mixed Sculpturing,0.0
"Athletics Men's 1,500 metres",0.0
Athletics Men's 10 kilometres Walk,0.0
"Athletics Men's 10,000 metres",0.0
Athletics Men's 100 metres,0.0
Athletics Men's 200 metres,0.0
Athletics Men's 400 metres Hurdles,0.0
Athletics Men's 400 metres,0.0
Athletics Men's 5 mile,0.0
Athletics Men's 800 metres,0.0
"Athletics Men's Discus Throw, Greek Style",0.0
Athletics Men's Discus Throw,0.3333333333333333
"Athletics Men's Javelin Throw, Freestyle",0.0
Athletics Men's Long Jump,0.0
Athletics Men's Marathon,0.0
Athletics Men's Pentathlon (Ancient),0.0
Athletics Men's Pole Vault,0.0
Athletics Men's Shot Put,0.0
Athletics Men's Triple Jump,0.0
"Cycling Men's Road Race, Individual",0.0
"Cycling Men's Road Race, Team",0.0
Cycling Men's Sprint,0.0
"Fencing Men's epee, Individual",0.0
"Fencing Men's epee, Team",0.0
"Fencing Men's Foil, Individual",0.0
"Fencing Men's Sabre, Individual",0.16666666666666666
"Fencing Men's Sabre, Team",0.8333333333333333
"Gymnastics Men's Individual All-Around, 5 Events",0.0
Gymnastics Men's Individual All-Around,0.0
Gymnastics Men's Rope Climbing,0.0
Rowing Men's Single Sculls,0.0
"Shooting Men's Free Pistol, 25 metres",0.0
"Shooting Men's Free Rifle, Any Position, 300 metres",0.0
"Shooting Men's Military Revolver, 1873-1874 Gras Model, 20 metres",0.0
"Shooting Men's Military Rifle, 1873-1874 Gras Model, Kneeling Or Standing, 200 metres",0.0
"Shooting Men's Military Rifle, Kneeling Or Standing, 300 metres",0.0
Tennis Men's Doubles,0.3333333333333333
"Tennis Men's Singles, Covered Courts",0.0
Tennis Men's Singles,0.16666666666666666
Tennis Mixed Doubles,0.16666666666666666
Tennis Women's Singles,0.16666666666666666
"Wrestling Men's Featherweight, Greco-Roman",0.0
"Wrestling Men's Light-Heavyweight, Greco-Roman",0.0
"Wrestling Men's Lightweight, Greco-Roman",0.0
"Wrestling Men's Middleweight B, Greco-Roman",0.0
"Wrestling Men's Middleweight, Greco-Roman",0.0
