Event,importance_score
"Athletics Men's 1,500 metres",0.0
"Athletics Men's 10,000 metres",0.0
Athletics Men's 100 metres,0.0
Athletics Men's 110 metres Hurdles,0.0
Athletics Men's 200 metres,0.0
"Athletics Men's 3,000 metres Steeplechase",0.0
Athletics Men's 400 metres Hurdles,0.0
Athletics Men's 400 metres,0.0
"Athletics Men's 5,000 metres",0.0
Athletics Men's 800 metres,0.0
Athletics Men's Hammer Throw,0.0
Athletics Men's Javelin Throw,0.0
Athletics Men's Marathon,0.0
"Athletics Women's 1,500 metres",0.16666666666666666
"Athletics Women's 10,000 metres",0.0
Athletics Women's 100 metres,0.0
Athletics Women's 200 metres,0.0
"Athletics Women's 3,000 metres Steeplechase",0.5
Athletics Women's 400 metres,0.0
"Athletics Women's 5,000 metres",0.0
Athletics Women's 800 metres,0.0
Athletics Women's Marathon,0.3333333333333333
"Men's 10,000m",0.0
Men's 1500m,0.0
Men's 3000m Steeplechase,0.0
Men's 5000m,0.0
Men's Marathon,0.0
Men's Shot Put,0.0
"Women's 10,000m",0.3333333333333333
Women's 3000m Steeplechase,0.5
Women's 400m Hurdles,0.0
Women's 400m,0.3333333333333333
Women's 800m,0.0
Women's Marathon,0.0
Men's Super Heavy (+91kg),0.0
Cycling Men's 100 kilometres Team Time Trial,0.0
"Cycling Men's Road Race, Individual",0.0
"Fencing Men's epee, Individual",0.0
"Fencing Men's epee, Team",0.0
Men Team,0.0
Men -81 kg,0.0
Modern Pentathlon Men's Individual,0.0
Modern Pentathlon Men's Team,0.0
Sailing Mixed One Person Dinghy,0.0
Sailing Mixed Three Person Keelboat,0.0
"Shooting Men's Air Pistol, 10 metres",0.0
"Shooting Men's Rapid-Fire Pistol, 25 metres",0.0
"Shooting Men's Small-Bore Rifle, Prone, 50 metres",0.0
Shooting Mixed Trap,0.0
"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",0.0
Skeet Women,0.0
Men's 100m Butterfly,0.0
Men's 200m Breaststroke,0.0
Swimming Men's 100 metres Butterfly,0.0
Swimming Men's 100 metres Freestyle,0.0
Swimming Men's 50 metres Freestyle,0.0
Swimming Women's 50 metres Freestyle,0.0
Women's 100m Backstroke,0.0
Women's 50m Freestyle,0.0
Men's +102kg,0.16666666666666666
Men's 102kg,0.0
Men's Freestyle 97kg,0.5
"Wrestling Men's Welterweight, Freestyle",0.0
