Event,importance_score
Archery Men's Individual,0.0
Archery Women's Individual,0.0
Men's Individual,0.0
Art Competitions Mixed Music,0.0
Women's Vault,0.0
"Athletics Men's 1,500 metres",0.0
Athletics Men's 100 metres,0.6666666666666666
Athletics Men's 110 metres Hurdles,1.8333333333333333
Athletics Men's 20 kilometres Walk,0.0
Athletics Men's 200 metres,0.0
Athletics Men's 4 x 100 metres Relay,2.6666666666666665
Athletics Men's 4 x 400 metres Relay,1.3333333333333333
Athletics Men's 400 metres Hurdles,0.0
Athletics Men's 400 metres,0.5
Athletics Men's 800 metres,0.5
Athletics Men's Decathlon,0.3333333333333333
Athletics Men's Discus Throw,0.3333333333333333
Athletics Men's Hammer Throw,0.0
Athletics Men's High Jump,0.8333333333333333
Athletics Men's Javelin Throw,0.0
Athletics Men's Long Jump,0.6666666666666666
Athletics Men's Marathon,0.0
Athletics Men's Pole Vault,0.0
Athletics Men's Shot Put,0.0
Athletics Men's Triple Jump,0.5
Athletics Women's 100 metres Hurdles,0.0
Athletics Women's 100 metres,0.16666666666666666
Athletics Women's 200 metres,0.0
Athletics Women's 4 x 100 metres Relay,2.0
Athletics Women's 4 x 400 metres Relay,0.0
Athletics Women's 400 metres Hurdles,0.0
Athletics Women's 400 metres,0.0
Athletics Women's 80 metres Hurdles,0.0
Athletics Women's 800 metres,0.5
Athletics Women's Discus Throw,0.9999999999999999
Athletics Women's Hammer Throw,0.8333333333333333
Athletics Women's Heptathlon,0.0
Athletics Women's High Jump,0.16666666666666666
Athletics Women's Javelin Throw,1.1666666666666667
Athletics Women's Long Jump,0.0
Athletics Women's Marathon,0.0
Athletics Women's Pole Vault,0.3333333333333333
Athletics Women's Shot Put,0.5
Athletics Women's Triple Jump,0.0
Men's 100m,0.0
Men's Discus Throw,0.0
Men's High Jump,0.0
Men's Long Jump,0.5
Men's Triple Jump,0.0
Women's 100m,0.0
Women's 4 x 400m Relay Team,0.0
Women's 4 x 400m Relay,0.0
Women's 400m Hurdles,0.0
Women's 400m,0.0
Women's 800m,0.0
Women's Discus Throw,0.16666666666666666
Women's Heptathlon,0.0
Women's Pole Vault,0.0
Women's Triple Jump,0.0
Badminton Men's Singles,0.0
Baseball Men's Baseball,48.0
Basketball Men's Basketball,2.0
Basketball Women's Basketball,0.0
