Event,importance_score
"Men's 10,000m",0.0
Men's 100m,0.0
Men's 1500m,0.0
Men's 5000m,0.0
Men's 800m,0.0
Men's Long Jump,0.0
Men's Marathon,0.0
Women's 1500m,0.0
Women's 800m,0.0
Men's Singles,0.0
Women's Singles,0.0
Men's 51kg,0.0
Men's Light (57-63kg),0.0
Men's Middle (69-75kg),0.0
Women's 75kg,0.16666666666666666
B-Girls,0.0
Men's Canoe Single,0.0
Men's Kayak Cross,0.0
Men's Canoe Single 1000m,0.0
Men's Kayak Single 1000m,0.0
Women's Kayak Single 500m,0.0
Men's Individual Time Trial,0.0
Women's Individual Time Trial,0.0
Women's Road Race,0.0
Men +100 kg,0.0
Men -100 kg,0.0
Men -66 kg,0.0
Men -73 kg,0.0
Men -81 kg,0.0
Men -90 kg,0.0
Mixed Team,0.0
Women +78 kg,0.0
Women -57 kg,0.0
Women -63 kg,0.0
Women -70 kg,0.0
Men's Kata,0.0
Men's Kumite -67kg,0.0
10m Air Pistol Men,0.0
10m Air Rifle Women,0.0
Men's 200m Butterfly,0.0
Men's 50m Freestyle,0.0
Women's 100m Butterfly,0.0
Men +80kg,0.0
Men -58kg,0.0
Men -68kg,0.0
Men -80kg,0.0
Women -49kg,0.0
Women -57kg,0.0
Men's 102kg,0.0
Men's 96kg,0.0
Women's 81kg,0.0
Men's Freestyle 74kg,0.0
Men's Greco-Roman 60kg,0.0
Men's Greco-Roman 67kg,0.0
