Event,importance_score
"Athletics Men's 1,500 metres",0.0
"Athletics Men's 10,000 metres",0.16666666666666666
"Athletics Men's 3,000 metres Steeplechase",0.0
"Athletics Men's 5,000 metres",0.0
Athletics Men's Marathon,0.0
"Athletics Women's 5,000 metres",0.0
Athletics Women's Marathon,0.0
"Men's 10,000m",0.0
Men's 3000m Steeplechase,0.0
Men's 5000m,0.0
Men's Marathon,0.0
"Women's 10,000m",0.0
Women's 5000m,0.0
Women's Marathon,0.0
Men's Individual Time Trial,0.0
Men's Road Race,0.0
Women's Road Race,0.0
"Cycling Men's Road Race, Individual",0.0
Men's 50m Freestyle,0.0
Women's 50m Freestyle,0.0
