Event,importance_score
Archery Men's Individual,0.0
Archery Women's Individual,0.0
Women's Individual,0.0
"Athletics Men's 1,500 metres",0.0
Athletics Men's 10 kilometres Walk,0.0
"Athletics Men's 10,000 metres",0.0
Athletics Men's 100 metres,0.0
Athletics Men's 110 metres Hurdles,0.0
Athletics Men's 200 metres,0.0
"Athletics Men's 3,000 metres Steeplechase",0.0
"Athletics Men's 3,000 metres Walk",0.0
Athletics Men's 400 metres Hurdles,0.0
Athletics Men's 400 metres,0.0
Athletics Men's 50 kilometres Walk,0.0
Athletics Men's 800 metres,0.0
Athletics Men's Decathlon,0.6666666666666666
Athletics Men's Discus Throw,0.8333333333333333
Athletics Men's Hammer Throw,0.0
Athletics Men's High Jump,0.0
Athletics Men's Javelin Throw,0.0
Athletics Men's Long Jump,0.0
Athletics Men's Marathon,0.3333333333333333
Athletics Men's Pentathlon,0.0
Athletics Men's Pole Vault,0.0
Athletics Men's Shot Put,0.0
Athletics Men's Triple Jump,0.0
Athletics Women's 100 metres Hurdles,0.0
Athletics Women's 400 metres,0.0
Athletics Women's Discus Throw,0.0
Athletics Women's Heptathlon,0.0
Athletics Women's High Jump,0.0
Athletics Women's Javelin Throw,0.0
Athletics Women's Long Jump,0.0
Athletics Women's Marathon,0.0
Athletics Women's Triple Jump,0.0
Men's 400m Hurdles,0.0
Men's Decathlon,0.0
Men's Marathon,0.0
Women's High Jump,0.0
Women's Long Jump,0.0
Badminton Men's Singles,0.0
Badminton Women's Singles,0.0
Men's Singles,0.0
Women's Singles,0.0
Basketball Men's Basketball,0.0
Beach Volleyball Men's Beach Volleyball,0.0
Boxing Men's Featherweight,0.0
Boxing Men's Lightweight,0.3333333333333333
Boxing Men's Welterweight,0.0
"Canoeing Men's Canadian Singles, 1,000 metres",0.0
"Canoeing Men's Canadian Singles, 500 metres",0.0
"Canoeing Men's Kayak Singles, 1,000 metres",0.0
"Canoeing Men's Kayak Singles, 500 metres",0.0
Women's Cross-country,0.0
Men's Individual Time Trial,0.0
Men's Road Race,0.0
Cycling Men's Individual Time Trial,0.0
"Cycling Men's Mountainbike, Cross-Country",0.0
"Cycling Men's Road Race, Individual",0.0
Cycling Men's Sprint,0.0
"Cycling Women's Road Race, Individual",0.0
Cycling Women's Sprint,0.5
Dressage Individual,0.0
