Event,importance_score
Archery Men's Individual,0.0
Archery Men's Team,0.0
Archery Women's Individual,0.16666666666666666
Archery Women's Team,0.5
"Athletics Men's 1,500 metres",0.0
"Athletics Men's 10,000 metres",0.0
Athletics Men's 100 metres,0.0
Athletics Men's 110 metres Hurdles,0.0
Athletics Men's 20 kilometres Walk,0.0
Athletics Men's 200 metres,0.0
"Athletics Men's 3,000 metres Steeplechase",0.0
Athletics Men's 4 x 100 metres Relay,0.0
Athletics Men's 4 x 400 metres Relay,0.0
Athletics Men's 400 metres Hurdles,0.0
Athletics Men's 400 metres,0.0
"Athletics Men's 5,000 metres",0.0
Athletics Men's 50 kilometres Walk,0.5
Athletics Men's 800 metres,0.0
Athletics Men's Decathlon,0.0
Athletics Men's Discus Throw,0.0
Athletics Men's Hammer Throw,0.9999999999999999
Athletics Men's High Jump,0.0
Athletics Men's Javelin Throw,0.0
Athletics Men's Long Jump,0.0
Athletics Men's Marathon,0.0
Athletics Men's Pole Vault,0.8333333333333333
Athletics Men's Shot Put,0.16666666666666666
Athletics Men's Triple Jump,0.0
"Athletics Women's 1,500 metres",0.3333333333333333
Athletics Women's 10 kilometres Walk,0.3333333333333333
"Athletics Women's 10,000 metres",0.0
Athletics Women's 100 metres Hurdles,0.0
Athletics Women's 100 metres,0.16666666666666666
Athletics Women's 200 metres,0.0
"Athletics Women's 3,000 metres",0.8333333333333333
Athletics Women's 4 x 100 metres Relay,1.3333333333333333
Athletics Women's 4 x 400 metres Relay,3.0
Athletics Women's 400 metres Hurdles,0.0
Athletics Women's 400 metres,0.3333333333333333
Athletics Women's 800 metres,0.3333333333333333
Athletics Women's Discus Throw,0.0
Athletics Women's Heptathlon,0.3333333333333333
Athletics Women's High Jump,0.0
Athletics Women's Javelin Throw,0.3333333333333333
Athletics Women's Long Jump,0.3333333333333333
Athletics Women's Marathon,0.5
Athletics Women's Shot Put,0.5
Badminton Men's Singles,0.0
Badminton Women's Singles,0.0
Basketball Men's Basketball,0.0
Basketball Women's Basketball,6.0
Boxing Men's Bantamweight,0.0
Boxing Men's Featherweight,0.16666666666666666
Boxing Men's Flyweight,0.0
Boxing Men's Heavyweight,0.0
