Event,importance_score
Athletics Men's 100 metres,0.0
Athletics Men's 400 metres,0.0
Athletics Men's 800 metres,0.0
"Athletics Women's 1,500 metres",0.0
Athletics Women's 400 metres,0.0
Athletics Women's 800 metres,0.0
Athletics Women's Shot Put,0.0
Men's 100m,0.0
Judo Women's Extra-Lightweight,0.0
Men +100 kg,0.0
Women -52 kg,0.0
Men's 50m Freestyle,0.0
Men +80kg,0.0
Men's Freestyle 57kg,0.0
Men's Freestyle 74kg,0.0
"Wrestling Men's Bantamweight, Freestyle",0.0
"Wrestling Men's Featherweight, Freestyle",0.0
"Wrestling Men's Heavyweight, Freestyle",0.0
"Wrestling Men's Middleweight, Freestyle",0.0
"Wrestling Women's Flyweight, Freestyle",0.0
"Wrestling Women's Middleweight, Freestyle",0.0
