Event,importance_score
Athletics Men's 100 metres,0.0
Athletics Men's 200 metres,0.0
Athletics Men's 4 x 400 metres Relay,0.0
Athletics Men's 400 metres,0.8333333333333333
Athletics Men's 800 metres,0.0
Athletics Men's Decathlon,0.0
Athletics Men's Long Jump,0.0
Athletics Men's Triple Jump,0.0
Athletics Women's 100 metres,0.0
Athletics Women's 200 metres,0.0
Athletics Women's 400 metres,0.0
Athletics Women's 800 metres,0.0
Athletics Women's Long Jump,0.0
Athletics Women's Marathon,0.0
Men's 400m,0.16666666666666666
Men's Decathlon,0.16666666666666666
Men's Javelin Throw,0.16666666666666666
Women's 100m,0.0
Women's 400m,0.0
Boxing Men's Bantamweight,0.0
Boxing Men's Light-Heavyweight,0.0
Boxing Men's Light-Middleweight,0.0
Boxing Men's Lightweight,0.0
Boxing Men's Middleweight,0.0
Boxing Men's Welterweight,0.0
Men's 100m Backstroke,0.0
Men's 100m Freestyle,0.0
Swimming Men's 100 metres Breaststroke,0.0
Swimming Men's 100 metres Freestyle,0.0
Swimming Men's 50 metres Freestyle,0.0
Swimming Women's 100 metres Breaststroke,0.0
Swimming Women's 100 metres Butterfly,0.0
Women's 100m Backstroke,0.0
Women's 100m Freestyle,0.0
Taekwondo Women's Welterweight,0.0
