Event,importance_score
Archery Men's Individual,0.0
Archery Men's Team,0.0
Archery Women's Individual,0.0
Archery Women's Team,1.0
Men's Individual,0.0
Men's Team,0.0
Mixed Team,0.0
Women's Individual,0.0
Women's Team,0.0
Women's Uneven Bars,0.0
Women,0.0
"Athletics Men's 10,000 metres",0.0
Athletics Men's 100 metres,0.0
Athletics Men's 110 metres Hurdles,0.0
Athletics Men's 200 metres,0.0
Athletics Men's 4 x 100 metres Relay,0.0
Athletics Men's 400 metres,0.0
"Athletics Men's 5,000 metres",0.0
Athletics Men's High Jump,0.0
Athletics Men's Marathon,0.0
Athletics Women's 100 metres Hurdles,0.0
Athletics Women's 100 metres,0.0
Athletics Women's 200 metres,0.0
Athletics Women's 400 metres,0.0
"Athletics Women's 5,000 metres",0.0
Athletics Women's Long Jump,0.0
Athletics Women's Marathon,0.0
Men's 100m,0.0
Women's 100m,0.0
Badminton Men's Doubles,4.333333333333333
Badminton Men's Singles,1.9999999999999998
Badminton Mixed Doubles,2.333333333333333
Badminton Women's Doubles,0.0
Badminton Women's Singles,1.1666666666666665
Men's Doubles Team,0.0
Men's Doubles,0.0
Men's Singles,0.16666666666666666
Mixed Doubles Team,0.0
Mixed Doubles,0.0
Women's Doubles Team,1.0
Women's Doubles,0.0
Women's Singles,0.16666666666666666
Beach Volleyball Men's Beach Volleyball,0.0
Beach Volleyball Women's Beach Volleyball,0.0
Boxing Men's Bantamweight,0.0
Boxing Men's Featherweight,0.0
Boxing Men's Flyweight,0.0
Boxing Men's Light-Flyweight,0.0
Boxing Men's Light-Middleweight,0.0
Boxing Men's Light-Welterweight,0.0
Boxing Men's Lightweight,0.0
Boxing Men's Middleweight,0.0
Boxing Men's Welterweight,0.0
"Canoeing Men's Kayak Doubles, 1,000 metres",0.0
"Canoeing Men's Kayak Doubles, 500 metres",0.0
"Canoeing Men's Kayak Singles, 1,000 metres",0.0
"Canoeing Men's Kayak Singles, 500 metres",0.0
"Canoeing Women's Kayak Singles, 500 metres",0.0
Men's Omnium,0.0
"Cycling Men's 1,000 metres Time Trial",0.0
Cycling Men's 100 kilometres Team Time Trial,0.0
Cycling Men's BMX,0.0
"Cycling Men's Road Race, Individual",0.0
Cycling Men's Sprint,0.0
Cycling Women's Points Race,0.0
Diving Men's Platform,0.0
Diving Women's Platform,0.0
Diving Women's Springboard,0.0
"Fencing Men's epee, Individual",0.0
"Fencing Men's Foil, Individual",0.0
"Fencing Men's Sabre, Individual",0.0
"Fencing Women's Foil, Individual",0.0
"Fencing Women's Sabre, Individual",0.0
Football Men's Football,0.0
Judo Men's Half-Heavyweight,0.0
Judo Men's Half-Middleweight,0.0
Judo Men's Lightweight,0.0
Judo Men's Middleweight,0.0
Judo Women's Half-Heavyweight,0.0
Judo Women's Middleweight,0.0
Women -52 kg,0.0
Lightweight Women's Double Sculls Team,0.0
Men's Single Sculls,0.0
Rowing Men's Single Sculls,0.0
Rowing Women's Single Sculls,0.0
Sailing Men's Windsurfer,0.0
Sailing Mixed One Person Dinghy,0.0
Sailing Mixed Three Person Keelboat,0.0
Sailing Mixed Two Person Heavyweight Dinghy,0.0
Sailing Mixed Windsurfer,0.0
10m Air Rifle Men,0.0
10m Air Rifle Women,0.0
50m Rifle 3 Positions Men,0.0
50m Rifle 3 Positions Women,0.0
"Shooting Men's Free Pistol, 50 metres",0.0
"Shooting Men's Rapid-Fire Pistol, 25 metres",0.0
"Shooting Women's Air Pistol, 10 metres",0.0
"Shooting Women's Air Rifle, 10 metres",0.0
"Shooting Women's Sporting Pistol, 25 metres",0.0
Men's Speed,0.5
Women's Speed,0.0
Men,0.0
Men's 100m Butterfly,0.0
Men's 1500m Freestyle,0.0
Men's 400m Freestyle,0.0
"Swimming Men's 1,500 metres Freestyle",0.0
Swimming Men's 100 metres Backstroke,0.0
Swimming Men's 100 metres Breaststroke,0.0
Swimming Men's 100 metres Butterfly,0.0
Swimming Men's 100 metres Freestyle,0.0
Swimming Men's 200 metres Backstroke,0.0
Swimming Men's 200 metres Breaststroke,0.0
Swimming Men's 200 metres Butterfly,0.0
Swimming Men's 200 metres Freestyle,0.0
Swimming Men's 200 metres Individual Medley,0.0
Swimming Men's 400 metres Freestyle,0.0
Swimming Men's 50 metres Freestyle,0.0
Swimming Women's 100 metres Backstroke,0.0
Swimming Women's 200 metres Backstroke,0.0
Swimming Women's 200 metres Breaststroke,0.0
Swimming Women's 200 metres Individual Medley,0.0
Women's 200m Individual Medley,0.0
Women's 400m Individual Medley,0.0
Table Tennis Men's Doubles,0.0
Table Tennis Men's Singles,0.0
Table Tennis Women's Doubles,0.0
Table Tennis Women's Singles,0.0
Taekwondo Men's Flyweight,0.0
Taekwondo Women's Flyweight,0.0
Tennis Men's Doubles,0.0
Tennis Men's Singles,0.0
Tennis Women's Doubles,0.0
Tennis Women's Singles,0.0
Men's 61kg,0.3333333333333333
Men's 67kg,0.0
Men's 73kg,0.6666666666666666
Weightlifting Men's Bantamweight,0.16666666666666666
Weightlifting Men's Featherweight,0.6666666666666666
Weightlifting Men's Flyweight,0.0
Weightlifting Men's Light-Heavyweight,0.0
Weightlifting Men's Lightweight,0.3333333333333333
Weightlifting Men's Middleweight,0.0
Weightlifting Women's Featherweight,0.5
Weightlifting Women's Flyweight,0.8333333333333333
Weightlifting Women's Lightweight,0.0
Women's +81kg,0.0
Women's +87kg,0.0
Women's 49kg,0.16666666666666666
"Wrestling Men's Flyweight, Freestyle",0.0
"Wrestling Men's Light-Flyweight, Freestyle",0.0
