Event,importance_score
Archery Men's Individual,0.0
Archery Women's Individual,0.0
Men's Individual,0.0
Women's Individual,0.0
Men's Vault,0.0
Men,0.0
"Athletics Men's 1,500 metres",0.0
"Athletics Men's 10,000 metres",0.0
Athletics Men's 100 metres,0.0
Athletics Men's 110 metres Hurdles,0.0
Athletics Men's 20 kilometres Walk,0.0
Athletics Men's 200 metres,0.0
"Athletics Men's 3,000 metres Steeplechase",0.0
Athletics Men's 400 metres,0.0
"Athletics Men's 5,000 metres",0.0
Athletics Men's 800 metres,0.0
Athletics Men's Decathlon,0.0
Athletics Men's Discus Throw,0.3333333333333333
Athletics Men's Hammer Throw,0.0
Athletics Men's High Jump,0.0
Athletics Men's Long Jump,0.0
Athletics Men's Marathon,0.0
Athletics Men's Shot Put,0.0
Athletics Men's Triple Jump,0.0
Athletics Women's 100 metres,0.0
Athletics Women's Discus Throw,0.0
Athletics Women's High Jump,0.0
Athletics Women's Long Jump,0.0
Athletics Women's Shot Put,0.0
Men's 100m,0.0
Men's Discus Throw,0.0
Women's 100m,0.0
Badminton Men's Singles,0.0
Women's Singles,0.0
Basketball Men's Basketball,0.0
Men Team,0.0
Boxing Men's Bantamweight,0.0
Boxing Men's Featherweight,0.0
Boxing Men's Flyweight,0.0
Boxing Men's Heavyweight,0.0
Boxing Men's Light-Flyweight,0.0
Boxing Men's Light-Heavyweight,0.0
Boxing Men's Light-Middleweight,0.0
Boxing Men's Light-Welterweight,0.0
Boxing Men's Lightweight,0.0
Boxing Men's Middleweight,0.0
Boxing Men's Super-Heavyweight,0.0
Boxing Men's Welterweight,0.0
Men's Feather (52-57kg),0.0
Men's Middle (69-75kg),0.0
Men's Canoe Single 1000m,0.0
Men's Kayak Single 1000m,0.0
"Canoeing Men's Canadian Singles, 200 metres",0.0
"Canoeing Men's Kayak Singles, 1,000 metres",0.0
"Canoeing Men's Kayak Singles, 500 metres",0.0
"Canoeing Women's Kayak Singles, 200 metres",0.0
"Canoeing Women's Kayak Singles, 500 metres",0.0
Men's Individual Time Trial,0.0
Men's Road Race,0.0
"Cycling Men's 1,000 metres Time Trial",0.0
Cycling Men's 100 kilometres Team Time Trial,0.0
"Cycling Men's Individual Pursuit, 4,000 metres",0.0
Cycling Men's Individual Time Trial,0.0
