Event,importance_score
Athletics Men's 100 metres,0.0
Athletics Men's 200 metres,0.0
Athletics Men's 4 x 100 metres Relay,0.0
Athletics Men's 4 x 400 metres Relay,0.0
Athletics Men's 400 metres,0.0
Athletics Men's 800 metres,0.0
Athletics Men's Discus Throw,0.0
Athletics Men's High Jump,0.0
Athletics Men's Long Jump,0.0
Athletics Men's Shot Put,0.0
Athletics Women's 100 metres,0.0
Athletics Women's 200 metres,0.0
Men's 100m,0.0
Men's 400m Hurdles,0.0
Women's 200m,0.0
Women's Long Jump,0.0
Men's Dinghy,0.0
Sailing Mixed One Person Dinghy,0.0
Sailing Mixed Three Person Keelboat,0.0
Sailing Mixed Two Person Dinghy,0.0
Sailing Mixed Windsurfer,0.0
Swimming Women's 50 metres Freestyle,0.0
Women's 50m Freestyle,0.0
