Event,importance_score
Women's Uneven Bars,0.0
4 x 400m Relay Mixed Team,0.0
4 x 400m Relay Mixed,0.0
"Athletics Men's 1,500 metres",0.0
Athletics Men's 100 metres,2.9999999999999996
Athletics Men's 110 metres Hurdles,0.6666666666666666
Athletics Men's 200 metres,2.666666666666667
Athletics Men's 4 x 100 metres Relay,7.166666666666666
Athletics Men's 4 x 400 metres Relay,8.666666666666666
Athletics Men's 400 metres Hurdles,0.6666666666666666
Athletics Men's 400 metres,1.8333333333333333
"Athletics Men's 5,000 metres",0.0
Athletics Men's 800 metres,0.6666666666666666
Athletics Men's Decathlon,0.0
Athletics Men's Discus Throw,0.0
Athletics Men's High Jump,0.0
Athletics Men's Long Jump,0.3333333333333333
Athletics Men's Marathon,0.0
Athletics Men's Shot Put,0.0
Athletics Men's Triple Jump,0.0
"Athletics Women's 1,500 metres",0.0
Athletics Women's 100 metres Hurdles,0.0
Athletics Women's 100 metres,4.0
Athletics Women's 200 metres,3.666666666666666
"Athletics Women's 3,000 metres Steeplechase",0.0
Athletics Women's 4 x 100 metres Relay,9.166666666666666
Athletics Women's 4 x 400 metres Relay,6.5
Athletics Women's 400 metres Hurdles,1.3333333333333333
Athletics Women's 400 metres,0.8333333333333333
Athletics Women's 80 metres Hurdles,0.0
Athletics Women's 800 metres,0.0
Athletics Women's Discus Throw,0.0
Athletics Women's Hammer Throw,0.0
Athletics Women's Heptathlon,0.0
Athletics Women's High Jump,0.0
Athletics Women's Javelin Throw,0.0
Athletics Women's Long Jump,0.0
Athletics Women's Pentathlon,0.0
Athletics Women's Shot Put,0.0
Athletics Women's Triple Jump,0.0
Men's 100m,0.3333333333333333
Men's 110m Hurdles,0.8333333333333333
Men's 200m,0.0
Men's 4 x 100m Relay Team,0.0
Men's 4 x 100m Relay,0.0
Men's 4 x 400m Relay Team,0.0
Men's 400m Hurdles,0.0
Men's 400m,0.0
Men's 800m,0.0
Men's Discus Throw,0.5
Men's High Jump,0.0
Men's Long Jump,0.3333333333333333
Men's Shot Put,0.16666666666666666
Men's Triple Jump,0.0
Women's 100m Hurdles,0.16666666666666666
Women's 100m,0.9999999999999999
Women's 1500m,0.0
Women's 200m,0.5
Women's 4 x 100m Relay Team,3.0
Women's 4 x 100m Relay,0.0
Women's 4 x 400m Relay Team,1.3333333333333333
Women's 4 x 400m Relay,0.0
Women's 400m Hurdles,0.0
Women's 400m,0.0
Women's 800m,0.0
Women's Discus Throw,0.0
Women's High Jump,0.0
Women's Long Jump,0.0
Women's Shot Put,0.0
Women's Triple Jump,0.3333333333333333
Badminton Women's Singles,0.0
Boxing Men's Bantamweight,0.0
Boxing Men's Featherweight,0.0
Boxing Men's Heavyweight,0.0
Boxing Men's Light-Flyweight,0.0
Boxing Men's Light-Heavyweight,0.0
Boxing Men's Light-Middleweight,0.0
Boxing Men's Light-Welterweight,0.0
Boxing Men's Lightweight,0.0
Boxing Men's Middleweight,0.0
Boxing Men's Welterweight,0.0
Men's Super Heavy (+91kg),0.0
"Cycling Men's 1,000 metres Time Trial",0.16666666666666666
"Cycling Men's Individual Pursuit, 4,000 metres",0.0
Cycling Men's Keirin,0.0
Cycling Men's Points Race,0.0
"Cycling Men's Road Race, Individual",0.0
Cycling Men's Sprint,0.0
"Cycling Men's Tandem Sprint, 2,000 metres",0.0
"Cycling Men's Team Pursuit, 4,000 metres",0.0
Diving Men's Springboard,0.0
Diving Women's Springboard,0.0
Men's 3m Springboard,0.0
"Equestrianism Mixed Three-Day Event, Individual",0.0
Gymnastics Women's Balance Beam,0.0
Gymnastics Women's Floor Exercise,0.0
Gymnastics Women's Individual All-Around,0.0
Gymnastics Women's Uneven Bars,0.0
Men -60 kg,0.0
Women -70 kg,0.0
Sailing Men's Two Person Dinghy,0.0
Sailing Mixed Three Person Keelboat,0.0
Sailing Mixed Two Person Heavyweight Dinghy,0.0
"Shooting Men's Free Pistol, 50 metres",0.0
"Shooting Women's Air Rifle, 10 metres",0.0
Men's 100m Butterfly,0.0
Men's 200m Butterfly,0.0
Men's 200m Individual Medley,0.0
Swimming Men's 100 metres Backstroke,0.0
Swimming Men's 100 metres Butterfly,0.0
Swimming Men's 100 metres Freestyle,0.0
Swimming Men's 200 metres Backstroke,0.0
Swimming Men's 200 metres Individual Medley,0.0
Swimming Men's 4 x 100 metres Freestyle Relay,0.0
Swimming Men's 4 x 100 metres Medley Relay,0.0
Swimming Men's 400 metres Individual Medley,0.0
Swimming Men's 50 metres Freestyle,0.0
Swimming Women's 100 metres Breaststroke,0.0
Swimming Women's 100 metres Freestyle,0.0
Swimming Women's 200 metres Breaststroke,0.0
Swimming Women's 200 metres Freestyle,0.0
Swimming Women's 400 metres Freestyle,0.0
Swimming Women's 50 metres Freestyle,0.0
Swimming Women's 800 metres Freestyle,0.0
Women's 100m Breaststroke,0.0
Women's 50m Freestyle,0.0
Table Tennis Men's Doubles,0.0
Table Tennis Men's Singles,0.0
Taekwondo Men's Heavyweight,0.0
Triathlon Women's Olympic Distance,0.0
Weightlifting Men's Featherweight,0.0
Weightlifting Men's Heavyweight II,0.0
Weightlifting Men's Light-Heavyweight,0.0
Weightlifting Men's Lightweight,0.0
Weightlifting Men's Super-Heavyweight,0.0
