Event,importance_score
Archery Men's Individual,0.0
"Athletics Men's 1,500 metres",0.0
Athletics Men's 100 metres,0.0
Athletics Men's 200 metres,0.0
Athletics Men's 4 x 400 metres Relay,0.0
Athletics Men's 400 metres Hurdles,0.0
Athletics Men's 400 metres,0.0
Athletics Men's 800 metres,0.0
Athletics Men's Marathon,0.0
Athletics Men's Triple Jump,0.0
Athletics Women's 100 metres,0.0
Athletics Women's 400 metres,0.0
Men's 100m,0.0
Women's 100m,0.0
"Cycling Men's 1,000 metres Time Trial",0.0
Cycling Men's 100 kilometres Team Time Trial,0.0
"Cycling Men's Road Race, Individual",0.0
Cycling Men's Sprint,0.0
Judo Men's Extra-Lightweight,0.0
Judo Men's Half-Heavyweight,0.0
Judo Men's Half-Lightweight,0.0
Judo Men's Half-Middleweight,0.0
Men +100 kg,0.0
Men's Single Sculls,0.0
Rowing Men's Single Sculls,0.0
10m Air Pistol Men,0.0
Men's 100m Freestyle,0.0
Men's 200m Freestyle,0.0
Swimming Men's 100 metres Breaststroke,0.0
Swimming Men's 100 metres Butterfly,0.0
Swimming Men's 100 metres Freestyle,0.0
Swimming Men's 50 metres Freestyle,0.0
Swimming Women's 100 metres Backstroke,0.0
Swimming Women's 100 metres Breaststroke,0.0
Swimming Women's 100 metres Butterfly,0.0
Swimming Women's 100 metres Freestyle,0.0
Swimming Women's 200 metres Freestyle,0.0
Swimming Women's 400 metres Freestyle,0.0
Swimming Women's 50 metres Freestyle,0.0
Women's 100m Backstroke,0.0
Table Tennis Men's Singles,0.0
Taekwondo Men's Featherweight,0.0
Taekwondo Men's Flyweight,0.0
Volleyball Men's Volleyball,0.0
Men's 102kg,0.0
Weightlifting Men's Bantamweight,0.0
Weightlifting Men's Flyweight,0.0
Weightlifting Men's Light-Heavyweight,0.0
Weightlifting Men's Middle-Heavyweight,0.0
Weightlifting Men's Middleweight,0.0
Weightlifting Men's Super-Heavyweight,0.0
