Event,importance_score
Duet Team,0.0
"Athletics Men's 1,500 metres",0.0
Athletics Men's 100 metres,0.0
Athletics Men's 200 metres,0.0
Athletics Men's 800 metres,0.0
Athletics Men's Decathlon,0.0
Athletics Men's Discus Throw,0.0
Athletics Men's Marathon,0.0
"Athletics Women's 1,500 metres",0.0
Athletics Women's 100 metres Hurdles,0.0
Athletics Women's 200 metres,0.0
Athletics Women's 400 metres,0.0
Athletics Women's 800 metres,0.0
Athletics Women's Heptathlon,0.0
Men's Cross-country,0.0
"Cycling Men's 1,000 metres Time Trial",0.0
"Cycling Men's Individual Pursuit, 4,000 metres",0.0
Cycling Men's Points Race,0.0
"Cycling Men's Road Race, Individual",0.0
"Cycling Women's Road Race, Individual",0.0
"Equestrianism Mixed Jumping, Individual",0.0
Gymnastics Men's Floor Exercise,0.0
Gymnastics Men's Horizontal Bar,0.0
Gymnastics Men's Horse Vault,0.0
Gymnastics Men's Individual All-Around,0.0
Gymnastics Men's Parallel Bars,0.0
Gymnastics Men's Pommelled Horse,0.0
Gymnastics Men's Rings,0.0
Judo Men's Extra-Lightweight,0.0
Judo Men's Half-Heavyweight,0.0
Judo Men's Half-Lightweight,0.0
Judo Men's Half-Middleweight,0.0
Judo Men's Heavyweight,0.0
Judo Men's Lightweight,0.0
Judo Men's Middleweight,0.0
Judo Men's Open Class,0.0
Judo Women's Half-Lightweight,0.0
Judo Women's Half-Middleweight,0.0
Men -90 kg,0.0
"Shooting Men's Air Rifle, 10 metres",0.0
"Shooting Men's Small-Bore Rifle, Prone, 50 metres",0.0
"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",0.0
"Shooting Mixed Small-Bore Rifle, Prone, 50 metres",0.0
Men's 200m Individual Medley,0.0
Men's 400m Individual Medley,0.0
Swimming Men's 400 metres Individual Medley,0.0
Swimming Women's 400 metres Freestyle,0.0
Swimming Women's 800 metres Freestyle,0.0
Women's 1500m Freestyle,0.0
Women's 200m Freestyle,0.0
Women's 400m Freestyle,0.0
Women's 800m Freestyle,0.0
Tennis Women's Singles,0.0
