Event,importance_score
Archery Men's Individual,0.0
Archery Women's Individual,0.0
Men's Individual,0.0
Mixed Team,0.0
Women's Individual,0.0
Athletics Men's 20 kilometres Walk,0.0
"Athletics Men's 3,000 metres Steeplechase",0.0
Athletics Men's 400 metres Hurdles,0.0
Athletics Men's 50 kilometres Walk,0.0
Athletics Men's 800 metres,0.0
Athletics Men's Decathlon,0.0
Athletics Men's Discus Throw,0.0
Athletics Men's Hammer Throw,0.0
Athletics Men's Marathon,0.0
Athletics Men's Pole Vault,0.0
Athletics Men's Shot Put,0.0
Athletics Men's Triple Jump,0.0
"Athletics Women's 10,000 metres",0.0
"Athletics Women's 3,000 metres Steeplechase",0.0
Athletics Women's 400 metres,0.0
Athletics Women's 800 metres,0.0
Athletics Women's Discus Throw,0.0
Athletics Women's Hammer Throw,0.0
Athletics Women's High Jump,0.0
Athletics Women's Marathon,0.0
Athletics Women's Shot Put,0.0
Athletics Women's Triple Jump,0.0
Men's Hammer Throw,0.0
Men's Javelin Throw,0.0
Women's Discus Throw,0.0
Women's Hammer Throw,0.0
Women's Marathon,0.0
Women's Shot Put,0.0
Boxing Men's Bantamweight,0.16666666666666666
Boxing Men's Flyweight,0.0
Boxing Men's Lightweight,0.0
Boxing Men's Welterweight,0.16666666666666666
Men's Canoe Single 1000m,0.3333333333333333
Women's Canoe Double 500m Team,0.0
Women's Canoe Double 500m,0.0
Women's Canoe Single 200m,0.0
"Canoeing Men's Canadian Doubles, 1,000 metres",0.0
"Canoeing Men's Canadian Doubles, 500 metres",0.6666666666666666
"Canoeing Men's Canadian Singles, 1,000 metres",0.0
"Canoeing Men's Canadian Singles, 200 metres",0.0
"Canoeing Men's Canadian Singles, 500 metres",0.0
"Cycling Men's Individual Pursuit, 4,000 metres",0.0
Cycling Men's Individual Time Trial,0.0
"Cycling Men's Road Race, Individual",0.0
Dressage Individual,0.0
Judo Men's Extra-Lightweight,0.0
Judo Men's Half-Lightweight,0.0
Judo Men's Half-Middleweight,0.0
Judo Men's Lightweight,0.0
Judo Men's Middleweight,0.0
Judo Women's Lightweight,0.0
Men -66 kg,0.16666666666666666
Men -73 kg,0.16666666666666666
Men -81 kg,0.0
10m Air Pistol Women,0.0
"Shooting Men's Rapid-Fire Pistol, 25 metres",0.0
"Shooting Men's Running Target, 10 metres",0.3333333333333333
"Shooting Women's Air Pistol, 10 metres",0.0
Men's 200m Butterfly,0.0
Men's 200m Freestyle,0.0
Men's 400m Freestyle,0.0
Swimming Men's 100 metres Backstroke,0.0
Swimming Men's 100 metres Breaststroke,0.0
Swimming Men's 100 metres Butterfly,0.0
Swimming Men's 100 metres Freestyle,0.0
Swimming Men's 200 metres Backstroke,0.0
Swimming Men's 200 metres Breaststroke,0.0
Swimming Men's 200 metres Butterfly,0.0
Swimming Men's 200 metres Freestyle,0.0
Swimming Men's 200 metres Individual Medley,0.0
Swimming Men's 400 metres Freestyle,0.0
Swimming Men's 400 metres Individual Medley,0.0
Swimming Men's 50 metres Freestyle,0.0
Swimming Women's 100 metres Breaststroke,0.0
Swimming Women's 100 metres Freestyle,0.0
Swimming Women's 50 metres Freestyle,0.0
Women's 100m Backstroke,0.0
Women's 200m Backstroke,0.0
Men's Singles,0.0
Taekwondo Men's Welterweight,0.0
Tennis Men's Singles,0.0
Men's 73kg,0.0
Men's 89kg,0.0
Weightlifting Men's Bantamweight,0.0
Weightlifting Men's Featherweight,0.0
Weightlifting Men's Heavyweight I,0.0
Weightlifting Men's Heavyweight,0.0
Weightlifting Men's Light-Heavyweight,0.0
Weightlifting Men's Lightweight,0.0
Weightlifting Men's Middle-Heavyweight,0.16666666666666666
Weightlifting Men's Middleweight,0.0
Weightlifting Women's Featherweight,0.16666666666666666
Weightlifting Women's Heavyweight,0.0
Women's 87kg,0.0
Men's Freestyle 65kg,0.0
Men's Freestyle 97kg,0.0
Men's Greco-Roman 60kg,0.0
Men's Greco-Roman 67kg,0.0
Women's Freestyle 53kg,0.0
Women's Freestyle 57kg,0.3333333333333333
Women's Freestyle 68kg,0.0
"Wrestling Men's Bantamweight, Freestyle",0.0
"Wrestling Men's Featherweight, Freestyle",0.0
"Wrestling Men's Heavyweight, Freestyle",0.0
"Wrestling Men's Heavyweight, Greco-Roman",0.0
"Wrestling Men's Light-Flyweight, Freestyle",0.0
"Wrestling Men's Lightweight, Freestyle",0.0
"Wrestling Men's Middleweight, Freestyle",0.0
"Wrestling Men's Super-Heavyweight, Greco-Roman",0.16666666666666666
"Wrestling Men's Welterweight, Freestyle",0.0
"Wrestling Women's Heavyweight, Freestyle",0.0
"Wrestling Women's Lightweight, Freestyle",0.0
