Event,importance_score
Athletics Men's 100 metres,0.0
Athletics Men's 400 metres,0.0
Athletics Men's 800 metres,0.0
Athletics Men's Triple Jump,0.0
"Athletics Women's 1,500 metres",0.0
Athletics Women's 100 metres,0.0
Athletics Women's 400 metres Hurdles,0.0
Athletics Women's 400 metres,0.0
Men's 400m,0.0
Men's Marathon,0.0
"Canoeing Men's Canadian Singles, Slalom",0.0
"Canoeing Men's Kayak Singles, Slalom",0.0
"Canoeing Women's Kayak Singles, Slalom",0.0
Judo Women's Half-Middleweight,0.0
Men -81 kg,0.0
Women -52 kg,0.0
Women's Kata,0.0
10m Air Pistol Men,0.0
10m Air Rifle Women,0.0
"Shooting Men's Air Rifle, 10 metres",0.0
"Shooting Women's Air Rifle, 10 metres",0.0
"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",0.0
Men's 400m Freestyle,0.0
Swimming Men's 100 metres Butterfly,0.0
Swimming Men's 200 metres Butterfly,0.0
Swimming Men's 200 metres Freestyle,0.0
Swimming Men's 200 metres Individual Medley,0.0
Swimming Men's 400 metres Individual Medley,0.0
Swimming Women's 100 metres Butterfly,0.0
Swimming Women's 100 metres Freestyle,0.0
Swimming Women's 200 metres Butterfly,0.0
Swimming Women's 200 metres Freestyle,0.0
Swimming Women's 400 metres Freestyle,0.0
Swimming Women's 400 metres Individual Medley,0.0
Swimming Women's 800 metres Freestyle,0.0
Women's 100m Freestyle,0.0
Men +80kg,0.3333333333333333
Women -57kg,0.0
Men's Freestyle 57kg,0.0
Men's Freestyle 97kg,0.0
"Wrestling Men's Bantamweight, Freestyle",0.0
"Wrestling Men's Light-Flyweight, Freestyle",0.0
"Wrestling Men's Light-Heavyweight, Freestyle",0.16666666666666666
"Wrestling Men's Lightweight, Freestyle",0.0
"Wrestling Men's Middleweight, Freestyle",0.0
"Wrestling Men's Welterweight, Freestyle",0.0
