Event,importance_score
Archery Men's Individual,0.0
"Art Competitions Mixed Architecture, Architectural Designs",0.0
"Art Competitions Mixed Architecture, Designs For Town Planning",0.0
Art Competitions Mixed Architecture,0.16666666666666666
"Art Competitions Mixed Music, Compositions For Orchestra",0.0
Art Competitions Mixed Music,0.0
"Art Competitions Mixed Painting, Paintings",0.0
Athletics Men's 100 metres,0.0
Athletics Men's 200 metres,0.0
Athletics Men's 800 metres,0.0
Athletics Men's Decathlon,0.0
Athletics Men's Long Jump,0.0
Athletics Men's Pentathlon,0.0
Women's 100m,0.0
"Cycling Men's Road Race, Individual",0.0
"Fencing Men's epee, Individual",0.0
"Fencing Men's Foil, Individual",0.0
"Fencing Men's Sabre, Individual",0.0
Gymnastics Men's Floor Exercise,0.0
Gymnastics Men's Horizontal Bar,0.0
Gymnastics Men's Individual All-Around,0.0
Gymnastics Men's Parallel Bars,0.0
Gymnastics Men's Pommelled Horse,0.0
Gymnastics Men's Rings,0.0
Judo Men's Extra-Lightweight,0.0
Judo Men's Half-Middleweight,0.0
Judo Men's Middleweight,0.0
Men +100 kg,0.0
Men -73 kg,0.0
Women's 10km,0.0
Men's Single Sculls,0.0
Rowing Men's Coxed Fours,0.0
Rowing Men's Single Sculls,0.0
Sailing Men's One Person Dinghy,0.0
Sailing Mixed One Person Dinghy,0.0
Sailing Mixed Three Person Keelboat,0.0
Sailing Mixed Two Person Keelboat,0.0
Sailing Mixed Windsurfer,0.0
"Shooting Men's Free Pistol, 50 metres",0.0
"Shooting Men's Rapid-Fire Pistol, 25 metres",0.0
"Shooting Men's Small-Bore Rifle, Prone, 50 metres",0.0
"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",0.0
Shooting Men's Trap,0.0
"Shooting Mixed Small-Bore Rifle, Prone, 50 metres",0.0
"Shooting Mixed Small-Bore Rifle, Three Positions, 50 metres",0.0
Shooting Mixed Trap,0.0
"Shooting Women's Air Rifle, 10 metres",0.0
Men's 1500m Freestyle,0.0
Men's 800m Freestyle,0.0
Swimming Men's 100 metres Breaststroke,0.0
Swimming Men's 100 metres Freestyle,0.0
Swimming Men's 200 metres Breaststroke,0.0
Swimming Men's 200 metres Freestyle,0.0
Swimming Men's 200 metres Individual Medley,0.0
Swimming Men's 400 metres Freestyle,0.0
Swimming Men's 400 metres Individual Medley,0.0
Swimming Women's 100 metres Backstroke,0.0
Women's 100m Breaststroke,0.0
Women's Singles,0.0
Taekwondo Men's Featherweight,0.0
Triathlon Men's Olympic Distance,0.0
Weightlifting Men's Light-Heavyweight,0.0
Weightlifting Men's Middleweight,0.0
