Event,importance_score
Athletics Men's 100 metres,0.6666666666666666
Athletics Men's 200 metres,0.6666666666666666
Athletics Men's 400 metres Hurdles,0.0
Athletics Men's Long Jump,0.0
Athletics Men's Marathon,0.0
"Athletics Women's 1,500 metres",0.0
Athletics Women's 400 metres,0.0
Athletics Women's 800 metres,0.0
Athletics Women's Marathon,0.0
Men's Marathon,0.0
Women's 200m,0.3333333333333333
Women's Marathon,0.0
Boxing Men's Bantamweight,0.0
Boxing Men's Flyweight,0.0
Boxing Men's Light-Flyweight,0.0
Boxing Men's Light-Welterweight,0.0
Boxing Men's Lightweight,0.0
Boxing Men's Middleweight,0.0
Boxing Men's Welterweight,0.0
Men's Light (57-63kg),0.0
Men's Cross-country,0.0
Women's Cross-country,0.0
Men's Road Race,0.0
Women's Road Race,0.0
Cycling Men's Individual Time Trial,0.0
"Cycling Men's Mountainbike, Cross-Country",0.0
"Cycling Men's Road Race, Individual",0.0
"Cycling Women's Mountainbike, Cross-Country",0.0
"Cycling Women's Road Race, Individual",0.0
Gymnastics Women's Balance Beam,0.0
Gymnastics Women's Floor Exercise,0.0
Gymnastics Women's Horse Vault,0.0
Gymnastics Women's Individual All-Around,0.0
Gymnastics Women's Uneven Bars,0.0
Men's 10km,0.0
Women's Single Sculls,0.0
"Shooting Men's Air Pistol, 10 metres",0.0
"Shooting Men's Free Pistol, 50 metres",0.0
Shooting Women's Trap,0.0
Swimming Men's 100 metres Breaststroke,0.0
Swimming Men's 200 metres Breaststroke,0.0
Swimming Women's 100 metres Butterfly,0.0
Swimming Women's 100 metres Freestyle,0.0
Swimming Women's 50 metres Freestyle,0.0
"Wrestling Men's Featherweight, Freestyle",0.0
"Wrestling Men's Heavyweight, Freestyle",0.0
