Event,importance_score
"Athletics Men's 1,500 metres",0.0
Athletics Men's 100 metres,0.0
Athletics Men's 200 metres,0.0
Athletics Men's 400 metres Hurdles,0.0
Athletics Men's 400 metres,0.0
Athletics Men's 800 metres,0.0
Athletics Men's Marathon,0.0
Athletics Women's 100 metres,0.0
Athletics Women's 400 metres,0.0
"Athletics Women's 5,000 metres",0.0
Men's 100m,0.0
Women's 100m,0.0
Women's 200m,0.0
Boxing Men's Bantamweight,0.0
Boxing Men's Featherweight,0.0
Boxing Men's Flyweight,0.0
Boxing Men's Light-Middleweight,0.0
Boxing Men's Light-Welterweight,0.16666666666666666
Boxing Men's Welterweight,0.0
Men's Sabre Individual,0.0
Judo Men's Extra-Lightweight,0.0
Judo Men's Half-Lightweight,0.0
Judo Men's Lightweight,0.0
Men -66 kg,0.0
Rowing Men's Single Sculls,0.0
Men's 50m Freestyle,0.0
Swimming Men's 100 metres Freestyle,0.0
Swimming Men's 50 metres Freestyle,0.0
Swimming Women's 100 metres Breaststroke,0.0
Swimming Women's 50 metres Freestyle,0.0
Women's 50m Freestyle,0.0
Men +80kg,0.0
Men -58kg,0.0
Taekwondo Men's Heavyweight,0.3333333333333333
Women -57kg,0.0
