Event,importance_score
"Athletics Men's 1,500 metres",0.0
"Athletics Men's 10,000 metres",0.0
Athletics Men's 100 metres,0.0
Athletics Men's 110 metres Hurdles,0.0
"Athletics Men's 3,000 metres Steeplechase",0.0
Athletics Men's 400 metres Hurdles,0.0
Athletics Men's 400 metres,0.0
"Athletics Men's 5,000 metres",0.0
Athletics Men's 800 metres,0.0
Athletics Men's Decathlon,0.0
Athletics Men's Discus Throw,0.0
Athletics Men's Javelin Throw,0.0
Athletics Men's Long Jump,0.0
Athletics Men's Marathon,0.0
Athletics Men's Triple Jump,0.0
Athletics Women's Discus Throw,0.0
Athletics Women's Javelin Throw,0.0
Athletics Women's Long Jump,0.0
Athletics Women's Marathon,0.0
Men's 200m,0.0
Men's Marathon,0.0
Women's 100m Hurdles,0.0
Women's 100m,0.0
Women,0.0
Boxing Men's Flyweight,0.0
Boxing Men's Light-Middleweight,0.0
Boxing Men's Light-Welterweight,0.0
Women's Road Race,0.0
"Fencing Men's epee, Individual",0.0
"Fencing Men's Foil, Individual",0.0
"Fencing Men's Sabre, Individual",0.0
Football Men's Football,5.333333333333333
Men,0.0
Golf Men's Individual,0.0
Golf Women's Individual,0.0
Men's Individual Stroke Play,0.0
Judo Men's Half-Lightweight,0.0
Judo Men's Lightweight,0.0
Women -48 kg,0.0
Men's Single Sculls,0.0
Rowing Men's Single Sculls,0.0
Rowing Women's Single Sculls,0.0
Women's Single Sculls,0.0
Sailing Mixed One Person Dinghy,0.0
Sailing Women's One Person Dinghy,0.0
Shooting Men's Double Trap,0.0
"Shooting Men's Rapid-Fire Pistol, 25 metres",0.0
"Shooting Mixed Free Rifle, Three Positions, 300 metres",0.0
Shooting Mixed Skeet,0.0
"Shooting Mixed Small-Bore Rifle, Three Positions, 50 metres",0.0
Shooting Mixed Trap,0.0
"Shooting Women's Air Pistol, 10 metres",0.0
Men's 100m Butterfly,0.0
Men's 100m Freestyle,0.0
Men's 200m Individual Medley,0.0
Swimming Men's 100 metres Backstroke,0.0
Swimming Men's 100 metres Breaststroke,0.0
Swimming Men's 100 metres Butterfly,0.0
Swimming Men's 100 metres Freestyle,0.0
Swimming Men's 200 metres Backstroke,0.0
Swimming Men's 200 metres Breaststroke,0.0
Swimming Men's 200 metres Butterfly,0.0
Swimming Men's 200 metres Freestyle,0.0
Swimming Men's 400 metres Individual Medley,0.0
Swimming Men's 50 metres Freestyle,0.0
Swimming Women's 100 metres Backstroke,0.0
Swimming Women's 100 metres Freestyle,0.0
Swimming Women's 50 metres Freestyle,0.0
Women's 100m Butterfly,0.0
Table Tennis Men's Singles,0.0
Tennis Men's Doubles,0.0
Tennis Men's Singles,0.0
Tennis Women's Doubles,0.0
Tennis Women's Singles,0.0
Women's Singles,0.0
