Event,importance_score
"Athletics Men's 10,000 metres",0.0
Athletics Men's 100 metres,0.0
Athletics Men's 20 kilometres Walk,0.0
Athletics Men's 400 metres,0.0
"Athletics Men's 5,000 metres",0.0
Athletics Men's 800 metres,0.0
Athletics Women's 100 metres,0.0
Athletics Women's 800 metres,0.0
Athletics Women's Marathon,0.0
Men's 800m,0.0
Women's 100m,0.0
Women's 800m,0.0
Men's 57kg,0.0
"Equestrianism Mixed Dressage, Individual",0.0
Judo Men's Extra-Lightweight,0.0
Judo Men's Lightweight,0.0
Men -81 kg,0.0
Skeet Men,0.0
Men's 100m Backstroke,0.0
Men's 100m Freestyle,0.0
Swimming Men's 100 metres Butterfly,0.0
Swimming Men's 200 metres Freestyle,0.0
Swimming Men's 400 metres Freestyle,0.0
Swimming Men's 50 metres Freestyle,0.0
Swimming Women's 50 metres Freestyle,0.0
Women's 200m Individual Medley,0.0
Women's 50m Freestyle,0.0
Men -58kg,0.0
Men's 96kg,0.0
