Event,importance_score
Archery Men's Individual,0.0
Archery Women's Individual,0.0
Archery Women's Team,0.0
Women's Floor Exercise,0.0
Women's Uneven Bars,0.0
Women's Vault,0.0
Women,0.0
Athletics Men's Marathon,0.0
Athletics Women's Long Jump,0.0
Athletics Women's Marathon,0.0
Men's Marathon,0.0
Boxing Men's Bantamweight,0.6666666666666666
Boxing Men's Featherweight,0.3333333333333333
Boxing Men's Flyweight,0.5
Boxing Men's Light-Flyweight,1.0
Boxing Men's Light-Heavyweight,0.0
Boxing Men's Light-Welterweight,0.0
Boxing Men's Lightweight,0.0
Boxing Men's Middleweight,0.0
Boxing Women's Flyweight,0.0
Women's 54kg,0.16666666666666666
Women's 60kg,0.0
"Cycling Women's Road Race, Individual",0.0
Diving Men's Platform,0.0
Diving Men's Springboard,0.0
Diving Women's Platform,0.0
Diving Women's Springboard,0.0
Diving Women's Synchronized Platform,0.0
Men's 10m Platform,0.0
Women's 10m Platform,0.16666666666666666
Women's Synchronised 10m Platform,0.6666666666666666
Football Men's Football,0.0
Football Women's Football,0.0
Gymnastics Men's Floor Exercise,0.0
Gymnastics Men's Horizontal Bar,0.0
Gymnastics Men's Horse Vault,0.5
Gymnastics Men's Individual All-Around,0.0
Gymnastics Men's Parallel Bars,0.0
Gymnastics Men's Pommelled Horse,0.5
Gymnastics Men's Rings,0.0
Gymnastics Men's Team All-Around,0.0
Gymnastics Women's Balance Beam,0.0
Gymnastics Women's Floor Exercise,0.0
Gymnastics Women's Horse Vault,0.5
Gymnastics Women's Individual All-Around,0.0
Gymnastics Women's Team All-Around,0.0
Gymnastics Women's Uneven Bars,0.0
Judo Men's Extra-Lightweight,0.0
Judo Men's Half-Heavyweight,0.0
Judo Men's Half-Lightweight,0.16666666666666666
Judo Men's Half-Middleweight,0.0
Judo Men's Heavyweight,0.0
Judo Men's Lightweight,0.16666666666666666
Judo Men's Middleweight,0.0
Judo Men's Open Class,0.0
Judo Women's Extra-Lightweight,0.5
Judo Women's Half-Heavyweight,0.0
Judo Women's Half-Lightweight,0.9999999999999999
Judo Women's Half-Middleweight,0.16666666666666666
Judo Women's Lightweight,0.3333333333333333
Judo Women's Middleweight,0.0
Women -70 kg,0.0
Rhythmic Gymnastics Women's Individual,0.0
Rowing Men's Coxless Fours,0.0
Rowing Men's Coxless Pairs,0.0
"Shooting Men's Air Pistol, 10 metres",0.0
"Shooting Men's Free Pistol, 50 metres",0.3333333333333333
"Shooting Men's Rapid-Fire Pistol, 25 metres",0.0
"Shooting Men's Running Target, 10 metres",0.0
"Shooting Mixed Free Pistol, 50 metres",0.0
"Shooting Mixed Free Rifle, Three Positions, 300 metres",0.0
"Shooting Mixed Rapid-Fire Pistol, 25 metres",0.0
"Shooting Mixed Running Target, 50 metres",0.0
Shooting Mixed Skeet,0.0
"Shooting Mixed Small-Bore Rifle, Prone, 50 metres",0.5
"Shooting Mixed Small-Bore Rifle, Three Positions, 50 metres",0.0
"Shooting Women's Air Pistol, 10 metres",0.0
Shooting Women's Skeet,0.0
"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",0.0
"Shooting Women's Sporting Pistol, 25 metres",0.0
Shooting Women's Trap,0.0
Synchronized Swimming Women's Duet,0.0
Mixed Doubles,0.6666666666666666
Table Tennis Men's Doubles,0.0
Table Tennis Men's Singles,0.0
Table Tennis Men's Team,0.0
Table Tennis Women's Doubles,0.3333333333333333
Table Tennis Women's Singles,0.6666666666666666
Table Tennis Women's Team,0.0
Women's Singles,0.0
Volleyball Women's Volleyball,1.8333333333333333
Weightlifting Men's Bantamweight,0.8333333333333333
Weightlifting Men's Featherweight,0.5
Weightlifting Men's Flyweight,0.5
Weightlifting Men's Light-Heavyweight,0.0
Weightlifting Men's Lightweight,0.3333333333333333
Weightlifting Men's Middle-Heavyweight,0.0
Weightlifting Men's Middleweight,0.3333333333333333
Weightlifting Women's Flyweight,0.16666666666666666
Weightlifting Women's Heavyweight,0.5
Weightlifting Women's Light-Heavyweight,0.5
Weightlifting Women's Lightweight,0.8333333333333333
Weightlifting Women's Middleweight,0.8333333333333333
Weightlifting Women's Super-Heavyweight,0.3333333333333333
Men's Greco-Roman 60kg,0.16666666666666666
Women's Freestyle 53kg,0.16666666666666666
Women's Freestyle 68kg,0.0
"Wrestling Men's Bantamweight, Freestyle",0.6666666666666666
"Wrestling Men's Bantamweight, Greco-Roman",0.16666666666666666
"Wrestling Men's Featherweight, Freestyle",0.16666666666666666
"Wrestling Men's Featherweight, Greco-Roman",0.0
"Wrestling Men's Flyweight, Freestyle",0.6666666666666666
"Wrestling Men's Light-Flyweight, Freestyle",1.3333333333333333
"Wrestling Men's Light-Flyweight, Greco-Roman",0.0
"Wrestling Men's Lightweight, Freestyle",0.0
"Wrestling Men's Welterweight, Freestyle",0.0
"Wrestling Women's Featherweight, Freestyle",0.0
"Wrestling Women's Flyweight, Freestyle",0.0
"Wrestling Women's Lightweight, Freestyle",0.0
"Wrestling Women's Middleweight, Freestyle",0.0
