Event,importance_score
Men Team,1.3333333333333333
Women Team,1.3333333333333333
Men's Individual,0.0
Mixed Team,0.0
Women's Individual,0.3333333333333333
Women's Team,1.0
Men's All-Around,0.16666666666666666
Men's Floor Exercise,0.0
Men's Horizontal Bar,0.16666666666666666
Men's Parallel Bars,0.0
Men's Pommel Horse,0.0
Men's Rings,0.0
Men's Team,2.0
Men's Vault,0.3333333333333333
Women's All-Around,0.16666666666666666
Women's Balance Beam,0.0
Women's Floor Exercise,0.16666666666666666
Women's Team,2.0
Women's Uneven Bars,0.3333333333333333
Women's Vault,0.0
Duet Team,1.0
Team,4.0
Men's 110m Hurdles,0.0
Men's 20km Race Walk,0.0
Men's Decathlon,0.0
Men's Hammer Throw,0.0
Men's High Jump,0.0
Women's 20km Race Walk,0.0
Women's High Jump,0.5
Women's Long Jump,0.0
Women's Pole Vault,0.3333333333333333
Men's Doubles Team,0.0
Men's Singles,0.0
Women's Singles,0.0
Men Team,0.6666666666666666
Women Team,0.0
Men's Feather (52-57kg),0.5
Men's Heavy (81-91kg),0.3333333333333333
Men's Light (57-63kg),0.0
Men's Light Heavy (75-81kg),0.16666666666666666
Men's Middle (69-75kg),0.16666666666666666
Men's Super Heavy (+91kg),0.0
Men's Welter (63-69kg),0.16666666666666666
Women's Feather (54-57kg),0.0
Women's Fly (48-51kg),0.0
Women's Middle (69-75kg),0.16666666666666666
Women's Welter (64-69kg),0.0
Men's Canoe,0.0
Men's Kayak,0.0
Women's Canoe,0.0
Women's Kayak,0.0
Men's Canoe Double 1000m Team,0.0
Men's Canoe Single 1000m,0.0
Men's Kayak Double 1000m Team,0.0
Men's Kayak Four 500m Team,0.0
Men's Kayak Single 1000m,0.0
Men's Kayak Single 200m,0.0
Women's Canoe Double 500m Team,0.0
Women's Canoe Single 200m,0.0
Women's Kayak Double 500m Team,0.0
Women's Kayak Four 500m Team,0.0
Women's Kayak Single 200m,0.0
Women's Kayak Single 500m,0.0
Men's Park,0.0
Women's Park,0.0
Men,0.0
Women,0.0
Men's Cross-country,0.0
Women's Cross-country,0.0
Men's Individual Time Trial,0.0
Men's Road Race,0.0
Women's Road Race,0.0
Men's Keirin,0.0
Men's Sprint,0.0
Men's Team Sprint Team,0.0
Women's Keirin,0.0
Women's Madison Team,0.3333333333333333
Women's Madison,0.0
Women's Omnium,0.0
Women's Sprint,0.0
Women's Team Sprint Team,0.5
Men's 10m Platform,0.0
Men's 3m Springboard,0.0
Men's Synchronised 10m Platform Team,0.3333333333333333
Men's Synchronised 3m Springboard Team,0.0
Women's 10m Platform,0.0
Women's 3m Springboard,0.0
Dressage Individual,0.0
Dressage Team,0.0
Eventing Individual,0.0
Men's Foil Individual,0.0
Men's Foil Team,1.3333333333333333
Men's Sabre Individual,0.0
Men's Sabre Team,0.0
Men's Épée Individual,0.0
Men's Épée Team,1.3333333333333333
Women's Foil Individual,0.5
Women's Foil Team,2.0
Women's Sabre Individual,0.8333333333333333
Women's Sabre Team,2.0
Women's Épée Individual,0.0
Women's Épée Team,0.0
Women Team,5.0
Men +100 kg,0.16666666666666666
Men -100 kg,0.16666666666666666
Men -60 kg,0.0
Men -66 kg,0.0
Men -73 kg,0.0
Men -81 kg,0.0
Men -90 kg,0.0
Mixed Team,0.0
Women -48 kg,0.0
Women -52 kg,0.0
Women -57 kg,0.0
Women -63 kg,0.0
Women -70 kg,0.16666666666666666
Women -78 kg,0.0
Men's 10km,0.0
Women's 10km,0.0
Men's Individual,0.0
Women's Individual,0.0
Group All-Around Team,1.6666666666666665
Individual All-Around,0.3333333333333333
Lightweight Women's Double Sculls Team,0.0
Men's Double Sculls Team,0.0
Men's Single Sculls,0.0
Women's Double Sculls Team,0.0
Women's Pair Team,0.6666666666666666
Women's Single Sculls,0.3333333333333333
Women Team,0.0
Men's One Person Dinghy - Laser,0.0
Men's Two Person Dinghy - 470 Team,0.0
Men's Windsurfer - RS:X,0.0
Women's One Person Dinghy - Laser Radial,0.0
Women's Windsurfer - RS:X,0.0
10m Air Pistol Men,0.0
10m Air Pistol Mixed Team,0.6666666666666666
10m Air Pistol Women,0.5
10m Air Rifle Men,0.0
10m Air Rifle Mixed Team,0.3333333333333333
10m Air Rifle Women,0.3333333333333333
25m Pistol Women,0.5
25m Rapid Fire Pistol Men,0.0
50m Rifle 3 Positions Men,0.3333333333333333
50m Rifle 3 Positions Women,0.5
Skeet Women,0.0
Trap Men,0.0
Trap Mixed Team,0.0
Trap Women,0.0
Men's Combined,0.0
Women's Combined,0.0
Men's 100m Backstroke,0.8333333333333333
Men's 100m Breaststroke,0.0
Men's 100m Butterfly,0.0
Men's 100m Freestyle,0.16666666666666666
Men's 1500m Freestyle,0.0
Men's 200m Backstroke,0.5
Men's 200m Breaststroke,0.0
Men's 200m Butterfly,0.0
Men's 200m Freestyle,0.0
Men's 200m Individual Medley,0.0
Men's 4 x 100m Freestyle Relay Team,0.0
Men's 4 x 100m Medley Relay Team,0.0
Men's 4 x 200m Freestyle Relay Team,2.0
Men's 400m Freestyle,0.0
Men's 400m Individual Medley,0.0
Men's 50m Freestyle,0.0
Men's 800m Freestyle,0.0
Mixed 4 x 100m Medley Relay Team,0.0
Women's 100m Backstroke,0.0
Women's 100m Breaststroke,0.0
Women's 100m Butterfly,0.0
Women's 100m Freestyle,0.0
Women's 1500m Freestyle,0.0
Women's 200m Backstroke,0.0
Women's 200m Breaststroke,0.0
Women's 200m Butterfly,0.0
Women's 200m Freestyle,0.0
Women's 4 x 100m Freestyle Relay Team,0.0
Women's 4 x 100m Medley Relay Team,0.0
Women's 4 x 200m Freestyle Relay Team,0.0
Women's 400m Freestyle,0.0
Women's 50m Freestyle,0.0
Women's 800m Freestyle,0.0
Men's Singles,0.0
Women's Singles,0.0
Men +80kg,0.5
Men -58kg,0.16666666666666666
Men -80kg,0.5
Women -57kg,0.3333333333333333
Men's Doubles Team,0.0
Men's Singles,0.3333333333333333
Mixed Doubles Team,1.6666666666666665
Women's Doubles Team,0.0
Women's Singles,0.0
Men,0.0
Women,0.0
Men's Individual,0.0
Mixed Relay Team,0.0
Women's Individual,0.0
Men Team,4.0
Women Team,0.0
Women Team,0.0
Men's 109kg,0.0
Women's 49kg,0.0
Men's Freestyle 125kg,0.0
Men's Freestyle 57kg,0.5
Men's Freestyle 65kg,0.16666666666666666
Men's Freestyle 74kg,0.5
Men's Freestyle 86kg,0.16666666666666666
Men's Freestyle 97kg,0.5
Men's Greco-Roman 130kg,0.16666666666666666
Men's Greco-Roman 60kg,0.16666666666666666
Men's Greco-Roman 67kg,0.0
Men's Greco-Roman 77kg,0.0
Men's Greco-Roman 97kg,0.5
Women's Freestyle 50kg,0.0
Women's Freestyle 53kg,0.0
Women's Freestyle 57kg,0.0
Women's Freestyle 62kg,0.0
Women's Freestyle 68kg,0.0
Women's Freestyle 76kg,0.0
