Event,importance_score
Archery Men's Individual,0.16666666666666666
Archery Men's Team,0.0
Archery Women's Individual,0.0
Archery Women's Team,1.0
Art Competitions Mixed Painting,0.0
Art Competitions Mixed Sculpturing,0.0
"Athletics Men's 1,500 metres",0.0
Athletics Men's 10 kilometres Walk,0.0
"Athletics Men's 10,000 metres",0.0
Athletics Men's 100 metres,0.0
Athletics Men's 110 metres Hurdles,0.0
Athletics Men's 20 kilometres Walk,0.9999999999999999
Athletics Men's 200 metres,0.0
"Athletics Men's 3,000 metres Steeplechase",0.0
Athletics Men's 4 x 100 metres Relay,0.0
Athletics Men's 4 x 400 metres Relay,0.0
Athletics Men's 400 metres Hurdles,0.0
Athletics Men's 400 metres,0.0
"Athletics Men's 5,000 metres",0.0
Athletics Men's 50 kilometres Walk,1.4999999999999998
Athletics Men's 800 metres,0.5
Athletics Men's Decathlon,0.0
"Athletics Men's Discus Throw, Both Hands",0.0
Athletics Men's Discus Throw,0.0
Athletics Men's Hammer Throw,0.0
Athletics Men's High Jump,1.6666666666666667
Athletics Men's Javelin Throw,0.3333333333333333
Athletics Men's Long Jump,0.0
Athletics Men's Marathon,0.0
Athletics Men's Pole Vault,0.8333333333333333
Athletics Men's Shot Put,0.0
Athletics Men's Standing High Jump,0.0
Athletics Men's Triple Jump,0.3333333333333333
"Athletics Women's 1,500 metres",0.8333333333333333
Athletics Women's 10 kilometres Walk,0.5
"Athletics Women's 10,000 metres",0.0
Athletics Women's 100 metres Hurdles,0.0
Athletics Women's 100 metres,0.0
Athletics Women's 20 kilometres Walk,1.6666666666666665
Athletics Women's 200 metres,0.0
"Athletics Women's 3,000 metres Steeplechase",1.1666666666666667
Athletics Women's 4 x 100 metres Relay,3.333333333333333
Athletics Women's 4 x 400 metres Relay,7.0
Athletics Women's 400 metres Hurdles,1.0
Athletics Women's 400 metres,0.16666666666666666
"Athletics Women's 5,000 metres",0.0
Athletics Women's 800 metres,1.1666666666666667
Athletics Women's Discus Throw,1.1666666666666665
Athletics Women's Hammer Throw,1.3333333333333333
Athletics Women's Heptathlon,0.6666666666666666
Athletics Women's High Jump,1.8333333333333333
Athletics Women's Javelin Throw,0.3333333333333333
Athletics Women's Long Jump,1.8333333333333333
Athletics Women's Marathon,0.5
Athletics Women's Pole Vault,1.6666666666666665
Athletics Women's Shot Put,0.8333333333333333
Athletics Women's Triple Jump,1.1666666666666667
Badminton Men's Doubles,0.0
