Event,importance_score
Men Team,0.6666666666666666
Men,0.0
"Athletics Men's 1,500 metres",0.0
Athletics Men's 100 metres,0.0
Athletics Men's 110 metres Hurdles,0.0
Athletics Men's 20 kilometres Walk,0.0
Athletics Men's 400 metres Hurdles,0.0
Athletics Men's 50 kilometres Walk,0.0
Athletics Men's Decathlon,0.0
Athletics Men's High Jump,0.0
Athletics Men's Marathon,0.0
Athletics Men's Shot Put,0.0
"Athletics Women's 1,500 metres",0.0
Athletics Women's 400 metres,0.0
Athletics Women's 800 metres,0.0
Athletics Women's Discus Throw,0.0
Athletics Women's Javelin Throw,0.0
Athletics Women's Long Jump,0.16666666666666666
Athletics Women's Marathon,0.0
Athletics Women's Triple Jump,0.0
Men's 5000m,0.0
Men's Shot Put,0.0
Women's Discus Throw,0.0
Women's High Jump,0.0
Women's Javelin Throw,0.0
Women's Long Jump,0.0
Basketball Men's Basketball,4.0
Basketball Women's Basketball,2.0
Men,2.0
Women Team,0.0
Women,0.0
Boxing Men's Middleweight,0.0
Men's 71kg,0.0
Women's 54kg,0.0
Women's 60kg,0.0
Women's Fly (48-51kg),0.0
Men's Kayak Double 500m,0.0
Men's Kayak Four 500m,0.0
Men's Kayak Single 1000m,0.0
Men's Kayak Single 200m,0.0
Women's Kayak Four 500m,0.0
Women's Kayak Single 200m,0.0
Women's Kayak Single 500m,0.0
"Canoeing Men's Kayak Doubles, 1,000 metres",0.6666666666666666
"Canoeing Men's Kayak Doubles, 200 metres",0.0
"Canoeing Men's Kayak Fours, 1,000 metres",0.0
"Canoeing Men's Kayak Singles, 1,000 metres",0.0
"Canoeing Men's Kayak Singles, 200 metres",0.0
"Canoeing Women's Kayak Doubles, 500 metres",0.0
"Canoeing Women's Kayak Fours, 500 metres",0.0
"Canoeing Women's Kayak Singles, 200 metres",0.0
"Canoeing Women's Kayak Singles, 500 metres",0.0
Men's Road Race,0.0
Women's Road Race,0.0
"Cycling Men's Road Race, Individual",0.0
"Cycling Women's Mountainbike, Cross-Country",0.0
Football Men's Football,0.0
Handball Men's Handball,0.0
Judo Men's Middleweight,0.0
Men -100 kg,0.0
Men -66 kg,0.0
Men -90 kg,0.0
Mixed Team,0.0
Women +78 kg,0.0
Women -48 kg,0.0
Women -57 kg,0.0
Women -63 kg,0.0
Women's Kumite -61kg,0.5
Men's Double Sculls,0.0
Men's Pair Team,0.0
Rowing Men's Coxless Fours,0.0
Rowing Men's Coxless Pairs,0.0
Rowing Men's Double Sculls,0.0
Rowing Women's Single Sculls,0.0
Women's Single Sculls,0.0
10m Air Pistol Men,0.3333333333333333
10m Air Pistol Mixed Team,1.0
10m Air Pistol Women,0.0
10m Air Rifle Men,0.0
10m Air Rifle Mixed Team,0.0
10m Air Rifle Women,0.0
25m Pistol Women,0.0
50m Rifle 3 Positions Men,0.16666666666666666
50m Rifle 3 Positions Women,0.0
"Shooting Men's Air Pistol, 10 metres",0.16666666666666666
"Shooting Men's Air Rifle, 10 metres",0.0
"Shooting Men's Free Pistol, 50 metres",0.0
"Shooting Men's Small-Bore Rifle, Prone, 50 metres",0.0
"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",0.0
"Shooting Women's Air Pistol, 10 metres",0.0
"Shooting Women's Air Rifle, 10 metres",0.0
"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",0.3333333333333333
"Shooting Women's Sporting Pistol, 25 metres",0.0
Men's 100m Breaststroke,0.0
Men's 100m Freestyle,0.0
Men's 200m Freestyle,0.0
Men's 4 x 100m Freestyle Relay Team,0.0
Men's 4 x 100m Freestyle Relay,0.0
Men's 50m Freestyle,0.0
Men's 800m Freestyle,0.0
Relay Only Athlete,0.0
Swimming Men's 100 metres Breaststroke,0.0
Swimming Men's 100 metres Butterfly,0.3333333333333333
Swimming Men's 100 metres Freestyle,0.0
Swimming Men's 200 metres Butterfly,0.0
Swimming Men's 200 metres Freestyle,0.0
Swimming Men's 4 x 100 metres Freestyle Relay,0.0
Swimming Men's 400 metres Freestyle,0.0
Swimming Women's 100 metres Backstroke,0.0
Swimming Women's 100 metres Breaststroke,0.0
Swimming Women's 100 metres Freestyle,0.0
Swimming Women's 200 metres Breaststroke,0.0
Swimming Women's 200 metres Freestyle,0.0
Swimming Women's 200 metres Individual Medley,0.0
Swimming Women's 400 metres Freestyle,0.0
Swimming Women's 400 metres Individual Medley,0.0
Swimming Women's 50 metres Freestyle,0.0
Women's 200m Butterfly,0.0
Women's 200m Individual Medley,0.0
Women's 400m Individual Medley,0.0
Men's Singles,0.0
Men's Team,0.0
Table Tennis Men's Singles,0.0
Women's Singles,0.0
Men -58kg,0.0
Men -80kg,0.0
Taekwondo Men's Featherweight,0.0
Taekwondo Women's Featherweight,0.0
Taekwondo Women's Flyweight,0.3333333333333333
Taekwondo Women's Heavyweight,0.5
Women +67kg,0.5
Women -49kg,0.16666666666666666
Women -67kg,0.3333333333333333
Men's Singles,0.5
Mixed Doubles Team,0.0
Tennis Men's Doubles,0.0
