Event,importance_score
Women's All-Around,0.0
Women's Balance Beam,0.0
Women's Floor Exercise,0.0
Women's Uneven Bars,0.0
Women's Vault,0.0
"Athletics Men's 10,000 metres",0.0
Athletics Men's 100 metres,0.0
Athletics Men's 110 metres Hurdles,0.0
Athletics Men's 200 metres,0.0
Athletics Men's 4 x 400 metres Relay,0.0
Athletics Men's 400 metres Hurdles,0.3333333333333333
Athletics Men's 400 metres,0.0
"Athletics Men's 5,000 metres",0.0
Athletics Men's High Jump,0.0
Athletics Men's Javelin Throw,0.0
Athletics Men's Long Jump,0.0
Athletics Men's Marathon,0.0
Athletics Men's Triple Jump,0.0
"Athletics Women's 1,500 metres",0.0
Athletics Women's 100 metres Hurdles,0.0
Athletics Women's 100 metres,0.0
Athletics Women's 200 metres,0.3333333333333333
Athletics Women's 4 x 100 metres Relay,0.0
Athletics Women's 400 metres Hurdles,0.0
Athletics Women's 400 metres,0.0
Athletics Women's 800 metres,0.0
Athletics Women's Javelin Throw,0.0
Athletics Women's Marathon,0.0
Men's 100m,0.0
Men's 400m,0.0
Women's 800m,0.0
Women's Javelin Throw,0.0
Badminton Men's Singles,0.0
Badminton Women's Singles,0.0
Men's Singles,0.0
Boxing Men's Bantamweight,0.0
Boxing Men's Featherweight,0.0
Boxing Men's Flyweight,0.0
Boxing Men's Light-Flyweight,0.0
Boxing Men's Lightweight,0.0
Boxing Men's Welterweight,0.0
"Cycling Men's Road Race, Individual",0.0
Diving Men's Springboard,0.0
Jumping Individual,0.0
Judo Men's Lightweight,0.0
Men -73 kg,0.0
Sailing Men's One Person Dinghy,0.0
Sailing Mixed One Person Dinghy,0.0
Sailing Mixed Two Person Dinghy,0.0
10m Air Rifle Women,0.0
"Shooting Men's Air Pistol, 10 metres",0.0
"Shooting Men's Air Rifle, 10 metres",0.0
"Shooting Men's Free Pistol, 50 metres",0.0
"Shooting Men's Small-Bore Rifle, Prone, 50 metres",0.0
"Shooting Mixed Small-Bore Rifle, Prone, 50 metres",0.0
"Shooting Women's Air Pistol, 10 metres",0.0
"Shooting Women's Air Rifle, 10 metres",0.0
"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",0.0
"Shooting Women's Sporting Pistol, 25 metres",0.0
Men's 100m Freestyle,0.0
"Swimming Men's 1,500 metres Freestyle",0.0
Swimming Men's 100 metres Backstroke,0.0
Swimming Men's 100 metres Butterfly,0.0
Swimming Men's 100 metres Freestyle,0.0
Swimming Men's 200 metres Breaststroke,0.0
Swimming Men's 200 metres Butterfly,0.0
Swimming Men's 200 metres Freestyle,0.0
Swimming Men's 400 metres Freestyle,0.0
Swimming Men's 400 metres Individual Medley,0.0
Swimming Men's 50 metres Freestyle,0.0
Swimming Women's 100 metres Backstroke,0.0
Swimming Women's 100 metres Breaststroke,0.0
Swimming Women's 100 metres Freestyle,0.0
Swimming Women's 200 metres Breaststroke,0.0
Swimming Women's 200 metres Individual Medley,0.0
Swimming Women's 50 metres Freestyle,0.0
Women's 100m Backstroke,0.0
Women's 100m Butterfly,0.0
Weightlifting Men's Featherweight,0.0
Weightlifting Men's Flyweight,0.0
Weightlifting Men's Lightweight,0.0
"Wrestling Men's Flyweight, Freestyle",0.0
