Event,importance_score
"Athletics Men's 1,500 metres",0.0
"Athletics Men's 10,000 metres",0.0
Athletics Men's 100 metres,0.0
Athletics Men's 200 metres,0.0
"Athletics Men's 3,000 metres Steeplechase",0.3333333333333333
Athletics Men's 4 x 100 metres Relay,0.0
Athletics Men's 4 x 400 metres Relay,0.0
Athletics Men's 400 metres,0.0
"Athletics Men's 5,000 metres",0.3333333333333333
Athletics Men's 800 metres,0.0
Athletics Men's Javelin Throw,0.0
Athletics Men's Marathon,0.0
"Athletics Women's 1,500 metres",0.0
"Athletics Women's 10,000 metres",0.0
Athletics Women's 100 metres,0.0
Athletics Women's 200 metres,0.0
"Athletics Women's 3,000 metres",0.0
"Athletics Women's 5,000 metres",0.0
Athletics Women's 800 metres,0.0
Athletics Women's Marathon,0.0
Men's Marathon,0.0
Women's Marathon,0.0
Boxing Men's Bantamweight,0.0
Boxing Men's Featherweight,0.0
Boxing Men's Flyweight,0.0
Boxing Men's Heavyweight,0.0
Boxing Men's Light-Flyweight,0.0
Boxing Men's Light-Heavyweight,0.0
Boxing Men's Light-Middleweight,0.0
Boxing Men's Light-Welterweight,0.0
Boxing Men's Lightweight,0.0
Boxing Men's Middleweight,0.0
Boxing Men's Super-Heavyweight,0.0
Boxing Men's Welterweight,0.0
Hockey Men's Hockey,0.0
Judo Men's Lightweight,0.0
Men -73 kg,0.0
Men's 100m Freestyle,0.0
Swimming Men's 100 metres Freestyle,0.0
Swimming Men's 50 metres Freestyle,0.0
Swimming Women's 100 metres Freestyle,0.0
Swimming Women's 50 metres Freestyle,0.0
Women's 50m Freestyle,0.0
