Event,importance_score
Athletics Men's 800 metres,0.0
Athletics Men's Discus Throw,0.0
Athletics Men's Hammer Throw,0.0
Athletics Men's Long Jump,0.0
Athletics Women's 100 metres,0.0
Athletics Women's 200 metres,0.0
Athletics Women's Long Jump,0.0
Athletics Women's Triple Jump,0.0
Men's Hammer Throw,0.0
Women's 100m,0.0
Boxing Men's Light-Heavyweight,0.0
Boxing Men's Light-Middleweight,0.0
Boxing Men's Light-Welterweight,0.0
Boxing Men's Middleweight,0.0
Boxing Men's Welterweight,0.0
Judo Men's Half-Lightweight,0.0
Judo Women's Extra-Lightweight,0.0
Judo Women's Half-Heavyweight,0.0
Judo Women's Half-Lightweight,0.0
Judo Women's Half-Middleweight,0.0
Judo Women's Lightweight,0.0
Judo Women's Middleweight,0.0
Men -66 kg,0.0
Women -52 kg,0.0
Women -57 kg,0.0
"Shooting Men's Small-Bore Rifle, Prone, 50 metres",0.0
"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",0.0
"Shooting Women's Air Rifle, 10 metres",0.0
Men's 100m Backstroke,0.0
Men's 100m Freestyle,0.0
Men's 200m Backstroke,0.0
Swimming Men's 100 metres Backstroke,0.0
Swimming Men's 100 metres Freestyle,0.0
Swimming Men's 50 metres Freestyle,0.0
Swimming Women's 100 metres Backstroke,0.0
Swimming Women's 100 metres Breaststroke,0.0
Swimming Women's 100 metres Freestyle,0.0
Swimming Women's 400 metres Freestyle,0.0
Women's 100m Backstroke,0.0
Women's 100m Breaststroke,0.0
Table Tennis Women's Singles,0.0
Men's +109kg,0.0
Men's 102kg,0.0
Men's 109kg,0.0
Men's 81kg,0.0
Weightlifting Men's Featherweight,0.0
Weightlifting Men's Light-Heavyweight,0.0
Weightlifting Men's Lightweight,0.0
Weightlifting Men's Super-Heavyweight,0.0
Weightlifting Women's Light-Heavyweight,0.0
Women's 55kg,0.0
Women's 59kg,0.3333333333333333
"Wrestling Men's Featherweight, Greco-Roman",0.0
"Wrestling Men's Light-Heavyweight, Greco-Roman",0.0
