Event,importance_score
Athletics Men's 100 metres,0.0
Athletics Men's Long Jump,0.0
Boxing Men's Flyweight,0.16666666666666666
Boxing Men's Light-Welterweight,0.0
Boxing Men's Lightweight,0.0
Boxing Men's Middleweight,0.0
Diving Men's Platform,0.0
Diving Men's Springboard,0.0
"Equestrianism Mixed Jumping, Individual",0.0
"Equestrianism Mixed Jumping, Team",0.0
"Fencing Men's Foil, Individual",0.0
"Fencing Men's Foil, Team",0.0
Football Men's Football,0.0
Gymnastics Men's Floor Exercise,0.0
Gymnastics Men's Horizontal Bar,0.0
Gymnastics Men's Horse Vault,0.0
Gymnastics Men's Individual All-Around,0.0
Gymnastics Men's Parallel Bars,0.0
Gymnastics Men's Pommelled Horse,0.0
Gymnastics Men's Rings,0.0
Gymnastics Men's Team All-Around,0.0
Rowing Men's Coxed Eights,0.0
"Shooting Men's Rapid-Fire Pistol, 25 metres",0.0
Shooting Men's Trap,0.0
Water Polo Men's Water Polo,0.0
Weightlifting Men's Featherweight,0.0
Weightlifting Men's Heavyweight,0.0
Weightlifting Men's Light-Heavyweight,0.0
Weightlifting Men's Lightweight,0.0
Weightlifting Men's Middleweight,0.0
"Wrestling Men's Bantamweight, Greco-Roman",0.0
"Wrestling Men's Featherweight, Greco-Roman",0.0
"Wrestling Men's Flyweight, Greco-Roman",0.3333333333333333
"Wrestling Men's Welterweight, Greco-Roman",0.0
