Event,importance_score
"Athletics Men's 1,500 metres",0.0
"Athletics Men's 10,000 metres",0.0
Athletics Men's 400 metres,0.0
Athletics Men's 800 metres,0.0
Athletics Men's Marathon,0.0
Athletics Women's 100 metres,0.0
Athletics Women's 200 metres,0.0
Men's 100m,0.0
Men's 400m,0.0
Gymnastics Men's Floor Exercise,0.0
Gymnastics Men's Horse Vault,0.0
Gymnastics Men's Individual All-Around,0.0
Gymnastics Men's Pommelled Horse,0.0
Judo Men's Extra-Lightweight,0.0
Judo Men's Half-Lightweight,0.0
Judo Men's Half-Middleweight,0.0
Judo Men's Lightweight,0.0
Judo Men's Middleweight,0.0
Men -60 kg,0.0
Men -73 kg,0.0
10m Air Pistol Women,0.0
Men's 100m Butterfly,0.0
Men's 100m Freestyle,0.0
Men's 200m Freestyle,0.0
Swimming Men's 50 metres Freestyle,0.0
Swimming Women's 100 metres Butterfly,0.0
Women's 100m Breaststroke,0.0
Taekwondo Men's Flyweight,0.0
"Wrestling Men's Light-Flyweight, Greco-Roman",0.0
