Event,importance_score
Archery Men's Individual,0.0
Archery Men's Team,0.0
Archery Women's Individual,0.0
"Athletics Men's 1,500 metres",0.0
"Athletics Men's 10,000 metres",0.0
Athletics Men's 100 metres,0.0
Athletics Men's 200 metres,0.0
Athletics Men's 4 x 400 metres Relay,0.0
Athletics Men's 400 metres Hurdles,0.0
Athletics Men's 400 metres,0.0
"Athletics Men's 5,000 metres",0.0
Athletics Men's 800 metres,0.0
Athletics Men's Long Jump,0.0
Athletics Men's Marathon,0.0
Athletics Men's Triple Jump,0.0
"Athletics Women's 1,500 metres",0.0
Athletics Women's 100 metres,0.0
Athletics Women's 200 metres,0.0
"Athletics Women's 5,000 metres",0.0
Athletics Women's Discus Throw,0.0
Athletics Women's Marathon,0.0
Men's 100m,0.0
Men's 200m,0.0
Men's Marathon,0.0
Women's Marathon,0.0
Boxing Men's Bantamweight,0.0
Boxing Men's Flyweight,0.0
Boxing Men's Light-Middleweight,0.0
Boxing Men's Light-Welterweight,0.0
Boxing Men's Lightweight,0.0
Boxing Men's Middleweight,0.0
Boxing Men's Welterweight,0.0
"Cycling Men's 1,000 metres Time Trial",0.0
"Cycling Men's Mountainbike, Cross-Country",0.0
"Cycling Men's Road Race, Individual",0.0
Cycling Men's Sprint,0.0
Diving Men's Platform,0.0
Diving Men's Springboard,0.0
Diving Women's Platform,0.0
Diving Women's Springboard,0.0
"Equestrianism Mixed Three-Day Event, Individual",0.0
Football Women's Football,0.0
Men's Individual Stroke Play,0.0
Hockey Men's Hockey,0.0
Hockey Women's Hockey,7.5
Judo Men's Half-Heavyweight,0.0
Judo Men's Half-Lightweight,0.0
Judo Men's Half-Middleweight,0.0
Judo Men's Lightweight,0.0
Judo Men's Open Class,0.0
Judo Women's Half-Middleweight,0.0
Men's Single Sculls,0.0
Rowing Men's Single Sculls,0.0
Rowing Women's Coxless Pairs,0.0
Rowing Women's Single Sculls,0.0
Sailing Mixed One Person Dinghy,0.0
Sailing Mixed Two Person Dinghy,0.0
Sailing Mixed Two Person Heavyweight Dinghy,0.0
Sailing Mixed Windsurfer,0.0
"Shooting Men's Air Rifle, 10 metres",0.0
Shooting Men's Double Trap,0.0
"Shooting Men's Small-Bore Rifle, Prone, 50 metres",0.0
"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",0.0
Shooting Men's Trap,0.0
"Shooting Mixed Free Pistol, 50 metres",0.0
"Shooting Mixed Rapid-Fire Pistol, 25 metres",0.0
Shooting Mixed Skeet,0.0
"Shooting Mixed Small-Bore Rifle, Prone, 50 metres",0.0
"Shooting Mixed Small-Bore Rifle, Three Positions, 50 metres",0.0
Shooting Mixed Trap,0.0
Men's 100m Freestyle,0.0
Men's 200m Backstroke,0.0
Swimming Men's 100 metres Backstroke,0.0
Swimming Men's 100 metres Butterfly,0.0
Swimming Men's 100 metres Freestyle,0.0
Swimming Men's 200 metres Backstroke,0.0
Swimming Men's 200 metres Freestyle,0.0
Swimming Men's 200 metres Individual Medley,0.0
Swimming Men's 50 metres Freestyle,0.0
Swimming Women's 100 metres Backstroke,0.6666666666666666
Swimming Women's 100 metres Breaststroke,0.0
Swimming Women's 100 metres Butterfly,0.0
Swimming Women's 100 metres Freestyle,0.0
Swimming Women's 200 metres Backstroke,1.0
Swimming Women's 200 metres Breaststroke,0.0
Swimming Women's 200 metres Freestyle,0.0
Swimming Women's 200 metres Individual Medley,0.5
Swimming Women's 4 x 100 metres Medley Relay,0.0
Swimming Women's 400 metres Freestyle,0.0
Swimming Women's 400 metres Individual Medley,0.3333333333333333
Swimming Women's 50 metres Freestyle,0.0
Women's 100m Backstroke,0.0
Women's 100m Freestyle,0.0
Tennis Men's Doubles,0.0
Tennis Men's Singles,0.0
Tennis Women's Doubles,0.0
Tennis Women's Singles,0.0
Triathlon Men's Olympic Distance,0.0
Weightlifting Men's Heavyweight I,0.0
