Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
1972,Archery Men's Individual,AUS,Archery,0,0,0,2,2
1972,Archery Men's Individual,BEL,Archery,0,0,0,3,3
1972,Archery Men's Individual,CAN,Archery,0,0,0,3,3
1972,Archery Men's Individual,DEN,Archery,0,0,0,2,2
1972,Archery Men's Individual,ESP,Archery,0,0,0,1,1
1972,Archery Men's Individual,FIN,Archery,0,0,1,2,3
1972,Archery Men's Individual,FRA,Archery,0,0,0,3,3
1972,Archery Men's Individual,FRG,Archery,0,0,0,2,2
1972,Archery Men's Individual,GBR,Archery,0,0,0,3,3
1972,Archery Men's Individual,HUN,Archery,0,0,0,1,1
1972,Archery Men's Individual,ITA,Archery,0,0,0,3,3
1972,Archery Men's Individual,JPN,Archery,0,0,0,3,3
1972,Archery Men's Individual,LUX,Archery,0,0,0,1,1
1972,Archery Men's Individual,MEX,Archery,0,0,0,3,3
1972,Archery Men's Individual,MGL,Archery,0,0,0,1,1
1972,Archery Men's Individual,NOR,Archery,0,0,0,3,3
1972,Archery Men's Individual,NZL,Archery,0,0,0,1,1
1972,Archery Men's Individual,PHI,Archery,0,0,0,3,3
1972,Archery Men's Individual,POL,Archery,0,0,0,1,1
1972,Archery Men's Individual,PUR,Archery,0,0,0,1,1
1972,Archery Men's Individual,SUI,Archery,0,0,0,3,3
1972,Archery Men's Individual,SWE,Archery,0,1,0,2,3
1972,Archery Men's Individual,URS,Archery,0,0,0,3,3
1972,Archery Men's Individual,USA,Archery,1,0,0,2,3
1976,Archery Men's Individual,AUS,Archery,0,0,0,2,2
1976,Archery Men's Individual,AUT,Archery,0,0,0,1,1
1976,Archery Men's Individual,BEL,Archery,0,0,0,2,2
1976,Archery Men's Individual,CAN,Archery,0,0,0,2,2
1976,Archery Men's Individual,CRC,Archery,0,0,0,2,2
1976,Archery Men's Individual,DEN,Archery,0,0,0,1,1
1976,Archery Men's Individual,FIN,Archery,0,0,0,2,2
1976,Archery Men's Individual,FRA,Archery,0,0,0,1,1
1976,Archery Men's Individual,FRG,Archery,0,0,0,2,2
1976,Archery Men's Individual,GBR,Archery,0,0,0,2,2
1976,Archery Men's Individual,INA,Archery,0,0,0,1,1
1976,Archery Men's Individual,IRL,Archery,0,0,0,1,1
1976,Archery Men's Individual,ITA,Archery,0,0,1,1,2
1976,Archery Men's Individual,JPN,Archery,0,1,0,1,2
1976,Archery Men's Individual,MGL,Archery,0,0,0,2,2
1976,Archery Men's Individual,NOR,Archery,0,0,0,1,1
1976,Archery Men's Individual,POL,Archery,0,0,0,2,2
1976,Archery Men's Individual,PUR,Archery,0,0,0,1,1
1976,Archery Men's Individual,SWE,Archery,0,0,0,2,2
1976,Archery Men's Individual,THA,Archery,0,0,0,2,2
1976,Archery Men's Individual,URS,Archery,0,0,0,1,1
1976,Archery Men's Individual,USA,Archery,1,0,0,1,2
1976,Archery Men's Individual,YUG,Archery,0,0,0,1,1
1980,Archery Men's Individual,AUS,Archery,0,0,0,1,1
1980,Archery Men's Individual,AUT,Archery,0,0,0,1,1
1980,Archery Men's Individual,BEL,Archery,0,0,0,2,2
1980,Archery Men's Individual,BRA,Archery,0,0,0,1,1
1980,Archery Men's Individual,BUL,Archery,0,0,0,1,1
1980,Archery Men's Individual,CRC,Archery,0,0,0,2,2
1980,Archery Men's Individual,ESP,Archery,0,0,0,2,2
1980,Archery Men's Individual,FIN,Archery,1,0,0,1,2
1980,Archery Men's Individual,GBR,Archery,0,0,0,2,2
1980,Archery Men's Individual,HUN,Archery,0,0,0,2,2
1980,Archery Men's Individual,IRL,Archery,0,0,0,2,2
1980,Archery Men's Individual,ITA,Archery,0,0,1,1,2
1980,Archery Men's Individual,LUX,Archery,0,0,0,1,1
1980,Archery Men's Individual,MGL,Archery,0,0,0,2,2
1980,Archery Men's Individual,MLT,Archery,0,0,0,1,1
1980,Archery Men's Individual,NED,Archery,0,0,0,1,1
1980,Archery Men's Individual,POL,Archery,0,0,0,1,1
1980,Archery Men's Individual,PRK,Archery,0,0,0,1,1
1980,Archery Men's Individual,ROU,Archery,0,0,0,2,2
1980,Archery Men's Individual,SUI,Archery,0,0,0,2,2
1980,Archery Men's Individual,SWE,Archery,0,0,0,2,2
1980,Archery Men's Individual,TCH,Archery,0,0,0,1,1
1980,Archery Men's Individual,URS,Archery,0,1,0,1,2
1980,Archery Men's Individual,YUG,Archery,0,0,0,1,1
1980,Archery Men's Individual,ZIM,Archery,0,0,0,1,1
1984,Archery Men's Individual,AUS,Archery,0,0,0,1,1
1984,Archery Men's Individual,BEL,Archery,0,0,0,3,3
1984,Archery Men's Individual,BHU,Archery,0,0,0,3,3
1984,Archery Men's Individual,BRA,Archery,0,0,0,1,1
1984,Archery Men's Individual,CHN,Archery,0,0,0,3,3
1984,Archery Men's Individual,COL,Archery,0,0,0,1,1
1984,Archery Men's Individual,ESP,Archery,0,0,0,2,2
1984,Archery Men's Individual,FIN,Archery,0,0,0,3,3
1984,Archery Men's Individual,FRA,Archery,0,0,0,2,2
1984,Archery Men's Individual,FRG,Archery,0,0,0,3,3
1984,Archery Men's Individual,GBR,Archery,0,0,0,3,3
1984,Archery Men's Individual,HKG,Archery,0,0,0,3,3
1984,Archery Men's Individual,INA,Archery,0,0,0,2,2
1984,Archery Men's Individual,ITA,Archery,0,0,0,2,2
1984,Archery Men's Individual,JPN,Archery,0,0,1,2,3
1984,Archery Men's Individual,KOR,Archery,0,0,0,3,3
1984,Archery Men's Individual,KSA,Archery,0,0,0,3,3
1984,Archery Men's Individual,LUX,Archery,0,0,0,2,2
1984,Archery Men's Individual,MEX,Archery,0,0,0,1,1
1984,Archery Men's Individual,MON,Archery,0,0,0,1,1
1984,Archery Men's Individual,NED,Archery,0,0,0,1,1
1984,Archery Men's Individual,NOR,Archery,0,0,0,1,1
1984,Archery Men's Individual,NZL,Archery,0,0,0,1,1
1984,Archery Men's Individual,POR,Archery,0,0,0,1,1
1984,Archery Men's Individual,PUR,Archery,0,0,0,1,1
1984,Archery Men's Individual,SUI,Archery,0,0,0,1,1
1984,Archery Men's Individual,SWE,Archery,0,0,0,3,3
1984,Archery Men's Individual,THA,Archery,0,0,0,2,2
1984,Archery Men's Individual,TPE,Archery,0,0,0,1,1
1984,Archery Men's Individual,TUR,Archery,0,0,0,2,2
1984,Archery Men's Individual,USA,Archery,1,1,0,1,3
1988,Archery Men's Individual,ARG,Archery,0,0,0,2,2
1988,Archery Men's Individual,AUS,Archery,0,0,0,3,3
1988,Archery Men's Individual,BEL,Archery,0,0,0,3,3
1988,Archery Men's Individual,BHU,Archery,0,0,0,3,3
1988,Archery Men's Individual,BRA,Archery,0,0,0,2,2
1988,Archery Men's Individual,CAN,Archery,0,0,0,3,3
1988,Archery Men's Individual,CHN,Archery,0,0,0,3,3
1988,Archery Men's Individual,DEN,Archery,0,0,0,3,3
1988,Archery Men's Individual,ESP,Archery,0,0,0,3,3
1988,Archery Men's Individual,FIN,Archery,0,0,0,3,3
1988,Archery Men's Individual,FRA,Archery,0,0,0,3,3
1988,Archery Men's Individual,FRG,Archery,0,0,0,3,3
1988,Archery Men's Individual,GBR,Archery,0,0,0,3,3
1988,Archery Men's Individual,HKG,Archery,0,0,0,2,2
1988,Archery Men's Individual,INA,Archery,0,0,0,1,1
1988,Archery Men's Individual,IND,Archery,0,0,0,3,3
1988,Archery Men's Individual,IRL,Archery,0,0,0,2,2
1988,Archery Men's Individual,ITA,Archery,0,0,0,3,3
1988,Archery Men's Individual,JPN,Archery,0,0,0,3,3
1988,Archery Men's Individual,KOR,Archery,0,1,0,2,3
1988,Archery Men's Individual,KSA,Archery,0,0,0,2,2
1988,Archery Men's Individual,MEX,Archery,0,0,0,3,3
1988,Archery Men's Individual,MON,Archery,0,0,0,1,1
1988,Archery Men's Individual,NED,Archery,0,0,0,1,1
1988,Archery Men's Individual,PHI,Archery,0,0,0,1,1
1988,Archery Men's Individual,POR,Archery,0,0,0,2,2
1988,Archery Men's Individual,PUR,Archery,0,0,0,1,1
1988,Archery Men's Individual,SOL,Archery,0,0,0,1,1
1988,Archery Men's Individual,SWE,Archery,0,0,0,3,3
1988,Archery Men's Individual,TPE,Archery,0,0,0,3,3
1988,Archery Men's Individual,TUR,Archery,0,0,0,3,3
1988,Archery Men's Individual,URS,Archery,0,0,1,2,3
1988,Archery Men's Individual,USA,Archery,1,0,0,2,3
1988,Archery Men's Individual,ZIM,Archery,0,0,0,3,3
1992,Archery Men's Individual,AUS,Archery,0,0,0,3,3
1992,Archery Men's Individual,BEL,Archery,0,0,0,1,1
1992,Archery Men's Individual,BHU,Archery,0,0,0,3,3
1992,Archery Men's Individual,BRA,Archery,0,0,0,2,2
1992,Archery Men's Individual,BUL,Archery,0,0,0,1,1
1992,Archery Men's Individual,CAN,Archery,0,0,0,3,3
1992,Archery Men's Individual,CHN,Archery,0,0,0,3,3
1992,Archery Men's Individual,CYP,Archery,0,0,0,1,1
1992,Archery Men's Individual,DEN,Archery,0,0,0,3,3
1992,Archery Men's Individual,ESP,Archery,0,0,0,3,3
1992,Archery Men's Individual,EST,Archery,0,0,0,1,1
1992,Archery Men's Individual,EUN,Archery,0,0,0,3,3
1992,Archery Men's Individual,FIN,Archery,0,0,0,3,3
1992,Archery Men's Individual,FRA,Archery,1,0,0,2,3
1992,Archery Men's Individual,GBR,Archery,0,0,1,2,3
1992,Archery Men's Individual,GER,Archery,0,0,0,3,3
1992,Archery Men's Individual,GUM,Archery,0,0,0,1,1
1992,Archery Men's Individual,HKG,Archery,0,0,0,1,1
1992,Archery Men's Individual,INA,Archery,0,0,0,1,1
1992,Archery Men's Individual,IND,Archery,0,0,0,3,3
1992,Archery Men's Individual,IRL,Archery,0,0,0,1,1
1992,Archery Men's Individual,ITA,Archery,0,0,0,3,3
1992,Archery Men's Individual,JPN,Archery,0,0,0,3,3
1992,Archery Men's Individual,KOR,Archery,0,1,0,2,3
1992,Archery Men's Individual,MEX,Archery,0,0,0,3,3
1992,Archery Men's Individual,NED,Archery,0,0,0,3,3
1992,Archery Men's Individual,NOR,Archery,0,0,0,1,1
1992,Archery Men's Individual,POL,Archery,0,0,0,3,3
1992,Archery Men's Individual,RSA,Archery,0,0,0,1,1
1992,Archery Men's Individual,SLO,Archery,0,0,0,1,1
1992,Archery Men's Individual,SMR,Archery,0,0,0,1,1
1992,Archery Men's Individual,TCH,Archery,0,0,0,1,1
1992,Archery Men's Individual,TUR,Archery,0,0,0,3,3
1992,Archery Men's Individual,USA,Archery,0,0,0,3,3
1996,Archery Men's Individual,AUS,Archery,0,0,0,3,3
1996,Archery Men's Individual,BEL,Archery,0,0,0,1,1
1996,Archery Men's Individual,BHU,Archery,0,0,0,1,1
1996,Archery Men's Individual,BUL,Archery,0,0,0,1,1
1996,Archery Men's Individual,CAN,Archery,0,0,0,3,3
1996,Archery Men's Individual,CHN,Archery,0,0,0,3,3
1996,Archery Men's Individual,ESP,Archery,0,0,0,1,1
1996,Archery Men's Individual,EST,Archery,0,0,0,1,1
1996,Archery Men's Individual,FIN,Archery,0,0,0,3,3
1996,Archery Men's Individual,FRA,Archery,0,0,0,3,3
1996,Archery Men's Individual,GBR,Archery,0,0,0,2,2
1996,Archery Men's Individual,IND,Archery,0,0,0,3,3
1996,Archery Men's Individual,IRL,Archery,0,0,0,1,1
1996,Archery Men's Individual,ITA,Archery,0,0,0,3,3
1996,Archery Men's Individual,JPN,Archery,0,0,0,2,2
1996,Archery Men's Individual,KAZ,Archery,0,0,0,3,3
1996,Archery Men's Individual,KEN,Archery,0,0,0,1,1
1996,Archery Men's Individual,KOR,Archery,0,0,1,2,3
1996,Archery Men's Individual,MEX,Archery,0,0,0,2,2
1996,Archery Men's Individual,NOR,Archery,0,0,0,1,1
1996,Archery Men's Individual,NZL,Archery,0,0,0,1,1
1996,Archery Men's Individual,POL,Archery,0,0,0,1,1
1996,Archery Men's Individual,POR,Archery,0,0,0,1,1
1996,Archery Men's Individual,RUS,Archery,0,0,0,3,3
1996,Archery Men's Individual,SLO,Archery,0,0,0,3,3
1996,Archery Men's Individual,SMR,Archery,0,0,0,1,1
1996,Archery Men's Individual,SWE,Archery,0,1,0,2,3
1996,Archery Men's Individual,TPE,Archery,0,0,0,3,3
1996,Archery Men's Individual,TUR,Archery,0,0,0,1,1
1996,Archery Men's Individual,UKR,Archery,0,0,0,3,3
1996,Archery Men's Individual,USA,Archery,1,0,0,2,3
2000,Archery Men's Individual,ASA,Archery,0,0,0,1,1
2000,Archery Men's Individual,AUS,Archery,1,0,0,2,3
2000,Archery Men's Individual,BEL,Archery,0,0,0,1,1
2000,Archery Men's Individual,BHU,Archery,0,0,0,1,1
2000,Archery Men's Individual,CAN,Archery,0,0,0,1,1
2000,Archery Men's Individual,CHN,Archery,0,0,0,3,3
