Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
2020,Men's Team,AUS,Archery,0,0,0,3,3
2020,Men's Team,CHN,Archery,0,0,0,3,3
2020,Men's Team,FRA,Archery,0,0,0,3,3
2020,Men's Team,GBR,Archery,0,0,0,3,3
2020,Men's Team,INA,Archery,0,0,0,3,3
2020,Men's Team,IND,Archery,0,0,0,3,3
2020,Men's Team,JPN,Archery,0,0,3,0,3
2020,Men's Team,KAZ,Archery,0,0,0,3,3
2020,Men's Team,KOR,Archery,3,0,0,0,3
2020,Men's Team,NED,Archery,0,0,0,3,3
2020,Men's Team,TPE,Archery,0,3,0,0,3
2020,Men's Team,USA,Archery,0,0,0,3,3
2024,Men's Team,CHN,Archery,0,0,0,3,3
2024,Men's Team,COL,Archery,0,0,0,3,3
2024,Men's Team,FRA,Archery,0,3,0,0,3
2024,Men's Team,GBR,Archery,0,0,0,3,3
2024,Men's Team,IND,Archery,0,0,0,3,3
2024,Men's Team,ITA,Archery,0,0,0,3,3
2024,Men's Team,JPN,Archery,0,0,0,3,3
2024,Men's Team,KAZ,Archery,0,0,0,3,3
2024,Men's Team,KOR,Archery,3,0,0,0,3
2024,Men's Team,MEX,Archery,0,0,0,3,3
2024,Men's Team,TPE,Archery,0,0,0,3,3
2024,Men's Team,TUR,Archery,0,0,3,0,3
