Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
2020,Mixed Team,AUS,Archery,0,0,0,2,2
2020,Mixed Team,BAN,Archery,0,0,0,2,2
2020,Mixed Team,BRA,Archery,0,0,0,2,2
2020,Mixed Team,CAN,Archery,0,0,0,2,2
2020,Mixed Team,CHN,Archery,0,0,0,2,2
2020,Mixed Team,COL,Archery,0,0,0,2,2
2020,Mixed Team,EGY,Archery,0,0,0,2,2
2020,Mixed Team,ESP,Archery,0,0,0,2,2
2020,Mixed Team,FRA,Archery,0,0,0,2,2
2020,Mixed Team,GBR,Archery,0,0,0,2,2
2020,Mixed Team,GER,Archery,0,0,0,2,2
2020,Mixed Team,INA,Archery,0,0,0,2,2
2020,Mixed Team,IND,Archery,0,0,0,2,2
2020,Mixed Team,ITA,Archery,0,0,0,2,2
2020,Mixed Team,JPN,Archery,0,0,0,2,2
2020,Mixed Team,KOR,Archery,2,0,0,0,2
2020,Mixed Team,MAS,Archery,0,0,0,2,2
2020,Mixed Team,MDA,Archery,0,0,0,2,2
2020,Mixed Team,MEX,Archery,0,0,2,0,2
2020,Mixed Team,MGL,Archery,0,0,0,2,2
2020,Mixed Team,NED,Archery,0,2,0,0,2
2020,Mixed Team,POL,Archery,0,0,0,2,2
2020,Mixed Team,ROC,Archery,0,0,0,2,2
2020,Mixed Team,TPE,Archery,0,0,0,2,2
2020,Mixed Team,TUN,Archery,0,0,0,2,2
2020,Mixed Team,TUR,Archery,0,0,0,2,2
2020,Mixed Team,UKR,Archery,0,0,0,2,2
2020,Mixed Team,USA,Archery,0,0,0,2,2
2020,Mixed Team,VIE,Archery,0,0,0,2,2
2024,Mixed Team,AUS,Archery,0,0,0,2,2
2024,Mixed Team,BRA,Archery,0,0,0,2,2
2024,Mixed Team,CAN,Archery,0,0,0,2,2
2024,Mixed Team,CHN,Archery,0,0,0,2,2
2024,Mixed Team,COL,Archery,0,0,0,2,2
2024,Mixed Team,CZE,Archery,0,0,0,2,2
2024,Mixed Team,EGY,Archery,0,0,0,2,2
2024,Mixed Team,ESP,Archery,0,0,0,2,2
2024,Mixed Team,FRA,Archery,0,0,0,2,2
2024,Mixed Team,GBR,Archery,0,0,0,2,2
2024,Mixed Team,GER,Archery,0,2,0,0,2
2024,Mixed Team,INA,Archery,0,0,0,2,2
2024,Mixed Team,IND,Archery,0,0,0,2,2
2024,Mixed Team,ISR,Archery,0,0,0,2,2
2024,Mixed Team,ITA,Archery,0,0,0,2,2
2024,Mixed Team,JPN,Archery,0,0,0,2,2
2024,Mixed Team,KOR,Archery,2,0,0,0,2
2024,Mixed Team,MDA,Archery,0,0,0,2,2
2024,Mixed Team,MEX,Archery,0,0,0,2,2
2024,Mixed Team,NED,Archery,0,0,0,2,2
2024,Mixed Team,SLO,Archery,0,0,0,2,2
2024,Mixed Team,TPE,Archery,0,0,0,2,2
2024,Mixed Team,TUR,Archery,0,0,0,2,2
2024,Mixed Team,UKR,Archery,0,0,0,2,2
2024,Mixed Team,USA,Archery,0,0,2,0,2
2024,Mixed Team,UZB,Archery,0,0,0,2,2
2024,Mixed Team,VIE,Archery,0,0,0,2,2
