Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
2020,Women's Team,BLR,Archery,0,0,0,3,3
2020,Women's Team,CHN,Archery,0,0,0,3,3
2020,Women's Team,GBR,Archery,0,0,0,3,3
2020,Women's Team,GER,Archery,0,0,3,0,3
2020,Women's Team,ITA,Archery,0,0,0,3,3
2020,Women's Team,JPN,Archery,0,0,0,3,3
2020,Women's Team,KOR,Archery,3,0,0,0,3
2020,Women's Team,MEX,Archery,0,0,0,3,3
2020,Women's Team,ROC,Archery,0,3,0,0,3
2020,Women's Team,TPE,Archery,0,0,0,3,3
2020,Women's Team,UKR,Archery,0,0,0,3,3
2020,Women's Team,USA,Archery,0,0,0,3,3
2024,Women's Team,CHN,Archery,0,3,0,0,3
2024,Women's Team,FRA,Archery,0,0,0,3,3
2024,Women's Team,GBR,Archery,0,0,0,3,3
2024,Women's Team,GER,Archery,0,0,0,3,3
2024,Women's Team,INA,Archery,0,0,0,3,3
2024,Women's Team,IND,Archery,0,0,0,3,3
2024,Women's Team,KOR,Archery,3,0,0,0,3
2024,Women's Team,MAS,Archery,0,0,0,3,3
2024,Women's Team,MEX,Archery,0,0,3,0,3
2024,Women's Team,NED,Archery,0,0,0,3,3
2024,Women's Team,TPE,Archery,0,0,0,3,3
2024,Women's Team,USA,Archery,0,0,0,3,3
