Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
1928,"Art Competitions Mixed Architecture, Architectural Designs",AUT,Art Competitions,0,0,0,2,2
1928,"Art Competitions Mixed Architecture, Architectural Designs",BEL,Art Competitions,0,0,0,1,1
1928,"Art Competitions Mixed Architecture, Architectural Designs",DEN,Art Competitions,0,1,0,6,7
1928,"Art Competitions Mixed Architecture, Architectural Designs",FRA,Art Competitions,0,0,1,8,9
1928,"Art Competitions Mixed Architecture, Architectural Designs",GER,Art Competitions,0,0,0,17,17
1928,"Art Competitions Mixed Architecture, Architectural Designs",HUN,Art Competitions,0,0,0,1,1
1928,"Art Competitions Mixed Architecture, Architectural Designs",ITA,Art Competitions,0,0,0,6,6
1928,"Art Competitions Mixed Architecture, Architectural Designs",MON,Art Competitions,0,0,0,1,1
1928,"Art Competitions Mixed Architecture, Architectural Designs",NED,Art Competitions,1,0,0,0,1
1928,"Art Competitions Mixed Architecture, Architectural Designs",NOR,Art Competitions,0,0,0,1,1
1928,"Art Competitions Mixed Architecture, Architectural Designs",SUI,Art Competitions,0,0,0,1,1
1928,"Art Competitions Mixed Architecture, Architectural Designs",USA,Art Competitions,0,0,0,11,11
1932,"Art Competitions Mixed Architecture, Architectural Designs",FRA,Art Competitions,3,0,0,0,3
1932,"Art Competitions Mixed Architecture, Architectural Designs",GER,Art Competitions,0,0,1,0,1
1932,"Art Competitions Mixed Architecture, Architectural Designs",USA,Art Competitions,0,1,0,0,1
1936,"Art Competitions Mixed Architecture, Architectural Designs",AUT,Art Competitions,1,0,2,1,4
1936,"Art Competitions Mixed Architecture, Architectural Designs",GER,Art Competitions,0,2,0,0,2
1936,"Art Competitions Mixed Architecture, Architectural Designs",HUN,Art Competitions,0,0,0,1,1
1936,"Art Competitions Mixed Architecture, Architectural Designs",ITA,Art Competitions,0,0,0,1,1
1936,"Art Competitions Mixed Architecture, Architectural Designs",JPN,Art Competitions,0,0,0,3,3
1936,"Art Competitions Mixed Architecture, Architectural Designs",NED,Art Competitions,0,0,0,8,8
1936,"Art Competitions Mixed Architecture, Architectural Designs",POL,Art Competitions,0,0,0,2,2
1936,"Art Competitions Mixed Architecture, Architectural Designs",ROU,Art Competitions,0,0,0,1,1
1936,"Art Competitions Mixed Architecture, Architectural Designs",SUI,Art Competitions,0,0,0,1,1
1936,"Art Competitions Mixed Architecture, Architectural Designs",USA,Art Competitions,0,0,0,10,10
1936,"Art Competitions Mixed Architecture, Architectural Designs",YUG,Art Competitions,0,0,0,1,1
1948,"Art Competitions Mixed Architecture, Architectural Designs",AUT,Art Competitions,1,1,0,0,2
1948,"Art Competitions Mixed Architecture, Architectural Designs",CAN,Art Competitions,0,0,0,2,2
1948,"Art Competitions Mixed Architecture, Architectural Designs",GBR,Art Competitions,0,0,0,1,1
1948,"Art Competitions Mixed Architecture, Architectural Designs",ITA,Art Competitions,0,0,0,1,1
1948,"Art Competitions Mixed Architecture, Architectural Designs",SWE,Art Competitions,0,0,1,1,2
1948,"Art Competitions Mixed Architecture, Architectural Designs",TCH,Art Competitions,0,0,0,1,1
1948,"Art Competitions Mixed Architecture, Architectural Designs",YUG,Art Competitions,0,0,0,3,3
