Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
1928,"Art Competitions Mixed Architecture, Designs For Town Planning",AUT,Art Competitions,0,0,0,2,2
1928,"Art Competitions Mixed Architecture, Designs For Town Planning",BEL,Art Competitions,0,0,0,1,1
1928,"Art Competitions Mixed Architecture, Designs For Town Planning",DEN,Art Competitions,0,0,0,7,7
1928,"Art Competitions Mixed Architecture, Designs For Town Planning",FRA,Art Competitions,0,1,0,8,9
1928,"Art Competitions Mixed Architecture, Designs For Town Planning",GER,Art Competitions,1,0,1,15,17
1928,"Art Competitions Mixed Architecture, Designs For Town Planning",HUN,Art Competitions,0,0,0,1,1
1928,"Art Competitions Mixed Architecture, Designs For Town Planning",ITA,Art Competitions,0,0,0,6,6
1928,"Art Competitions Mixed Architecture, Designs For Town Planning",MON,Art Competitions,0,0,0,1,1
1928,"Art Competitions Mixed Architecture, Designs For Town Planning",NED,Art Competitions,0,0,0,1,1
1928,"Art Competitions Mixed Architecture, Designs For Town Planning",NOR,Art Competitions,0,0,0,1,1
1928,"Art Competitions Mixed Architecture, Designs For Town Planning",SUI,Art Competitions,0,0,0,1,1
1928,"Art Competitions Mixed Architecture, Designs For Town Planning",USA,Art Competitions,0,0,0,11,11
1932,"Art Competitions Mixed Architecture, Designs For Town Planning",BEL,Art Competitions,0,0,1,1,2
1932,"Art Competitions Mixed Architecture, Designs For Town Planning",DEN,Art Competitions,0,1,0,0,1
1932,"Art Competitions Mixed Architecture, Designs For Town Planning",GBR,Art Competitions,1,0,0,0,1
1932,"Art Competitions Mixed Architecture, Designs For Town Planning",GER,Art Competitions,0,0,0,1,1
1932,"Art Competitions Mixed Architecture, Designs For Town Planning",SWE,Art Competitions,0,0,0,1,1
1932,"Art Competitions Mixed Architecture, Designs For Town Planning",TCH,Art Competitions,0,0,0,1,1
1932,"Art Competitions Mixed Architecture, Designs For Town Planning",USA,Art Competitions,0,0,0,3,3
1936,"Art Competitions Mixed Architecture, Designs For Town Planning",AUT,Art Competitions,0,0,0,4,4
1936,"Art Competitions Mixed Architecture, Designs For Town Planning",GER,Art Competitions,2,0,1,0,3
1936,"Art Competitions Mixed Architecture, Designs For Town Planning",GRE,Art Competitions,0,0,0,1,1
1936,"Art Competitions Mixed Architecture, Designs For Town Planning",ITA,Art Competitions,0,0,0,1,1
1936,"Art Competitions Mixed Architecture, Designs For Town Planning",TCH,Art Competitions,0,0,0,11,11
1936,"Art Competitions Mixed Architecture, Designs For Town Planning",USA,Art Competitions,0,1,0,0,1
1948,"Art Competitions Mixed Architecture, Designs For Town Planning",FIN,Art Competitions,1,0,1,0,2
1948,"Art Competitions Mixed Architecture, Designs For Town Planning",FRA,Art Competitions,0,0,0,2,2
1948,"Art Competitions Mixed Architecture, Designs For Town Planning",SUI,Art Competitions,0,2,0,0,2
