Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
1932,"Art Competitions Mixed Architecture, Unknown Event",AUT,Art Competitions,0,0,0,4,4
1932,"Art Competitions Mixed Architecture, Unknown Event",BEL,Art Competitions,0,0,0,4,4
1932,"Art Competitions Mixed Architecture, Unknown Event",DEN,Art Competitions,0,0,0,1,1
1932,"Art Competitions Mixed Architecture, Unknown Event",FRA,Art Competitions,0,0,0,3,3
1932,"Art Competitions Mixed Architecture, Unknown Event",GER,Art Competitions,0,0,0,6,6
1932,"Art Competitions Mixed Architecture, Unknown Event",HUN,Art Competitions,0,0,0,3,3
1932,"Art Competitions Mixed Architecture, Unknown Event",ITA,Art Competitions,0,0,0,1,1
1932,"Art Competitions Mixed Architecture, Unknown Event",JPN,Art Competitions,0,0,0,2,2
1932,"Art Competitions Mixed Architecture, Unknown Event",NED,Art Competitions,0,0,0,1,1
1932,"Art Competitions Mixed Architecture, Unknown Event",POL,Art Competitions,0,0,0,1,1
1932,"Art Competitions Mixed Architecture, Unknown Event",SWE,Art Competitions,0,0,0,1,1
1932,"Art Competitions Mixed Architecture, Unknown Event",TCH,Art Competitions,0,0,0,2,2
1932,"Art Competitions Mixed Architecture, Unknown Event",USA,Art Competitions,0,0,0,18,18
1936,"Art Competitions Mixed Architecture, Unknown Event",AUT,Art Competitions,0,0,0,7,7
1936,"Art Competitions Mixed Architecture, Unknown Event",BOL,Art Competitions,0,0,0,1,1
1936,"Art Competitions Mixed Architecture, Unknown Event",GER,Art Competitions,0,0,0,17,17
1936,"Art Competitions Mixed Architecture, Unknown Event",ITA,Art Competitions,0,0,0,13,13
1948,"Art Competitions Mixed Architecture, Unknown Event",AUT,Art Competitions,0,0,0,4,4
1948,"Art Competitions Mixed Architecture, Unknown Event",CAN,Art Competitions,0,0,0,2,2
1948,"Art Competitions Mixed Architecture, Unknown Event",FRA,Art Competitions,0,0,0,8,8
1948,"Art Competitions Mixed Architecture, Unknown Event",GBR,Art Competitions,0,0,0,5,5
1948,"Art Competitions Mixed Architecture, Unknown Event",GRE,Art Competitions,0,0,0,2,2
1948,"Art Competitions Mixed Architecture, Unknown Event",ITA,Art Competitions,0,0,0,4,4
1948,"Art Competitions Mixed Architecture, Unknown Event",NED,Art Competitions,0,0,0,4,4
1948,"Art Competitions Mixed Architecture, Unknown Event",SWE,Art Competitions,0,0,0,3,3
1948,"Art Competitions Mixed Architecture, Unknown Event",TCH,Art Competitions,0,0,0,3,3
1948,"Art Competitions Mixed Architecture, Unknown Event",TUR,Art Competitions,0,0,0,1,1
1948,"Art Competitions Mixed Architecture, Unknown Event",YUG,Art Competitions,0,0,0,1,1
