Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
1928,"Art Competitions Mixed Painting, Drawings And Water Colors",AUT,Art Competitions,0,0,0,2,2
1928,"Art Competitions Mixed Painting, Drawings And Water Colors",BEL,Art Competitions,0,0,0,2,2
1928,"Art Competitions Mixed Painting, Drawings And Water Colors",FRA,Art Competitions,0,1,0,1,2
1928,"Art Competitions Mixed Painting, Drawings And Water Colors",GBR,Art Competitions,0,0,0,17,17
1928,"Art Competitions Mixed Painting, Drawings And Water Colors",GER,Art Competitions,0,0,0,4,4
1928,"Art Competitions Mixed Painting, Drawings And Water Colors",HUN,Art Competitions,0,0,0,1,1
1928,"Art Competitions Mixed Painting, Drawings And Water Colors",IRL,Art Competitions,0,0,0,5,5
1928,"Art Competitions Mixed Painting, Drawings And Water Colors",LAT,Art Competitions,0,0,0,1,1
1928,"Art Competitions Mixed Painting, Drawings And Water Colors",LUX,Art Competitions,1,0,0,1,2
1928,"Art Competitions Mixed Painting, Drawings And Water Colors",NED,Art Competitions,0,0,0,9,9
1928,"Art Competitions Mixed Painting, Drawings And Water Colors",POL,Art Competitions,0,0,1,4,5
1928,"Art Competitions Mixed Painting, Drawings And Water Colors",USA,Art Competitions,0,0,0,1,1
1932,"Art Competitions Mixed Painting, Drawings And Water Colors",BEL,Art Competitions,0,0,0,1,1
1932,"Art Competitions Mixed Painting, Drawings And Water Colors",LUX,Art Competitions,0,0,0,1,1
1932,"Art Competitions Mixed Painting, Drawings And Water Colors",NED,Art Competitions,0,0,1,0,1
1932,"Art Competitions Mixed Painting, Drawings And Water Colors",SWE,Art Competitions,0,0,0,1,1
1932,"Art Competitions Mixed Painting, Drawings And Water Colors",USA,Art Competitions,1,1,0,1,3
1936,"Art Competitions Mixed Painting, Drawings And Water Colors",BEL,Art Competitions,0,0,0,1,1
1936,"Art Competitions Mixed Painting, Drawings And Water Colors",ITA,Art Competitions,0,1,0,0,1
1936,"Art Competitions Mixed Painting, Drawings And Water Colors",JPN,Art Competitions,0,0,1,0,1
1936,"Art Competitions Mixed Painting, Drawings And Water Colors",LAT,Art Competitions,0,0,0,1,1
1936,"Art Competitions Mixed Painting, Drawings And Water Colors",LUX,Art Competitions,0,0,0,1,1
1936,"Art Competitions Mixed Painting, Drawings And Water Colors",SUI,Art Competitions,0,0,0,1,1
1936,"Art Competitions Mixed Painting, Drawings And Water Colors",SWE,Art Competitions,0,0,0,1,1
