Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
1928,"Art Competitions Mixed Sculpturing, Medals And Reliefs",AUT,Art Competitions,1,0,0,1,2
1928,"Art Competitions Mixed Sculpturing, Medals And Reliefs",BEL,Art Competitions,0,0,0,1,1
1928,"Art Competitions Mixed Sculpturing, Medals And Reliefs",GER,Art Competitions,0,0,1,10,11
1928,"Art Competitions Mixed Sculpturing, Medals And Reliefs",ITA,Art Competitions,0,0,0,1,1
1928,"Art Competitions Mixed Sculpturing, Medals And Reliefs",NED,Art Competitions,0,1,0,2,3
1928,"Art Competitions Mixed Sculpturing, Medals And Reliefs",POL,Art Competitions,0,0,0,1,1
1928,"Art Competitions Mixed Sculpturing, Medals And Reliefs",SUI,Art Competitions,0,0,0,3,3
1928,"Art Competitions Mixed Sculpturing, Medals And Reliefs",USA,Art Competitions,0,0,0,1,1
1932,"Art Competitions Mixed Sculpturing, Medals And Reliefs",CAN,Art Competitions,0,0,1,0,1
1932,"Art Competitions Mixed Sculpturing, Medals And Reliefs",POL,Art Competitions,1,0,0,0,1
1932,"Art Competitions Mixed Sculpturing, Medals And Reliefs",USA,Art Competitions,0,1,0,0,1
