Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
2020,Men's Pommel Horse,ALB,Artistic Gymnastics,0,0,0,1,1
2020,Men's Pommel Horse,ARM,Artistic Gymnastics,0,0,0,1,1
2020,Men's Pommel Horse,AZE,Artistic Gymnastics,0,0,0,1,1
2020,Men's Pommel Horse,BRA,Artistic Gymnastics,0,0,0,4,4
2020,Men's Pommel Horse,BUL,Artistic Gymnastics,0,0,0,1,1
2020,Men's Pommel Horse,CAN,Artistic Gymnastics,0,0,0,1,1
2020,Men's Pommel Horse,CHN,Artistic Gymnastics,0,0,0,4,4
2020,Men's Pommel Horse,CYP,Artistic Gymnastics,0,0,0,1,1
2020,Men's Pommel Horse,CZE,Artistic Gymnastics,0,0,0,1,1
2020,Men's Pommel Horse,EGY,Artistic Gymnastics,0,0,0,1,1
2020,Men's Pommel Horse,ESP,Artistic Gymnastics,0,0,0,4,4
2020,Men's Pommel Horse,FRA,Artistic Gymnastics,0,0,0,2,2
2020,Men's Pommel Horse,GBR,Artistic Gymnastics,1,0,0,3,4
2020,Men's Pommel Horse,GER,Artistic Gymnastics,0,0,0,4,4
2020,Men's Pommel Horse,IRL,Artistic Gymnastics,0,0,0,1,1
2020,Men's Pommel Horse,ISR,Artistic Gymnastics,0,0,0,1,1
2020,Men's Pommel Horse,ITA,Artistic Gymnastics,0,0,0,1,1
2020,Men's Pommel Horse,JPN,Artistic Gymnastics,0,0,1,4,5
2020,Men's Pommel Horse,KAZ,Artistic Gymnastics,0,0,0,1,1
2020,Men's Pommel Horse,KOR,Artistic Gymnastics,0,0,0,4,4
2020,Men's Pommel Horse,LTU,Artistic Gymnastics,0,0,0,1,1
2020,Men's Pommel Horse,MAS,Artistic Gymnastics,0,0,0,1,1
2020,Men's Pommel Horse,MEX,Artistic Gymnastics,0,0,0,1,1
2020,Men's Pommel Horse,NGR,Artistic Gymnastics,0,0,0,1,1
2020,Men's Pommel Horse,NOR,Artistic Gymnastics,0,0,0,1,1
2020,Men's Pommel Horse,NZL,Artistic Gymnastics,0,0,0,1,1
2020,Men's Pommel Horse,PHI,Artistic Gymnastics,0,0,0,1,1
2020,Men's Pommel Horse,ROC,Artistic Gymnastics,0,0,0,6,6
2020,Men's Pommel Horse,SUI,Artistic Gymnastics,0,0,0,4,4
2020,Men's Pommel Horse,SWE,Artistic Gymnastics,0,0,0,1,1
2020,Men's Pommel Horse,TPE,Artistic Gymnastics,0,1,0,3,4
2020,Men's Pommel Horse,TUR,Artistic Gymnastics,0,0,0,3,3
2020,Men's Pommel Horse,UKR,Artistic Gymnastics,0,0,0,4,4
2020,Men's Pommel Horse,USA,Artistic Gymnastics,0,0,0,5,5
2020,Men's Pommel Horse,UZB,Artistic Gymnastics,0,0,0,1,1
2024,Men's Pommel Horse,AUS,Artistic Gymnastics,0,0,0,1,1
2024,Men's Pommel Horse,BEL,Artistic Gymnastics,0,0,0,1,1
2024,Men's Pommel Horse,BRA,Artistic Gymnastics,0,0,0,1,1
2024,Men's Pommel Horse,BUL,Artistic Gymnastics,0,0,0,1,1
2024,Men's Pommel Horse,CAN,Artistic Gymnastics,0,0,0,5,5
2024,Men's Pommel Horse,CHN,Artistic Gymnastics,0,0,0,5,5
2024,Men's Pommel Horse,CYP,Artistic Gymnastics,0,0,0,1,1
2024,Men's Pommel Horse,EGY,Artistic Gymnastics,0,0,0,1,1
2024,Men's Pommel Horse,ESP,Artistic Gymnastics,0,0,0,5,5
2024,Men's Pommel Horse,GBR,Artistic Gymnastics,0,0,0,5,5
2024,Men's Pommel Horse,GER,Artistic Gymnastics,0,0,0,5,5
2024,Men's Pommel Horse,HUN,Artistic Gymnastics,0,0,0,1,1
2024,Men's Pommel Horse,IRL,Artistic Gymnastics,1,0,0,0,1
2024,Men's Pommel Horse,ISR,Artistic Gymnastics,0,0,0,1,1
2024,Men's Pommel Horse,ITA,Artistic Gymnastics,0,0,0,5,5
2024,Men's Pommel Horse,JOR,Artistic Gymnastics,0,0,0,1,1
2024,Men's Pommel Horse,JPN,Artistic Gymnastics,0,0,0,5,5
2024,Men's Pommel Horse,KAZ,Artistic Gymnastics,0,1,0,1,2
2024,Men's Pommel Horse,KOR,Artistic Gymnastics,0,0,0,2,2
2024,Men's Pommel Horse,NED,Artistic Gymnastics,0,0,0,5,5
2024,Men's Pommel Horse,PHI,Artistic Gymnastics,0,0,0,1,1
2024,Men's Pommel Horse,SUI,Artistic Gymnastics,0,0,0,5,5
2024,Men's Pommel Horse,TUR,Artistic Gymnastics,0,0,0,5,5
2024,Men's Pommel Horse,UKR,Artistic Gymnastics,0,0,0,5,5
2024,Men's Pommel Horse,USA,Artistic Gymnastics,0,0,1,4,5
2024,Men's Pommel Horse,UZB,Artistic Gymnastics,0,0,0,2,2
