Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
2020,Women's Balance Beam,ARG,Artistic Gymnastics,0,0,0,1,1
2020,Women's Balance Beam,AUS,Artistic Gymnastics,0,0,0,2,2
2020,Women's Balance Beam,AUT,Artistic Gymnastics,0,0,0,1,1
2020,Women's Balance Beam,AZE,Artistic Gymnastics,0,0,0,1,1
2020,Women's Balance Beam,BEL,Artistic Gymnastics,0,0,0,4,4
2020,Women's Balance Beam,BLR,Artistic Gymnastics,0,0,0,1,1
2020,Women's Balance Beam,BRA,Artistic Gymnastics,0,0,0,2,2
2020,Women's Balance Beam,CAN,Artistic Gymnastics,0,0,0,4,4
2020,Women's Balance Beam,CAY,Artistic Gymnastics,0,0,0,1,1
2020,Women's Balance Beam,CHI,Artistic Gymnastics,0,0,0,1,1
2020,Women's Balance Beam,CHN,Artistic Gymnastics,1,1,0,3,5
2020,Women's Balance Beam,CRC,Artistic Gymnastics,0,0,0,1,1
2020,Women's Balance Beam,CRO,Artistic Gymnastics,0,0,0,1,1
2020,Women's Balance Beam,CZE,Artistic Gymnastics,0,0,0,1,1
2020,Women's Balance Beam,EGY,Artistic Gymnastics,0,0,0,2,2
2020,Women's Balance Beam,ESP,Artistic Gymnastics,0,0,0,4,4
2020,Women's Balance Beam,FRA,Artistic Gymnastics,0,0,0,4,4
2020,Women's Balance Beam,GBR,Artistic Gymnastics,0,0,0,4,4
2020,Women's Balance Beam,GER,Artistic Gymnastics,0,0,0,4,4
2020,Women's Balance Beam,HUN,Artistic Gymnastics,0,0,0,1,1
2020,Women's Balance Beam,IND,Artistic Gymnastics,0,0,0,1,1
2020,Women's Balance Beam,IRL,Artistic Gymnastics,0,0,0,1,1
2020,Women's Balance Beam,ISR,Artistic Gymnastics,0,0,0,1,1
2020,Women's Balance Beam,ITA,Artistic Gymnastics,0,0,0,5,5
2020,Women's Balance Beam,JPN,Artistic Gymnastics,0,0,0,5,5
2020,Women's Balance Beam,KOR,Artistic Gymnastics,0,0,0,2,2
2020,Women's Balance Beam,MAS,Artistic Gymnastics,0,0,0,1,1
2020,Women's Balance Beam,MEX,Artistic Gymnastics,0,0,0,1,1
2020,Women's Balance Beam,NED,Artistic Gymnastics,0,0,0,4,4
2020,Women's Balance Beam,PER,Artistic Gymnastics,0,0,0,1,1
2020,Women's Balance Beam,POL,Artistic Gymnastics,0,0,0,1,1
2020,Women's Balance Beam,POR,Artistic Gymnastics,0,0,0,1,1
2020,Women's Balance Beam,ROC,Artistic Gymnastics,0,0,0,6,6
2020,Women's Balance Beam,ROU,Artistic Gymnastics,0,0,0,2,2
2020,Women's Balance Beam,RSA,Artistic Gymnastics,0,0,0,2,2
2020,Women's Balance Beam,SGP,Artistic Gymnastics,0,0,0,1,1
