Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
2020,4 x 400m Relay Mixed Team,BEL,Athletics,0,0,0,6,6
2020,4 x 400m Relay Mixed Team,BRA,Athletics,0,0,0,4,4
2020,4 x 400m Relay Mixed Team,DOM,Athletics,0,5,0,0,5
2020,4 x 400m Relay Mixed Team,ESP,Athletics,0,0,0,5,5
2020,4 x 400m Relay Mixed Team,GBR,Athletics,0,0,0,7,7
2020,4 x 400m Relay Mixed Team,GER,Athletics,0,0,0,8,8
2020,4 x 400m Relay Mixed Team,IND,Athletics,0,0,0,6,6
2020,4 x 400m Relay Mixed Team,IRL,Athletics,0,0,0,4,4
2020,4 x 400m Relay Mixed Team,ITA,Athletics,0,0,0,6,6
2020,4 x 400m Relay Mixed Team,JAM,Athletics,0,0,0,8,8
2020,4 x 400m Relay Mixed Team,NED,Athletics,0,0,0,9,9
2020,4 x 400m Relay Mixed Team,NGR,Athletics,0,0,0,4,4
2020,4 x 400m Relay Mixed Team,POL,Athletics,11,0,0,0,11
2020,4 x 400m Relay Mixed Team,UKR,Athletics,0,0,0,4,4
2020,4 x 400m Relay Mixed Team,USA,Athletics,0,0,8,0,8
