Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
2020,4 x 400m Relay Mixed,BRA,Athletics,0,0,0,2,2
2020,4 x 400m Relay Mixed,DOM,Athletics,0,0,0,1,1
2020,4 x 400m Relay Mixed,ESP,Athletics,0,0,0,2,2
2020,4 x 400m Relay Mixed,GBR,Athletics,0,0,0,1,1
2020,4 x 400m Relay Mixed,IND,Athletics,0,0,0,1,1
2020,4 x 400m Relay Mixed,IRL,Athletics,0,0,0,2,2
2020,4 x 400m Relay Mixed,JAM,Athletics,0,0,0,2,2
2020,4 x 400m Relay Mixed,UKR,Athletics,0,0,0,1,1
2020,4 x 400m Relay Mixed,USA,Athletics,0,0,0,2,2
2024,4 x 400m Relay Mixed,BAH,Athletics,0,0,0,5,5
2024,4 x 400m Relay Mixed,BEL,Athletics,0,0,0,6,6
2024,4 x 400m Relay Mixed,DOM,Athletics,0,0,0,6,6
2024,4 x 400m Relay Mixed,FRA,Athletics,0,0,0,7,7
2024,4 x 400m Relay Mixed,GBR,Athletics,0,0,9,1,10
2024,4 x 400m Relay Mixed,GER,Athletics,0,0,0,8,8
2024,4 x 400m Relay Mixed,IRL,Athletics,0,0,0,8,8
2024,4 x 400m Relay Mixed,ITA,Athletics,0,0,0,6,6
2024,4 x 400m Relay Mixed,JAM,Athletics,0,0,0,7,7
2024,4 x 400m Relay Mixed,KEN,Athletics,0,0,0,6,6
2024,4 x 400m Relay Mixed,NED,Athletics,6,0,0,0,6
2024,4 x 400m Relay Mixed,NGR,Athletics,0,0,0,9,9
2024,4 x 400m Relay Mixed,POL,Athletics,0,0,0,9,9
2024,4 x 400m Relay Mixed,SUI,Athletics,0,0,0,7,7
2024,4 x 400m Relay Mixed,UKR,Athletics,0,0,0,5,5
2024,4 x 400m Relay Mixed,USA,Athletics,0,6,0,2,8
