Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
1896,"Athletics Men's 1,500 metres",AUS,Athletics,1,0,0,0,1
1896,"Athletics Men's 1,500 metres",FRA,Athletics,0,0,1,0,1
1896,"Athletics Men's 1,500 metres",GER,Athletics,0,0,0,1,1
1896,"Athletics Men's 1,500 metres",GRE,Athletics,0,0,0,4,4
1896,"Athletics Men's 1,500 metres",USA,Athletics,0,1,0,0,1
1900,"Athletics Men's 1,500 metres",AUT,Athletics,0,0,0,1,1
1900,"Athletics Men's 1,500 metres",BOH,Athletics,0,0,0,1,1
1900,"Athletics Men's 1,500 metres",DEN,Athletics,0,0,0,1,1
1900,"Athletics Men's 1,500 metres",FRA,Athletics,0,1,0,1,2
1900,"Athletics Men's 1,500 metres",GBR,Athletics,1,0,0,1,2
1900,"Athletics Men's 1,500 metres",USA,Athletics,0,0,1,1,2
1904,"Athletics Men's 1,500 metres",CAN,Athletics,0,0,0,1,1
1904,"Athletics Men's 1,500 metres",GER,Athletics,0,0,0,1,1
1904,"Athletics Men's 1,500 metres",USA,Athletics,1,1,1,4,7
1906,"Athletics Men's 1,500 metres",AUS,Athletics,0,0,0,2,2
1906,"Athletics Men's 1,500 metres",AUT,Athletics,0,0,0,1,1
1906,"Athletics Men's 1,500 metres",FRA,Athletics,0,0,0,1,1
1906,"Athletics Men's 1,500 metres",GBR,Athletics,0,1,0,3,4
1906,"Athletics Men's 1,500 metres",GRE,Athletics,0,0,0,4,4
1906,"Athletics Men's 1,500 metres",ITA,Athletics,0,0,0,1,1
1906,"Athletics Men's 1,500 metres",SWE,Athletics,0,0,1,1,2
1906,"Athletics Men's 1,500 metres",TUR,Athletics,0,0,0,1,1
1906,"Athletics Men's 1,500 metres",USA,Athletics,1,0,0,3,4
1908,"Athletics Men's 1,500 metres",ANZ,Athletics,0,0,0,2,2
1908,"Athletics Men's 1,500 metres",BEL,Athletics,0,0,0,1,1
